# Area: Honduras
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.2   Longitude -86.24 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 808.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,14.74,14.96,18.98,22.32,19.78,17.97,18.23,18.91,18.53,16.45,14.13,13.04,17.34
ALLSKY_SFC_SW_DWN,1985,14.84,16.21,19.79,20.81,21.01,19.92,19.66,20.12,20.46,16.57,14.53,12.98,18.08
ALLSKY_SFC_SW_DWN,1986,12.53,18.64,17.77,22.5,19.1,18.74,18.48,19.15,17.5,16.03,15.11,13.23,17.38
ALLSKY_SFC_SW_DWN,1987,13.26,17.77,19.68,20.02,19.11,19.36,17.01,19.16,19.25,12.65,13.79,13.41,17.02
ALLSKY_SFC_SW_DWN,1988,12.98,15.2,18.45,20.39,18.85,19.33,18.87,18.54,17.38,13.17,15.2,11.19,16.62
ALLSKY_SFC_SW_DWN,1989,14.73,15.98,19.32,20.68,20.12,19.59,19.83,20.76,18.52,16.55,14.91,12.95,17.84
ALLSKY_SFC_SW_DWN,1990,15.09,16.93,18.02,20.52,20.14,18.8,19.56,19.18,18.79,16.16,13.0,13.03,17.44
ALLSKY_SFC_SW_DWN,1991,15.41,17.2,22.13,22.01,19.0,19.47,19.55,19.95,18.46,17.09,13.91,13.99,18.19
ALLSKY_SFC_SW_DWN,1992,16.0,16.84,20.3,19.75,19.19,19.44,18.62,20.59,18.94,16.99,15.54,12.03,17.85
ALLSKY_SFC_SW_DWN,1993,14.45,18.85,18.91,20.92,19.81,18.81,19.97,18.62,17.26,16.13,13.52,13.42,17.55
ALLSKY_SFC_SW_DWN,1994,14.74,18.48,21.51,22.44,20.13,20.7,21.11,20.11,18.17,18.48,13.36,12.82,18.5
ALLSKY_SFC_SW_DWN,1995,15.65,17.03,20.01,19.94,22.18,20.13,19.29,20.11,18.57,15.38,14.46,12.6,17.95
ALLSKY_SFC_SW_DWN,1996,13.9,16.59,19.82,20.46,19.06,20.52,18.31,19.43,21.13,15.96,11.89,14.18,17.6
ALLSKY_SFC_SW_DWN,1997,14.66,17.44,20.43,22.41,21.69,19.29,18.72,19.55,19.84,15.58,14.63,14.42,18.22
ALLSKY_SFC_SW_DWN,1998,16.01,20.46,17.28,20.95,19.46,20.21,19.52,20.74,20.43,14.54,14.06,13.11,18.04
ALLSKY_SFC_SW_DWN,1999,14.02,17.25,20.6,23.03,20.93,18.97,19.21,20.55,18.48,14.83,10.65,12.77,17.61
ALLSKY_SFC_SW_DWN,2000,15.02,15.87,21.54,21.48,19.41,18.49,19.6,19.39,18.53,14.86,15.43,10.87,17.54
ALLSKY_SFC_SW_DWN,2001,12.62,17.06,21.59,22.74,20.56,20.96,20.49,19.15,19.78,15.38,12.07,12.39,17.9
ALLSKY_SFC_SW_DWN,2002,14.41,16.02,22.0,22.37,19.58,20.36,18.25,20.79,19.83,16.62,13.93,13.59,18.15
ALLSKY_SFC_SW_DWN,2003,10.02,17.32,21.75,21.61,21.52,20.2,18.67,20.08,20.17,16.78,13.41,10.91,17.7
ALLSKY_SFC_SW_DWN,2004,14.98,16.88,15.77,20.37,18.39,19.16,20.36,20.99,20.36,17.36,13.08,12.13,17.48
ALLSKY_SFC_SW_DWN,2005,14.55,18.12,20.05,19.07,18.28,18.37,19.89,19.95,18.07,13.12,12.55,12.72,17.05
ALLSKY_SFC_SW_DWN,2006,12.74,16.24,20.32,21.09,20.08,17.76,18.59,19.84,20.88,17.49,13.68,12.09,17.57
ALLSKY_SFC_SW_DWN,2007,15.73,19.31,18.2,20.07,21.55,19.49,20.01,19.41,18.55,14.68,10.76,14.06,17.64
ALLSKY_SFC_SW_DWN,2008,14.46,17.8,19.16,20.96,21.38,18.06,18.4,21.45,19.43,12.67,12.31,12.33,17.36
ALLSKY_SFC_SW_DWN,2009,14.4,14.68,20.57,21.72,18.78,19.61,18.66,20.77,20.3,17.85,13.61,14.92,18.01
ALLSKY_SFC_SW_DWN,2010,12.89,15.65,18.04,19.73,18.56,19.71,18.64,19.02,19.27,12.09,13.97,12.88,16.7
ALLSKY_SFC_SW_DWN,2011,14.98,18.16,21.39,20.54,19.25,19.21,18.35,20.54,19.11,13.11,14.4,11.73,17.55
ALLSKY_SFC_SW_DWN,2012,14.78,16.52,20.45,19.94,17.75,19.37,18.85,20.39,20.71,16.87,10.72,15.36,17.65
ALLSKY_SFC_SW_DWN,2013,13.65,19.19,17.94,21.25,19.55,17.88,19.92,19.73,19.03,17.31,13.57,13.4,17.69
ALLSKY_SFC_SW_DWN,2014,12.71,18.4,21.39,21.61,18.09,18.9,19.7,20.3,18.73,14.91,12.78,13.32,17.56
ALLSKY_SFC_SW_DWN,2015,12.68,16.78,19.74,21.64,19.43,16.74,20.84,21.97,18.44,16.96,14.89,14.52,17.89
ALLSKY_SFC_SW_DWN,2016,14.61,13.77,20.9,21.02,20.44,18.19,19.71,19.24,19.54,15.85,12.46,13.15,17.42
ALLSKY_SFC_SW_DWN,2017,16.64,19.18,18.68,21.37,20.37,18.76,18.02,20.41,19.36,13.98,12.05,11.76,17.53
ALLSKY_SFC_SW_DWN,2018,11.05,18.08,22.05,20.68,19.95,19.79,20.68,19.87,20.14,16.36,16.56,15.2,18.36
ALLSKY_SFC_SW_DWN,2019,15.25,19.24,21.24,20.6,18.93,20.97,22.14,22.73,20.51,18.68,14.07,14.39,19.06
ALLSKY_SFC_SW_DWN,2020,14.79,17.77,21.39,23.1,18.73,19.19,20.48,19.4,20.58,15.46,12.37,13.0,18.01
ALLSKY_SFC_SW_DWN,2021,14.71,18.83,20.62,20.72,21.31,19.97,20.64,20.11,20.84,18.13,12.48,14.77,18.59
ALLSKY_SFC_SW_DWN,2022,15.99,16.73,20.12,20.83,19.84,17.79,18.86,18.79,18.2,15.93,15.07,14.51,17.73
ALLSKY_SFC_SW_DWN,2023,16.2,19.18,21.74,23.09,20.04,19.67,18.61,19.95,20.98,16.61,13.36,12.46,18.48
