# Area: Kyrgyzstan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  42.87   Longitude 74.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 721.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,8.18,11.22,13.8,16.96,20.84,25.04,26.44,24.74,17.58,12.14,8.43,8.42,16.17
ALLSKY_SFC_SW_DWN,1985,7.68,9.88,13.99,17.95,21.65,23.89,25.34,21.5,19.74,11.33,7.35,5.67,15.53
ALLSKY_SFC_SW_DWN,1986,7.22,10.49,12.74,17.86,19.52,22.21,23.91,21.76,17.96,11.63,7.94,5.93,14.95
ALLSKY_SFC_SW_DWN,1987,6.09,10.01,11.01,13.3,20.58,21.39,22.64,24.04,17.75,9.95,8.03,6.22,14.28
ALLSKY_SFC_SW_DWN,1988,6.71,10.43,13.12,16.62,19.04,24.31,23.04,21.65,18.27,12.92,8.67,6.23,15.09
ALLSKY_SFC_SW_DWN,1989,8.27,9.72,14.49,17.91,19.31,24.37,24.2,21.94,18.05,11.34,7.16,6.01,15.26
ALLSKY_SFC_SW_DWN,1990,6.99,10.09,11.74,14.74,20.74,26.2,22.68,22.17,20.09,11.36,8.34,5.67,15.08
ALLSKY_SFC_SW_DWN,1991,5.9,10.52,13.72,17.78,20.55,22.45,24.02,22.44,19.04,12.17,9.96,6.43,15.43
ALLSKY_SFC_SW_DWN,1992,7.12,10.44,14.53,16.47,20.16,21.61,26.42,21.14,17.43,13.06,9.14,6.61,15.36
ALLSKY_SFC_SW_DWN,1993,7.52,9.43,10.92,16.02,19.57,23.62,23.81,21.94,19.2,11.16,8.75,8.0,15.02
ALLSKY_SFC_SW_DWN,1994,7.77,10.1,12.06,14.54,21.71,27.15,26.19,23.96,19.15,13.83,8.66,7.7,16.1
ALLSKY_SFC_SW_DWN,1995,8.68,9.07,12.93,17.7,22.0,23.82,24.16,24.2,18.43,11.01,8.61,7.45,15.71
ALLSKY_SFC_SW_DWN,1996,7.38,9.23,12.96,15.09,20.73,22.9,24.52,22.87,19.38,11.52,8.5,7.22,15.21
ALLSKY_SFC_SW_DWN,1997,6.79,10.77,13.13,18.11,19.75,24.15,26.36,23.89,18.87,14.34,8.32,6.05,15.9
ALLSKY_SFC_SW_DWN,1998,6.44,9.54,12.61,15.19,20.87,22.52,23.59,21.56,18.41,13.34,8.47,5.39,14.86
ALLSKY_SFC_SW_DWN,1999,8.58,11.35,14.16,16.83,21.66,21.46,21.98,22.54,17.57,12.41,6.37,6.66,15.16
ALLSKY_SFC_SW_DWN,2000,6.6,11.55,15.33,18.52,20.22,22.26,24.75,22.1,16.63,8.35,5.85,5.79,14.83
ALLSKY_SFC_SW_DWN,2001,7.52,10.96,14.59,19.16,23.13,27.72,22.19,20.67,17.43,8.86,6.94,6.19,15.46
ALLSKY_SFC_SW_DWN,2002,7.66,10.5,14.83,15.34,19.91,24.13,24.05,23.25,18.52,11.71,7.63,5.42,15.27
ALLSKY_SFC_SW_DWN,2003,6.79,10.3,14.73,13.82,20.06,22.52,23.49,22.34,16.96,11.41,7.02,6.42,14.69
ALLSKY_SFC_SW_DWN,2004,7.02,9.85,11.64,16.72,21.44,25.58,21.34,22.18,18.3,11.8,6.59,5.77,14.86
ALLSKY_SFC_SW_DWN,2005,7.56,10.41,14.85,19.62,18.19,23.64,24.8,19.03,18.32,12.01,7.92,7.06,15.3
ALLSKY_SFC_SW_DWN,2006,6.67,10.69,15.78,19.16,20.41,23.03,24.69,25.3,17.64,10.73,7.55,6.55,15.71
ALLSKY_SFC_SW_DWN,2007,8.33,10.63,12.13,17.94,21.3,23.83,21.69,23.34,20.03,12.32,7.12,5.74,15.39
ALLSKY_SFC_SW_DWN,2008,7.74,11.6,13.49,17.06,21.91,24.96,24.13,22.28,17.81,9.69,7.12,5.59,15.29
ALLSKY_SFC_SW_DWN,2009,8.0,10.93,14.56,15.67,19.28,24.06,24.29,21.41,14.99,13.14,7.17,6.13,15.0
ALLSKY_SFC_SW_DWN,2010,6.84,8.84,12.62,16.42,20.46,21.5,23.39,21.63,16.69,10.32,8.67,7.47,14.6
ALLSKY_SFC_SW_DWN,2011,8.3,9.43,15.33,19.14,20.24,22.12,25.15,21.04,18.39,11.13,5.38,6.64,15.23
ALLSKY_SFC_SW_DWN,2012,8.14,10.72,14.36,19.82,22.03,23.29,23.43,23.49,18.27,11.98,6.98,6.05,15.73
ALLSKY_SFC_SW_DWN,2013,7.49,11.31,13.74,17.91,21.41,22.84,22.84,21.58,19.01,13.32,8.65,5.61,15.49
ALLSKY_SFC_SW_DWN,2014,6.51,11.58,16.04,17.06,24.68,23.88,25.68,23.8,17.35,9.43,6.9,6.92,15.85
ALLSKY_SFC_SW_DWN,2015,7.42,10.09,14.65,17.98,20.57,24.36,25.06,21.95,16.81,10.3,6.11,5.81,15.12
ALLSKY_SFC_SW_DWN,2016,7.29,12.67,13.66,15.74,18.24,23.22,21.2,22.47,16.9,9.48,7.57,5.45,14.48
ALLSKY_SFC_SW_DWN,2017,7.72,11.29,15.66,16.54,22.44,23.86,25.53,23.28,18.41,11.35,7.97,5.74,15.84
ALLSKY_SFC_SW_DWN,2018,8.14,10.98,10.96,18.8,21.76,21.21,25.17,22.14,18.54,10.7,7.78,6.61,15.25
ALLSKY_SFC_SW_DWN,2019,8.04,9.85,14.29,14.92,24.34,22.7,25.43,22.65,15.31,12.21,8.13,6.29,15.39
ALLSKY_SFC_SW_DWN,2020,7.59,11.39,14.98,17.54,22.96,22.69,22.07,21.15,18.78,12.67,7.9,7.26,15.59
ALLSKY_SFC_SW_DWN,2021,8.53,9.08,11.76,21.29,22.68,24.1,23.67,20.42,20.41,10.43,8.55,6.33,15.62
ALLSKY_SFC_SW_DWN,2022,7.06,9.84,10.08,19.08,19.33,23.83,26.01,22.51,19.31,10.77,6.03,7.32,15.12
ALLSKY_SFC_SW_DWN,2023,8.81,10.15,14.57,17.94,22.26,23.92,24.68,21.31,15.53,11.47,8.16,6.2,15.45
