# Area: Liberia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.43   Longitude -9.43 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 219.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.9,19.02,18.46,18.41,18.7,16.42,15.58,16.18,17.83,17.66,17.34,15.96,17.36
ALLSKY_SFC_SW_DWN,1985,17.82,18.34,17.73,18.37,17.75,16.4,14.73,14.61,16.79,18.4,16.91,14.63,16.86
ALLSKY_SFC_SW_DWN,1986,17.67,17.52,19.12,17.62,16.8,17.06,14.17,15.09,16.01,16.95,16.29,15.58,16.65
ALLSKY_SFC_SW_DWN,1987,15.9,17.12,18.47,17.61,17.44,16.44,16.05,15.15,16.04,17.84,17.29,16.8,16.84
ALLSKY_SFC_SW_DWN,1988,18.21,17.51,18.23,17.56,18.78,16.51,15.15,14.42,14.55,17.96,17.52,16.09,16.87
ALLSKY_SFC_SW_DWN,1989,18.06,18.77,18.67,18.82,18.47,15.83,14.9,13.94,15.79,16.76,16.93,15.91,16.89
ALLSKY_SFC_SW_DWN,1990,17.63,19.74,19.06,18.17,17.84,16.26,13.38,13.36,16.13,17.42,16.07,15.81,16.71
ALLSKY_SFC_SW_DWN,1991,17.12,17.37,18.13,17.96,16.95,17.37,16.39,14.48,16.86,17.25,16.27,15.42,16.79
ALLSKY_SFC_SW_DWN,1992,17.21,16.63,17.91,17.29,16.04,15.24,14.38,14.86,16.91,16.26,15.55,16.36,16.22
ALLSKY_SFC_SW_DWN,1993,17.85,17.58,18.24,17.42,18.06,16.38,14.58,15.49,15.9,17.36,16.78,16.77,16.86
ALLSKY_SFC_SW_DWN,1994,17.69,17.5,18.76,18.6,18.28,17.24,15.1,15.98,16.13,17.33,16.84,16.78,17.18
ALLSKY_SFC_SW_DWN,1995,19.21,19.1,17.57,16.92,17.94,16.65,14.79,14.3,16.13,16.9,17.02,15.47,16.82
ALLSKY_SFC_SW_DWN,1996,17.53,18.26,19.07,19.15,18.66,16.51,14.56,15.78,15.87,17.21,16.87,14.78,17.01
ALLSKY_SFC_SW_DWN,1997,16.16,18.63,18.14,17.86,17.63,14.41,13.66,15.23,16.55,16.96,16.5,15.78,16.44
ALLSKY_SFC_SW_DWN,1998,18.01,18.18,19.3,17.75,17.9,16.19,15.07,15.0,15.8,16.29,16.22,15.69,16.78
ALLSKY_SFC_SW_DWN,1999,18.04,18.37,19.3,18.39,18.13,17.1,14.98,15.3,15.47,16.45,15.72,15.99,16.93
ALLSKY_SFC_SW_DWN,2000,16.69,20.26,19.72,18.14,18.57,14.63,14.82,14.79,15.44,16.48,16.35,15.55,16.77
ALLSKY_SFC_SW_DWN,2001,17.37,19.5,17.65,17.06,18.15,16.58,14.7,14.34,15.93,17.55,15.41,15.59,16.63
ALLSKY_SFC_SW_DWN,2002,16.1,17.92,18.52,18.84,18.24,15.66,13.81,14.42,16.13,16.97,16.95,16.64,16.67
ALLSKY_SFC_SW_DWN,2003,17.05,19.26,18.78,18.28,17.87,15.56,14.12,14.1,16.1,16.84,16.66,16.52,16.74
ALLSKY_SFC_SW_DWN,2004,17.64,15.93,16.99,17.93,16.0,14.57,14.98,14.73,16.67,17.41,16.5,15.06,16.2
ALLSKY_SFC_SW_DWN,2005,16.65,16.82,18.4,17.2,16.42,14.23,13.22,14.39,15.49,17.03,16.3,15.43,15.96
ALLSKY_SFC_SW_DWN,2006,17.13,17.21,18.04,17.69,17.86,16.59,15.15,13.92,15.51,16.71,17.96,17.08,16.73
ALLSKY_SFC_SW_DWN,2007,17.05,17.46,16.35,16.96,17.59,15.72,14.65,13.24,15.91,16.59,16.37,16.56,16.19
ALLSKY_SFC_SW_DWN,2008,19.86,17.59,18.29,17.33,17.04,15.54,14.96,15.12,14.87,17.65,17.35,15.77,16.78
ALLSKY_SFC_SW_DWN,2009,17.39,17.33,18.94,19.45,17.56,16.13,13.06,12.9,14.31,16.12,16.62,16.02,16.31
ALLSKY_SFC_SW_DWN,2010,17.28,17.44,15.4,18.31,17.26,15.36,14.99,14.23,15.48,15.97,16.1,15.17,16.07
ALLSKY_SFC_SW_DWN,2011,16.94,18.67,18.3,18.88,17.4,15.67,13.58,15.2,15.59,16.1,16.31,17.29,16.64
ALLSKY_SFC_SW_DWN,2012,18.3,16.83,18.96,17.73,16.92,15.38,13.95,14.18,15.22,16.18,15.93,16.58,16.35
ALLSKY_SFC_SW_DWN,2013,19.37,17.9,18.84,19.21,16.87,15.17,14.26,13.83,14.65,16.12,15.56,17.3,16.58
ALLSKY_SFC_SW_DWN,2014,16.22,17.86,18.95,18.49,17.07,15.54,13.88,14.18,15.25,16.42,15.66,16.63,16.33
ALLSKY_SFC_SW_DWN,2015,17.4,17.85,19.53,18.28,17.85,14.87,14.59,14.13,15.73,16.37,16.97,17.44,16.74
ALLSKY_SFC_SW_DWN,2016,16.55,18.27,18.23,19.14,17.23,14.3,14.17,14.22,15.15,16.52,16.12,16.61,16.37
ALLSKY_SFC_SW_DWN,2017,17.97,17.24,18.83,18.43,17.17,15.02,14.66,14.12,14.98,16.92,15.85,16.74,16.49
ALLSKY_SFC_SW_DWN,2018,17.71,17.72,17.8,16.72,16.89,14.0,14.68,14.46,14.73,16.85,16.44,17.92,16.32
ALLSKY_SFC_SW_DWN,2019,18.63,18.88,19.16,17.31,17.22,15.06,13.44,14.0,15.33,16.19,17.53,17.23,16.65
ALLSKY_SFC_SW_DWN,2020,18.28,18.06,18.01,17.64,16.92,16.62,13.37,14.61,15.54,16.76,16.76,16.15,16.55
ALLSKY_SFC_SW_DWN,2021,17.05,17.06,17.05,17.75,17.5,16.51,13.95,16.36,16.62,18.0,16.54,16.35,16.72
ALLSKY_SFC_SW_DWN,2022,18.39,18.24,18.11,18.61,16.43,16.05,13.64,13.05,15.22,16.9,17.11,17.43,16.58
ALLSKY_SFC_SW_DWN,2023,18.73,17.85,19.62,18.7,17.59,14.62,14.31,14.72,15.98,16.26,16.85,18.91,17.01
