# Area: Martinique
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.61   Longitude -61.06 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 14.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.07,18.66,20.96,21.45,21.42,20.07,18.34,20.42,18.56,16.64,13.39,16.39,18.62
ALLSKY_SFC_SW_DWN,1985,16.53,17.1,19.8,21.06,19.67,17.86,19.36,20.62,18.9,17.53,15.68,15.76,18.33
ALLSKY_SFC_SW_DWN,1986,16.63,18.45,20.28,19.93,17.69,19.0,18.86,18.85,18.91,18.39,15.75,16.29,18.25
ALLSKY_SFC_SW_DWN,1987,16.13,19.05,20.2,22.17,19.12,18.03,18.64,20.97,20.31,19.2,16.39,16.49,18.89
ALLSKY_SFC_SW_DWN,1988,17.28,17.97,20.64,21.93,22.78,20.59,20.41,19.35,18.24,16.85,15.53,15.78,18.95
ALLSKY_SFC_SW_DWN,1989,17.45,19.03,19.77,20.84,21.77,18.17,19.95,20.93,18.11,19.54,16.53,16.44,19.05
ALLSKY_SFC_SW_DWN,1990,16.57,19.22,20.61,20.6,20.8,18.61,20.11,20.17,20.3,15.5,17.28,16.83,18.88
ALLSKY_SFC_SW_DWN,1991,15.98,19.53,21.13,21.2,20.39,19.07,18.68,20.66,19.24,19.38,15.22,15.41,18.82
ALLSKY_SFC_SW_DWN,1992,16.33,18.1,20.76,21.42,18.39,15.09,18.74,19.63,18.68,20.74,14.7,16.15,18.24
ALLSKY_SFC_SW_DWN,1993,17.51,20.19,22.32,22.98,21.39,20.33,21.63,21.47,20.17,19.45,17.98,17.98,20.28
ALLSKY_SFC_SW_DWN,1994,18.12,20.19,22.06,23.79,23.07,22.08,22.46,21.31,19.65,19.95,16.73,16.65,20.51
ALLSKY_SFC_SW_DWN,1995,16.78,16.5,18.5,19.86,24.53,20.97,22.46,20.83,20.77,19.82,18.41,17.71,19.79
ALLSKY_SFC_SW_DWN,1996,18.19,20.39,21.36,22.73,22.68,20.13,20.33,21.98,19.95,17.82,17.02,16.45,19.92
ALLSKY_SFC_SW_DWN,1997,18.55,19.83,23.26,24.72,23.88,22.07,21.44,21.93,20.64,19.27,19.09,16.22,20.91
ALLSKY_SFC_SW_DWN,1998,18.47,21.1,21.88,22.57,21.91,19.56,22.67,22.64,21.28,18.02,18.0,16.04,20.34
ALLSKY_SFC_SW_DWN,1999,18.46,20.78,23.08,22.3,24.67,21.74,22.62,22.7,21.79,19.26,15.36,16.66,20.79
ALLSKY_SFC_SW_DWN,2000,18.13,19.71,21.39,22.91,22.02,20.82,22.67,23.73,21.83,20.6,16.4,17.53,20.65
ALLSKY_SFC_SW_DWN,2001,18.37,20.47,23.3,23.6,23.54,22.92,21.78,22.78,22.73,17.96,19.4,16.19,21.08
ALLSKY_SFC_SW_DWN,2002,18.11,20.44,23.33,23.72,22.24,21.79,22.23,23.46,20.69,19.33,18.43,18.51,21.03
ALLSKY_SFC_SW_DWN,2003,18.42,21.17,23.8,23.69,22.32,20.11,21.62,22.45,21.66,20.29,16.98,17.4,20.83
ALLSKY_SFC_SW_DWN,2004,18.71,21.26,22.53,23.19,20.16,20.2,21.11,23.26,20.92,19.62,15.76,17.99,20.39
ALLSKY_SFC_SW_DWN,2005,17.27,19.92,23.2,23.5,23.05,19.62,20.25,22.71,22.0,17.71,16.99,17.96,20.35
ALLSKY_SFC_SW_DWN,2006,17.91,21.26,22.83,23.63,23.94,21.33,21.83,22.68,21.89,19.57,19.48,17.03,21.11
ALLSKY_SFC_SW_DWN,2007,18.13,20.67,20.12,23.89,24.49,22.97,22.15,21.48,21.93,18.41,19.05,17.24,20.87
ALLSKY_SFC_SW_DWN,2008,18.34,20.28,21.94,23.11,24.15,21.35,22.61,22.66,19.91,18.27,17.73,17.66,20.67
ALLSKY_SFC_SW_DWN,2009,17.89,20.25,22.38,23.09,21.64,22.44,21.12,23.25,21.33,20.97,19.31,18.21,20.99
ALLSKY_SFC_SW_DWN,2010,18.47,21.5,22.79,21.41,22.82,21.31,20.87,22.29,20.33,17.97,17.35,16.96,20.33
ALLSKY_SFC_SW_DWN,2011,18.43,20.98,22.44,20.57,20.29,21.34,20.76,20.75,20.99,20.8,17.09,15.94,20.02
ALLSKY_SFC_SW_DWN,2012,19.36,20.86,20.12,23.4,19.4,22.98,22.65,20.02,22.52,19.35,19.21,17.1,20.56
ALLSKY_SFC_SW_DWN,2013,18.56,21.89,23.35,22.16,22.34,20.5,22.56,21.96,21.32,19.02,19.08,16.47,20.76
ALLSKY_SFC_SW_DWN,2014,19.03,20.69,23.35,24.08,23.11,21.53,22.89,21.17,21.5,20.08,17.81,18.3,21.13
ALLSKY_SFC_SW_DWN,2015,19.12,21.02,23.04,22.72,22.87,21.51,22.22,22.99,22.93,19.49,16.98,17.33,21.02
ALLSKY_SFC_SW_DWN,2016,17.83,20.75,22.83,22.62,21.27,21.48,22.12,23.37,20.98,20.13,15.58,17.26,20.52
ALLSKY_SFC_SW_DWN,2017,18.47,20.95,22.45,22.51,21.78,19.39,23.39,22.74,18.88,19.33,18.97,17.52,20.54
ALLSKY_SFC_SW_DWN,2018,18.06,21.4,23.18,22.11,23.8,21.87,22.16,23.27,21.78,20.69,17.73,17.73,21.15
ALLSKY_SFC_SW_DWN,2019,19.02,21.65,23.32,24.25,22.1,20.49,22.84,22.86,21.86,20.17,18.92,17.9,21.28
ALLSKY_SFC_SW_DWN,2020,18.9,19.98,23.65,24.97,23.56,22.13,22.49,23.05,22.27,18.12,17.28,18.83,21.27
ALLSKY_SFC_SW_DWN,2021,18.7,20.5,22.66,22.2,23.98,19.96,22.32,21.9,23.54,19.73,19.32,18.24,21.09
ALLSKY_SFC_SW_DWN,2022,18.9,21.51,23.36,23.11,21.52,21.71,21.59,22.26,21.16,18.71,17.78,18.49,20.84
ALLSKY_SFC_SW_DWN,2023,18.41,21.57,24.39,23.89,23.75,22.13,20.92,22.25,23.13,19.3,19.02,17.78,21.37
