# Area: Mauritius
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -20.35   Longitude 57.55 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 82.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,22.15,22.5,20.08,16.48,14.76,12.64,12.57,15.68,18.55,22.11,23.45,24.66,18.79
ALLSKY_SFC_SW_DWN,1985,22.76,19.48,20.74,15.5,14.21,12.57,12.64,16.14,19.17,22.16,22.9,22.37,18.39
ALLSKY_SFC_SW_DWN,1986,23.58,19.62,19.78,17.3,13.32,12.77,14.03,16.27,20.78,23.72,24.9,23.76,19.15
ALLSKY_SFC_SW_DWN,1987,22.6,19.19,19.62,15.19,12.95,12.14,13.96,16.71,20.03,23.05,25.69,26.66,18.99
ALLSKY_SFC_SW_DWN,1988,24.4,24.25,19.84,17.06,14.84,13.55,14.35,16.76,19.81,23.61,24.94,22.06,19.61
ALLSKY_SFC_SW_DWN,1989,23.91,21.64,18.73,17.18,13.88,12.96,13.12,15.11,18.68,21.94,24.33,21.19,18.53
ALLSKY_SFC_SW_DWN,1990,24.84,22.42,20.9,16.93,14.31,13.19,13.42,16.31,18.6,22.92,23.73,25.14,19.38
ALLSKY_SFC_SW_DWN,1991,24.78,22.25,18.09,15.03,13.47,11.71,12.26,14.18,19.74,22.52,25.08,23.53,18.53
ALLSKY_SFC_SW_DWN,1992,23.38,19.0,18.29,15.25,13.43,12.08,12.17,15.55,19.9,23.22,25.41,24.17,18.49
ALLSKY_SFC_SW_DWN,1993,23.75,19.34,18.29,16.08,14.31,12.26,12.56,15.73,18.31,22.9,24.92,26.23,18.73
ALLSKY_SFC_SW_DWN,1994,23.19,20.65,19.52,16.99,14.03,12.58,12.83,15.87,19.32,22.91,24.49,26.16,19.04
ALLSKY_SFC_SW_DWN,1995,22.12,21.76,18.65,16.16,12.99,12.97,12.9,14.59,18.57,22.86,25.03,20.0,18.19
ALLSKY_SFC_SW_DWN,1996,21.01,22.52,21.1,15.38,13.36,12.58,13.0,15.6,19.03,22.29,25.76,22.57,18.67
ALLSKY_SFC_SW_DWN,1997,21.62,22.0,20.33,15.63,13.01,12.71,12.36,16.59,18.66,20.04,23.95,22.33,18.25
ALLSKY_SFC_SW_DWN,1998,23.54,16.9,20.72,16.25,15.95,12.35,14.28,16.02,20.18,23.73,25.38,26.2,19.32
ALLSKY_SFC_SW_DWN,1999,26.03,25.17,22.27,19.63,16.36,14.1,14.95,16.97,20.46,25.1,26.5,25.26,21.04
ALLSKY_SFC_SW_DWN,2000,22.66,23.47,21.64,18.44,15.5,14.12,14.31,16.53,20.06,23.15,26.53,25.52,20.15
ALLSKY_SFC_SW_DWN,2001,23.22,22.93,21.65,18.03,15.81,13.64,14.69,17.37,21.6,23.65,27.16,25.41,20.41
ALLSKY_SFC_SW_DWN,2002,23.75,25.04,20.85,18.2,13.81,13.87,13.67,16.87,20.94,22.99,25.55,23.19,19.86
ALLSKY_SFC_SW_DWN,2003,24.6,22.36,21.85,15.13,14.31,13.94,12.67,17.22,19.62,24.29,25.0,26.9,19.82
ALLSKY_SFC_SW_DWN,2004,22.67,23.62,20.75,17.12,14.12,13.95,14.46,16.97,19.98,23.9,25.82,22.27,19.62
ALLSKY_SFC_SW_DWN,2005,25.94,20.39,17.72,18.82,14.68,13.87,14.04,17.36,19.68,23.41,24.58,26.93,19.79
ALLSKY_SFC_SW_DWN,2006,25.29,22.54,19.36,17.97,15.86,13.5,14.16,17.13,20.81,23.74,24.22,26.25,20.06
ALLSKY_SFC_SW_DWN,2007,22.88,20.22,21.83,18.23,15.36,12.87,14.86,17.1,20.89,22.06,26.92,26.1,19.94
ALLSKY_SFC_SW_DWN,2008,23.67,22.66,20.26,19.75,14.73,12.96,14.93,16.89,19.31,23.62,25.32,26.67,20.06
ALLSKY_SFC_SW_DWN,2009,25.95,22.95,20.11,16.85,15.15,14.19,13.91,16.45,20.72,22.33,24.18,24.98,19.8
ALLSKY_SFC_SW_DWN,2010,23.02,22.31,19.09,19.62,15.75,14.17,14.25,16.59,19.65,24.15,26.29,27.76,20.21
ALLSKY_SFC_SW_DWN,2011,24.4,23.14,21.68,18.33,15.6,13.97,14.81,16.6,21.42,23.49,25.34,24.09,20.22
ALLSKY_SFC_SW_DWN,2012,26.12,23.74,20.75,18.5,15.26,13.71,14.7,16.77,20.53,23.17,25.04,24.41,20.22
ALLSKY_SFC_SW_DWN,2013,22.55,20.36,21.09,17.55,15.95,14.21,15.06,17.71,22.03,22.9,25.51,26.14,20.09
ALLSKY_SFC_SW_DWN,2014,22.93,23.13,21.76,18.6,15.37,14.34,14.19,17.34,21.39,23.94,25.06,23.45,20.1
ALLSKY_SFC_SW_DWN,2015,20.64,22.97,20.35,18.71,15.29,12.86,14.1,16.12,20.39,22.3,25.25,25.73,19.53
ALLSKY_SFC_SW_DWN,2016,25.16,20.47,20.41,18.49,15.39,14.02,13.91,17.03,20.02,23.99,24.78,26.47,20.02
ALLSKY_SFC_SW_DWN,2017,26.75,23.33,21.12,17.55,14.41,13.91,14.11,16.78,20.02,24.34,23.68,27.0,20.24
ALLSKY_SFC_SW_DWN,2018,22.26,21.95,19.99,17.26,16.33,13.89,14.65,18.0,21.03,23.4,25.46,26.06,20.02
ALLSKY_SFC_SW_DWN,2019,24.52,24.32,23.56,17.87,15.04,13.26,14.12,16.96,20.85,23.61,24.4,25.14,20.28
ALLSKY_SFC_SW_DWN,2020,21.21,24.32,18.08,18.64,16.13,13.6,13.81,17.72,20.0,24.17,26.08,25.96,19.96
ALLSKY_SFC_SW_DWN,2021,26.84,24.25,22.3,15.07,16.19,13.63,14.85,17.0,21.04,22.71,27.42,25.8,20.58
ALLSKY_SFC_SW_DWN,2022,23.42,21.62,20.63,16.96,15.94,13.78,14.52,17.52,21.13,23.69,27.3,26.44,20.24
ALLSKY_SFC_SW_DWN,2023,21.82,25.25,21.49,17.85,15.51,14.35,14.83,17.39,21.25,23.61,23.21,23.9,20.0
