# Area: Singapore
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  1.29   Longitude 103.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,15.17,16.47,17.71,17.79,17.29,17.24,12.22,15.82,16.85,15.81,18.49,15.14,16.32
ALLSKY_SFC_SW_DWN,1985,19.1,19.3,18.87,17.4,17.71,18.81,15.95,16.72,16.83,15.92,16.12,16.65,17.43
ALLSKY_SFC_SW_DWN,1986,15.24,20.99,17.79,20.18,18.59,18.01,18.41,17.46,16.16,16.34,16.39,17.18,17.7
ALLSKY_SFC_SW_DWN,1987,13.77,21.9,20.27,19.58,17.32,16.67,17.01,15.9,17.1,16.92,15.86,15.19,17.25
ALLSKY_SFC_SW_DWN,1988,16.23,19.45,16.86,18.23,16.15,16.69,15.36,15.01,15.29,15.62,14.85,17.41,16.41
ALLSKY_SFC_SW_DWN,1989,17.12,18.98,17.29,17.81,16.84,17.91,16.99,16.06,16.21,16.54,16.65,16.52,17.06
ALLSKY_SFC_SW_DWN,1990,16.37,19.67,20.07,18.53,17.8,17.23,16.86,16.14,16.21,17.78,17.11,15.98,17.46
ALLSKY_SFC_SW_DWN,1991,16.83,19.79,20.36,19.24,16.05,18.18,17.86,15.91,16.54,17.98,15.32,13.5,17.28
ALLSKY_SFC_SW_DWN,1992,18.56,19.4,20.32,19.79,18.09,16.38,15.38,16.51,16.34,16.3,14.82,14.11,17.16
ALLSKY_SFC_SW_DWN,1993,16.4,20.37,17.37,17.6,17.96,17.79,15.65,17.4,16.52,16.28,15.67,14.15,16.9
ALLSKY_SFC_SW_DWN,1994,17.24,18.21,14.58,18.89,16.12,16.33,18.16,17.25,16.33,18.19,16.05,16.6,16.99
ALLSKY_SFC_SW_DWN,1995,16.53,15.76,20.09,18.84,18.32,17.05,15.31,13.95,15.47,16.6,14.55,13.43,16.33
ALLSKY_SFC_SW_DWN,1996,16.32,17.95,20.53,17.64,16.91,16.8,17.07,15.29,16.08,14.19,16.74,16.09,16.79
ALLSKY_SFC_SW_DWN,1997,18.67,17.73,19.77,17.85,18.2,17.65,17.11,16.51,18.24,17.49,17.58,15.89,17.72
ALLSKY_SFC_SW_DWN,1998,17.87,21.0,20.66,20.32,17.44,16.63,16.17,15.77,16.15,16.28,15.0,13.71,17.22
ALLSKY_SFC_SW_DWN,1999,15.14,18.96,17.51,17.28,17.29,16.4,16.22,16.07,17.65,15.38,16.06,16.25,16.66
ALLSKY_SFC_SW_DWN,2000,14.78,18.22,18.34,17.13,18.39,15.78,16.37,16.15,17.12,16.33,15.57,15.91,16.67
ALLSKY_SFC_SW_DWN,2001,15.02,17.31,17.9,16.83,16.68,15.6,17.79,15.02,16.5,16.47,15.61,15.54,16.35
ALLSKY_SFC_SW_DWN,2002,17.03,18.77,20.46,19.04,17.42,16.42,16.6,17.36,14.5,16.53,15.84,15.78,17.14
ALLSKY_SFC_SW_DWN,2003,14.79,16.85,19.36,17.27,17.18,17.02,15.83,16.39,15.39,16.38,15.94,14.14,16.37
ALLSKY_SFC_SW_DWN,2004,16.12,18.78,17.21,19.41,17.3,16.86,15.11,17.59,15.56,15.92,17.22,14.38,16.77
ALLSKY_SFC_SW_DWN,2005,16.64,20.39,18.57,18.59,15.7,15.79,14.77,15.91,16.47,16.09,15.02,15.55,16.59
ALLSKY_SFC_SW_DWN,2006,14.76,18.66,19.61,16.91,15.85,14.67,16.2,16.38,15.38,14.26,15.05,12.89,15.87
ALLSKY_SFC_SW_DWN,2007,13.9,18.62,17.3,17.38,16.38,16.25,13.66,15.42,17.17,16.56,14.2,14.37,15.91
ALLSKY_SFC_SW_DWN,2008,16.57,16.8,15.24,17.74,17.05,16.01,14.85,15.73,16.7,15.71,15.31,14.85,16.04
ALLSKY_SFC_SW_DWN,2009,17.36,17.91,17.38,17.08,17.23,17.28,15.77,16.23,16.03,16.26,14.97,15.6,16.58
ALLSKY_SFC_SW_DWN,2010,17.48,20.14,18.27,18.42,17.61,14.92,14.43,16.17,16.44,15.88,15.96,14.82,16.69
ALLSKY_SFC_SW_DWN,2011,13.93,19.49,16.55,19.57,16.55,14.76,18.1,15.83,15.72,15.9,15.86,13.82,16.31
ALLSKY_SFC_SW_DWN,2012,17.48,18.69,15.98,17.01,16.45,16.77,15.96,15.69,16.51,17.16,16.02,13.74,16.44
ALLSKY_SFC_SW_DWN,2013,16.96,15.33,20.35,16.76,16.24,17.57,15.73,16.31,15.26,17.84,16.1,14.12,16.56
ALLSKY_SFC_SW_DWN,2014,16.54,20.43,20.11,17.96,16.67,16.82,15.58,15.0,17.73,17.33,15.92,14.38,17.01
ALLSKY_SFC_SW_DWN,2015,18.12,19.45,19.63,18.99,16.47,17.46,16.74,16.13,13.15,12.9,15.94,15.73,16.71
ALLSKY_SFC_SW_DWN,2016,16.85,17.04,20.14,19.01,17.29,14.79,15.56,17.05,17.69,15.77,14.76,16.06,16.84
ALLSKY_SFC_SW_DWN,2017,15.51,17.04,17.68,16.16,15.15,16.54,16.78,15.36,16.45,16.91,14.54,15.9,16.16
ALLSKY_SFC_SW_DWN,2018,14.22,19.12,18.54,17.99,16.36,14.03,15.87,17.17,16.35,16.54,14.98,16.16,16.43
ALLSKY_SFC_SW_DWN,2019,17.67,20.77,20.54,17.24,16.59,14.34,17.35,17.72,16.77,16.96,16.06,14.68,17.21
ALLSKY_SFC_SW_DWN,2020,17.64,19.43,19.77,18.67,16.34,13.93,14.96,16.25,15.44,16.64,14.59,16.03,16.64
ALLSKY_SFC_SW_DWN,2021,14.0,20.1,19.33,18.09,16.12,16.37,16.42,14.24,17.39,17.37,15.44,15.46,16.67
ALLSKY_SFC_SW_DWN,2022,18.73,16.34,19.11,16.57,17.89,14.97,16.6,14.99,14.62,15.03,14.97,14.17,16.18
ALLSKY_SFC_SW_DWN,2023,13.68,16.5,17.15,17.04,18.07,15.93,15.31,15.97,17.15,18.41,15.94,13.77,16.24
