# Area: Afghanistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  34.53   Longitude 69.17 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2088.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-0.95,0.97,6.18,13.07,17.61,20.94,23.66,20.89,17.6,11.33,6.47,2.62,11.76
T2M,1982,-0.38,-1.97,2.67,11.62,15.64,19.78,23.41,22.38,16.58,12.83,5.04,0.21,10.73
T2M,1983,-0.05,1.54,2.71,8.75,16.28,19.77,23.66,23.75,19.35,11.69,7.78,1.37,11.44
T2M,1984,-1.26,-3.21,8.23,12.47,18.37,23.0,24.36,25.0,17.33,11.43,6.69,0.25,11.94
T2M,1985,-0.07,4.24,8.49,13.31,17.17,22.03,24.51,22.3,17.96,12.12,6.72,1.36,12.55
T2M,1986,-0.08,1.63,3.99,11.45,15.76,21.44,22.97,21.03,17.36,12.65,6.58,0.3,11.3
T2M,1987,2.15,3.77,7.52,12.18,15.46,19.65,22.4,23.15,18.92,11.65,8.37,5.15,12.58
T2M,1988,1.3,3.25,5.51,14.47,18.32,23.13,25.48,22.09,18.26,11.45,8.56,2.89,12.91
T2M,1989,-1.1,-0.55,6.0,9.42,14.84,20.34,21.75,20.78,17.61,12.57,6.5,2.43,10.95
T2M,1990,0.52,1.18,5.67,11.7,19.04,22.8,23.67,22.84,18.58,11.8,7.57,1.17,12.27
T2M,1991,-0.18,0.32,6.27,10.45,16.68,21.91,24.02,21.76,17.18,10.72,6.48,2.57,11.58
T2M,1992,-0.26,0.85,3.99,10.3,13.92,19.78,22.34,20.45,16.18,11.52,7.83,3.39,10.88
T2M,1993,-1.93,3.31,3.8,12.92,16.9,21.02,22.17,20.33,17.61,10.59,8.0,4.01,11.59
T2M,1994,0.11,0.34,7.6,8.88,16.71,21.95,24.72,23.74,15.63,10.87,8.6,0.76,11.73
T2M,1995,-0.02,1.53,5.21,10.88,17.01,21.41,23.61,21.62,17.55,11.93,6.98,0.83,11.6
T2M,1996,-0.76,2.1,6.43,12.69,14.68,21.48,22.13,20.51,18.28,10.5,3.56,2.09,11.16
T2M,1997,0.98,1.53,5.63,11.66,14.72,21.32,24.82,22.1,18.46,11.22,5.16,0.82,11.59
T2M,1998,-0.75,1.15,5.85,13.67,17.29,19.65,23.76,21.97,19.36,12.51,8.06,6.07,12.44
T2M,1999,1.14,3.1,7.17,12.84,17.86,21.65,23.24,22.67,19.69,13.33,6.59,4.29,12.85
T2M,2000,1.91,0.49,6.56,15.0,21.52,21.95,22.99,21.44,17.78,13.05,5.63,2.81,12.63
T2M,2001,1.11,2.78,8.32,14.3,20.8,22.45,23.74,22.0,17.39,13.32,7.96,4.11,13.25
T2M,2002,1.91,2.25,8.93,13.41,18.47,22.59,22.83,23.31,16.89,13.35,7.47,1.82,12.83
T2M,2003,1.84,2.22,6.35,13.52,15.3,21.62,25.16,22.92,17.96,13.03,5.48,2.15,12.35
T2M,2004,0.94,4.42,11.14,14.32,18.31,22.28,22.38,21.1,18.17,10.69,8.6,2.8,12.94
T2M,2005,-1.75,-1.01,7.72,11.58,14.09,21.37,22.56,21.07,19.08,12.86,5.43,2.79,11.38
T2M,2006,-1.78,6.18,7.61,12.12,20.2,20.79,23.55,22.09,18.2,14.48,6.63,-1.81,12.38
T2M,2007,-0.32,1.69,5.6,14.7,17.42,22.14,23.24,21.71,17.32,11.04,9.64,1.04,12.15
T2M,2008,-4.47,0.17,10.18,11.66,17.95,22.23,22.61,21.44,17.76,13.74,7.68,3.14,12.04
T2M,2009,-0.73,0.63,6.43,9.71,14.86,17.62,22.67,22.69,18.14,11.14,6.26,1.45,10.97
T2M,2010,2.86,0.49,9.77,14.12,16.86,19.38,21.92,20.63,16.07,12.8,7.6,2.56,12.16
T2M,2011,0.0,-2.17,6.0,10.72,17.81,21.05,22.24,21.98,16.91,11.64,6.66,0.83,11.22
T2M,2012,-5.84,-7.42,2.24,10.32,13.99,17.92,21.63,21.39,16.58,11.1,5.49,0.25,9.02
T2M,2013,-1.57,-0.01,6.26,9.71,14.92,21.0,23.71,22.59,19.88,13.66,5.29,1.74,11.5
T2M,2014,0.38,-3.8,3.21,10.01,14.34,19.48,22.25,21.42,18.64,11.91,5.67,2.05,10.55
T2M,2015,0.37,1.97,5.04,11.62,15.18,18.82,22.43,20.46,16.11,12.82,5.02,1.15,10.97
T2M,2016,1.11,3.14,7.15,10.84,16.6,19.41,20.46,19.93,17.81,12.51,7.55,5.93,11.9
T2M,2017,-2.7,-0.24,5.14,12.18,18.36,22.11,24.22,22.54,18.58,14.45,7.55,2.53,12.13
T2M,2018,2.41,3.16,9.97,14.11,16.59,22.21,24.69,22.05,18.3,11.79,6.65,2.28,12.9
T2M,2019,-1.61,-2.6,4.2,12.47,15.86,19.49,24.85,22.75,20.13,12.8,5.25,2.74,11.44
T2M,2020,-4.07,2.54,4.73,10.73,14.93,19.87,22.44,23.33,17.84,10.56,4.93,0.8,10.74
T2M,2021,1.39,6.2,8.31,11.39,16.23,20.65,23.76,21.3,18.95,10.68,6.17,2.59,12.33
T2M,2022,-3.09,0.82,9.43,15.63,16.23,19.83,23.52,20.13,17.78,12.02,5.64,2.19,11.73
T2M,2023,-4.51,3.08,7.92,11.84,15.28,21.75,23.24,21.92,19.09,14.01,9.02,5.13,12.36
