# Area: Albania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.33   Longitude 19.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 686.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-1.87,1.58,7.93,10.04,13.57,20.23,20.89,22.02,17.88,13.96,3.58,3.92,11.2
T2M,1982,2.25,0.76,4.53,8.83,15.09,20.84,21.86,22.5,20.6,13.04,6.77,4.03,11.82
T2M,1983,1.92,0.56,5.99,10.97,15.62,17.74,22.42,20.86,17.21,11.84,5.85,3.0,11.23
T2M,1984,2.63,2.45,4.19,8.1,14.24,17.64,21.52,20.48,16.97,14.03,7.66,2.49,11.06
T2M,1985,0.5,-0.58,5.21,10.02,15.85,18.22,23.05,22.77,18.69,12.24,7.76,4.95,11.63
T2M,1986,2.05,2.52,6.3,10.85,15.97,18.2,20.91,23.4,19.41,12.92,6.68,1.3,11.76
T2M,1987,1.74,3.61,0.79,8.41,12.04,18.41,24.34,22.11,22.1,13.08,7.48,4.09,11.55
T2M,1988,5.17,2.91,4.34,9.47,15.07,18.54,25.45,24.23,18.09,12.98,3.51,1.99,11.85
T2M,1989,1.18,4.36,8.25,11.64,13.39,16.45,21.53,21.69,17.25,11.54,6.06,2.54,11.36
T2M,1990,1.44,5.38,8.81,9.87,14.9,18.67,23.25,22.14,16.78,14.3,8.48,2.45,12.25
T2M,1991,1.26,0.93,7.96,7.72,10.7,18.76,21.69,21.5,18.64,12.04,7.14,-1.43,10.63
T2M,1992,0.99,1.37,5.13,9.35,14.0,17.6,20.8,24.95,18.32,13.75,7.91,2.08,11.39
T2M,1993,1.54,0.6,4.54,9.38,15.22,19.78,22.2,24.26,17.18,14.8,5.61,5.32,11.78
