# Area: Equatorial Guinea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.75   Longitude 8.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,26.64,27.26,27.42,28.12,27.12,26.47,25.48,25.17,25.46,26.18,26.62,26.76,26.55
T2M,1982,26.84,27.02,26.97,27.47,26.83,25.73,24.9,24.7,25.0,25.2,26.0,26.67,26.1
T2M,1983,26.81,27.76,28.66,28.14,27.34,26.06,24.79,24.37,24.77,25.19,26.08,26.36,26.35
T2M,1984,26.77,27.23,27.47,27.2,26.98,26.24,25.79,25.73,25.83,25.83,26.06,26.78,26.49
T2M,1985,26.77,27.41,27.19,26.73,26.9,25.92,25.12,25.2,25.07,25.73,26.57,26.66,26.27
T2M,1986,26.8,26.85,26.5,27.49,27.05,26.13,25.17,24.63,25.23,25.63,26.13,26.23,26.15
T2M,1987,26.78,27.17,27.37,27.64,27.77,26.67,26.34,25.92,25.87,26.03,26.73,27.22,26.79
T2M,1988,27.14,27.82,27.93,28.04,27.52,26.63,25.97,25.37,25.37,26.18,26.61,26.76,26.77
T2M,1989,27.38,27.8,27.35,27.42,27.11,26.29,25.71,25.42,25.39,25.89,26.78,27.15,26.63
T2M,1990,26.87,27.82,28.13,28.08,27.21,26.84,25.62,25.12,25.6,26.03,26.81,26.65,26.72
T2M,1991,26.78,27.66,27.73,27.28,27.4,26.66,25.64,25.52,26.22,25.8,26.7,27.11,26.7
T2M,1992,26.87,28.1,27.56,27.57,27.15,26.22,25.19,24.68,25.24,25.74,26.24,27.04,26.46
T2M,1993,26.73,27.37,27.61,27.61,27.67,26.33,25.66,25.21,25.56,26.32,26.34,27.07,26.62
T2M,1994,27.27,27.46,27.8,27.61,27.59,26.53,25.61,25.44,25.55,26.02,26.35,27.22,26.7
T2M,1995,27.28,27.42,27.77,27.97,27.57,26.57,26.08,25.7,25.66,26.15,26.92,26.87,26.83
T2M,1996,26.92,27.13,27.24,27.65,27.8,26.56,25.32,25.07,25.43,25.67,26.21,26.8,26.48
T2M,1997,26.83,27.72,27.75,27.09,27.42,26.13,25.64,24.82,25.85,26.84,26.87,27.38,26.69
T2M,1998,27.74,28.76,28.61,28.77,28.4,27.05,26.13,25.58,25.84,26.3,27.23,27.33,27.3
T2M,1999,27.34,27.32,27.9,27.7,27.34,26.79,25.87,25.73,25.52,25.77,26.5,27.28,26.75
T2M,2000,27.43,27.54,28.07,27.85,27.82,26.47,25.81,25.32,25.19,25.95,26.66,27.01,26.76
T2M,2001,27.27,27.31,27.61,27.75,27.59,26.45,25.35,25.09,25.3,26.29,26.53,27.28,26.65
T2M,2002,27.87,27.96,27.97,28.1,28.08,26.94,26.21,25.32,25.79,26.01,26.61,27.12,26.99
T2M,2003,27.32,27.97,28.16,28.08,28.0,26.68,25.92,25.99,25.93,26.96,27.07,27.35,27.11
T2M,2004,27.35,27.69,28.32,28.23,27.66,26.57,25.78,25.6,26.14,26.7,27.1,27.44,27.05
T2M,2005,27.72,28.35,28.58,28.53,27.79,26.77,25.84,25.31,25.86,26.16,27.27,27.08,27.09
T2M,2006,27.36,28.04,28.12,27.98,27.3,27.11,26.16,25.53,25.73,26.57,26.82,27.45,27.01
T2M,2007,27.86,27.98,28.26,28.02,27.92,26.82,26.09,25.74,25.95,26.24,26.85,27.1,27.06
T2M,2008,27.25,27.96,27.79,27.6,27.56,26.68,26.05,25.84,26.13,26.79,27.22,27.34,27.01
T2M,2009,27.39,27.56,27.98,27.8,27.53,26.99,26.15,25.82,26.2,26.49,27.13,27.61,27.05
T2M,2010,27.95,28.39,28.49,28.74,28.04,26.96,26.02,25.82,25.99,26.37,26.99,27.43,27.26
T2M,2011,27.52,27.53,27.92,28.06,27.9,26.66,25.85,25.55,25.81,26.37,26.99,27.4,26.96
T2M,2012,27.35,27.13,27.8,27.94,27.53,26.85,26.01,25.66,25.96,26.58,26.95,27.34,26.92
T2M,2013,27.73,27.9,28.12,28.1,27.52,26.61,25.4,25.24,25.69,26.12,26.73,27.11,26.85
T2M,2014,27.54,27.75,27.89,28.02,27.93,27.11,25.79,25.43,25.66,26.28,26.76,27.34,26.95
T2M,2015,27.44,27.77,27.85,27.93,28.01,26.44,25.94,25.59,25.86,26.61,27.07,27.76,27.02
T2M,2016,28.12,28.16,28.69,28.62,28.1,27.01,26.15,25.56,25.98,26.71,27.32,27.73,27.34
T2M,2017,27.65,27.9,28.23,28.26,27.93,27.24,26.17,25.61,26.01,26.6,27.01,27.43,27.16
T2M,2018,27.23,27.97,27.76,27.98,27.77,27.1,26.21,25.92,26.38,26.85,27.47,27.61,27.18
T2M,2019,27.93,28.19,28.34,28.72,28.09,27.38,26.29,26.03,26.44,26.68,27.47,28.06,27.46
T2M,2020,28.37,28.7,28.79,28.31,28.16,27.2,26.23,26.05,25.98,26.39,27.18,27.59,27.41
T2M,2021,27.73,28.3,27.84,28.27,28.01,27.22,26.5,26.2,26.36,26.98,27.29,27.9,27.38
T2M,2022,27.84,28.02,28.24,28.03,27.74,26.82,26.08,25.91,26.06,26.66,27.02,27.66,27.17
T2M,2023,27.79,28.34,28.07,28.1,28.28,27.25,26.84,26.42,26.68,27.38,27.48,28.31,27.57
