# Area: Finland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  64.96   Longitude 26.04 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-10.22,-12.98,-11.16,-2.6,7.71,10.95,15.92,11.76,7.21,2.63,-6.51,-13.74,-0.01
T2M,1982,-17.58,-9.86,-4.55,-1.28,5.93,8.57,15.02,13.01,7.83,0.92,-1.15,-7.36,0.85
T2M,1983,-9.0,-12.11,-6.59,0.27,9.03,12.25,15.9,11.9,9.26,1.75,-8.35,-11.01,1.19
T2M,1984,-12.1,-8.29,-8.62,0.37,10.76,12.65,14.89,12.38,7.22,2.15,-4.41,-9.0,1.53
T2M,1985,-23.14,-19.82,-5.36,-3.1,5.02,12.4,14.85,13.92,8.12,3.42,-5.5,-14.51,-1.03
T2M,1986,-16.99,-14.76,-3.25,-2.03,7.86,14.7,15.5,10.4,4.76,2.84,-0.75,-15.11,0.34
T2M,1987,-20.18,-13.23,-8.54,-1.19,6.41,12.07,13.24,10.57,6.96,5.3,-7.09,-11.82,-0.56
T2M,1988,-10.45,-10.76,-6.34,-2.48,7.92,14.5,17.96,13.06,9.42,2.27,-6.88,-13.05,1.3
T2M,1989,-7.43,-5.36,-2.29,1.06,7.76,13.92,14.73,13.21,9.22,1.16,-1.98,-8.44,3.0
T2M,1990,-14.56,-2.95,-4.48,2.41,6.21,12.15,14.96,13.95,6.53,1.68,-7.28,-6.06,1.9
T2M,1991,-11.24,-13.63,-6.75,0.46,5.04,11.85,15.19,14.76,6.51,3.03,-1.42,-5.73,1.6
T2M,1992,-7.96,-7.34,-2.94,-3.95,8.01,13.76,13.31,11.43,9.75,-5.25,-8.88,-4.02,1.36
