# Area: Italy
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.87   Longitude 12.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 198.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,3.46,5.83,10.81,13.86,16.58,22.22,23.38,24.82,21.14,16.71,8.63,8.03,14.67
T2M,1982,8.21,6.74,8.51,12.28,17.48,23.1,26.61,25.05,23.05,16.46,12.17,8.51,15.73
T2M,1983,7.34,5.22,9.97,13.11,17.04,21.92,27.8,24.36,21.05,15.88,11.56,7.72,15.31
T2M,1984,6.7,6.03,8.25,11.88,15.43,20.08,24.67,23.38,19.55,15.99,12.82,8.32,14.45
T2M,1985,4.62,7.28,9.07,12.71,17.42,21.03,26.43,25.31,23.26,16.85,11.41,9.06,15.42
T2M,1986,6.61,6.01,10.02,12.43,19.2,20.14,23.88,25.38,21.32,17.67,11.9,6.58,15.15
T2M,1987,5.91,7.26,5.93,12.66,15.3,20.95,25.87,25.5,24.14,17.92,11.52,8.99,15.2
T2M,1988,8.49,7.34,8.98,13.21,18.11,20.69,26.27,25.94,20.78,18.3,9.28,6.94,15.4
T2M,1989,6.88,8.63,12.13,12.76,17.14,20.57,24.29,25.09,20.5,14.85,10.77,8.4,15.21
T2M,1990,7.23,10.09,11.29,12.16,18.05,21.72,25.58,24.62,20.84,18.26,11.02,6.0,15.61
T2M,1991,6.89,6.54,11.92,11.14,13.71,20.46,25.64,26.19,22.24,15.42,10.76,4.49,14.67
T2M,1992,6.68,7.05,9.98,12.67,18.71,20.08,24.15,26.83,21.75,16.56,12.89,8.31,15.5
T2M,1993,6.55,5.96,8.43,12.93,18.82,22.97,24.5,27.28,21.14,16.92,10.34,9.05,15.47
T2M,1994,8.02,7.6,12.06,12.01,18.17,21.98,27.29,27.9,22.5,16.87,12.68,8.84,16.39
T2M,1995,5.44,8.94,8.59,12.12,16.87,20.42,26.64,24.03,19.27,17.35,10.21,9.58,15.0
T2M,1996,8.48,6.13,8.67,13.45,17.05,22.06,24.18,24.56,18.17,14.94,11.99,7.84,14.82
T2M,1997,8.91,8.33,10.44,10.82,18.23,22.36,24.57,24.86,22.82,16.72,11.9,8.66,15.77
T2M,1998,7.81,8.92,9.05,13.32,18.52,23.67,26.61,26.62,20.45,15.7,9.42,6.26,15.57
T2M,1999,6.98,5.67,9.74,12.81,19.09,22.23,24.38,25.85,22.16,17.54,10.84,7.39,15.45
T2M,2000,5.57,7.66,9.88,13.81,19.47,22.86,23.91,26.59,21.05,16.84,12.62,9.88,15.87
T2M,2001,8.69,7.82,12.36,12.01,19.17,21.52,25.22,26.59,19.47,18.87,11.49,5.17,15.76
T2M,2002,5.25,9.69,11.83,13.66,18.45,24.63,24.83,23.82,19.21,16.23,13.24,9.23,15.87
T2M,2003,7.15,4.57,9.67,12.88,20.1,26.28,27.36,28.82,21.03,16.16,13.02,7.99,16.33
T2M,2004,5.7,7.94,9.34,12.9,15.81,21.51,25.21,24.93,21.63,18.63,12.19,9.73,15.48
T2M,2005,5.37,4.52,9.35,12.67,18.87,22.79,25.5,23.62,21.39,16.44,11.45,6.84,14.96
T2M,2006,5.46,6.83,8.91,13.99,18.22,21.68,27.27,23.89,22.1,17.92,12.27,9.5,15.72
T2M,2007,9.32,9.48,10.85,16.06,18.62,22.58,26.16,25.45,20.53,16.52,10.81,6.96,16.15
T2M,2008,8.35,7.83,9.91,13.34,18.47,22.92,25.73,26.64,20.79,17.67,12.35,7.83,16.02
T2M,2009,7.39,6.38,9.83,14.45,20.04,21.8,25.73,27.47,22.3,15.67,12.31,8.04,16.01
T2M,2010,6.31,7.36,9.52,13.76,16.4,21.26,26.41,25.12,20.78,16.07,12.22,7.07,15.23
T2M,2011,7.2,7.33,9.61,14.6,18.15,22.59,23.82,26.27,23.6,16.77,12.55,8.62,15.97
T2M,2012,6.45,4.49,12.02,13.26,17.35,24.11,26.77,27.96,21.28,17.79,13.73,6.96,16.05
T2M,2013,7.04,5.92,9.78,14.66,16.49,21.07,25.39,26.41,21.55,18.27,12.13,8.62,15.67
T2M,2014,8.86,10.06,10.56,13.74,16.56,22.25,23.0,24.11,21.43,17.94,14.24,8.89,16.0
T2M,2015,7.11,7.32,10.04,13.2,18.26,22.86,28.21,26.56,21.82,16.51,12.34,9.14,16.17
T2M,2016,8.03,10.21,10.2,15.01,16.97,21.77,26.2,25.45,21.79,16.6,12.0,7.67,16.01
T2M,2017,4.84,9.59,11.59,13.88,19.27,25.11,26.95,28.4,19.87,16.91,11.34,7.08,16.28
T2M,2018,9.01,6.15,9.52,16.01,18.79,22.58,26.52,26.53,22.64,18.48,12.65,8.17,16.48
T2M,2019,4.96,8.08,11.18,13.43,14.8,24.75,27.06,27.59,22.7,18.38,13.44,9.64,16.38
T2M,2020,7.66,9.72,10.5,13.9,18.89,21.55,26.66,27.37,22.94,15.47,13.17,9.02,16.42
T2M,2021,6.81,9.36,9.63,11.99,16.6,23.59,26.16,26.74,23.55,16.53,13.28,8.36,16.08
T2M,2022,6.64,8.79,9.18,13.14,20.54,26.67,28.96,27.71,22.14,19.4,13.13,11.16,17.34
T2M,2023,8.11,7.9,11.29,12.87,18.46,23.42,28.18,26.8,23.82,20.8,13.56,9.93,17.16
