# Area: Lao People's Democratic Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  19.86   Longitude 102.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 779.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,16.42,20.89,23.99,24.64,23.42,24.27,23.54,23.7,23.36,21.02,18.92,14.25,21.53
T2M,1982,16.77,19.76,24.34,22.93,25.72,25.52,24.86,23.66,23.78,22.93,21.52,16.01,22.33
T2M,1983,15.81,21.16,23.73,28.46,26.35,26.93,25.33,24.58,24.45,22.49,18.18,16.16,22.8
T2M,1984,18.36,22.0,24.97,27.36,26.02,26.67,24.57,24.18,23.61,21.42,20.86,18.24,23.18
T2M,1985,18.7,21.8,24.01,25.54,25.45,24.76,23.7,23.54,23.39,22.32,20.27,17.24,22.56
T2M,1986,17.52,21.22,23.21,25.4,24.6,24.59,23.71,24.37,22.88,22.04,19.79,17.99,22.28
T2M,1987,18.53,21.31,23.37,25.62,26.75,25.53,24.6,24.49,24.8,23.84,22.07,15.16,23.0
T2M,1988,20.31,22.08,25.09,25.13,24.87,24.9,24.45,24.04,23.65,21.59,17.97,17.54,22.64
T2M,1989,18.57,21.16,22.61,27.43,25.51,24.83,25.22,24.41,24.08,22.2,20.46,17.68,22.85
T2M,1990,20.22,21.21,23.04,25.91,24.61,24.52,23.61,24.65,23.97,22.05,19.38,17.23,22.53
T2M,1991,20.19,20.71,25.28,25.61,25.59,24.7,24.34,23.99,24.15,21.37,18.79,17.19,22.67
T2M,1992,16.19,18.92,23.79,27.2,26.81,25.79,24.25,24.95,23.96,20.1,17.89,17.0,22.24
T2M,1993,16.98,19.81,23.24,25.63,25.31,26.21,24.47,23.5,23.56,22.04,20.14,16.47,22.28
T2M,1994,20.17,22.95,22.64,26.51,25.78,24.37,23.86,23.53,23.75,20.35,18.28,17.33,22.45
T2M,1995,17.59,18.76,23.6,26.37,25.81,24.69,23.76,23.59,23.51,21.9,18.55,15.24,21.96
T2M,1996,17.24,17.33,23.5,23.95,25.97,24.87,24.17,23.45,23.52,21.79,19.89,16.44,21.85
T2M,1997,17.88,20.33,23.51,23.44,25.93,26.0,24.35,24.15,23.21,23.85,21.75,20.31,22.91
T2M,1998,20.63,22.14,25.06,25.66,26.4,26.23,24.67,24.94,23.72,23.33,20.42,18.32,23.46
T2M,1999,18.18,21.59,24.04,24.74,23.57,24.3,24.46,23.83,23.53,22.28,19.23,12.7,21.86
T2M,2000,18.19,19.48,22.85,25.31,23.78,24.44,24.16,23.96,22.76,21.53,17.68,17.36,21.8
T2M,2001,18.64,19.99,22.24,26.6,23.99,24.44,23.79,24.45,23.7,22.16,16.14,16.47,21.89
T2M,2002,16.73,20.33,23.14,25.42,25.4,26.1,25.33,25.26,25.12,24.04,21.49,19.92,23.2
T2M,2003,18.54,22.28,23.9,28.74,29.26,27.42,26.67,25.59,24.92,24.94,22.97,18.27,24.46
T2M,2004,19.58,20.64,25.33,26.89,25.83,26.48,24.83,25.18,24.9,24.1,21.87,17.61,23.6
T2M,2005,19.54,23.88,23.36,26.56,26.97,24.92,25.29,24.48,25.61,24.58,22.13,17.84,23.75
T2M,2006,19.54,23.04,25.69,27.16,26.77,27.7,26.0,25.24,24.66,25.25,23.91,19.71,24.55
T2M,2007,19.37,22.42,25.72,26.36,26.73,27.64,26.19,26.59,24.77,23.77,20.02,21.18,24.24
