# Area: Latvia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.88   Longitude 24.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-4.65,-4.45,-2.71,2.36,11.93,15.05,17.32,15.34,12.02,7.62,1.0,-5.8,5.48
T2M,1982,-7.91,-6.56,-1.27,3.18,10.18,12.43,16.92,16.28,11.91,6.54,3.88,-0.86,5.46
T2M,1983,-0.19,-6.22,-1.84,6.02,12.56,13.92,17.24,16.78,13.01,7.48,0.99,-2.48,6.52
T2M,1984,-3.34,-6.52,-3.27,6.27,12.44,13.94,15.14,16.62,11.52,8.74,0.35,-3.61,5.73
T2M,1985,-13.25,-14.31,-2.21,2.76,11.0,13.91,16.0,17.4,10.54,8.49,-0.45,-4.17,3.93
T2M,1986,-5.17,-11.99,-0.84,4.28,11.34,15.5,16.89,15.47,9.06,6.5,3.53,-4.76,5.09
T2M,1987,-16.26,-5.55,-6.55,2.54,8.96,13.51,15.58,14.32,10.76,6.52,1.13,-2.97,3.54
T2M,1988,-3.36,-3.06,-1.86,3.03,11.83,16.41,18.95,15.39,12.82,6.26,-1.3,-4.09,5.95
T2M,1989,0.86,1.35,2.72,6.15,11.14,15.76,17.38,15.6,12.77,7.08,0.96,-2.64,7.46
T2M,1990,-0.85,2.58,3.18,7.15,9.92,14.5,15.71,16.43,10.08,6.37,2.35,-2.89,7.06
T2M,1991,-1.79,-4.74,0.54,5.12,8.36,13.41,17.15,17.5,12.21,6.79,3.06,-0.48,6.5
T2M,1992,-0.83,-1.13,1.41,3.57,10.94,15.63,17.18,16.78,12.56,2.99,-0.66,-1.38,6.45
T2M,1993,-2.13,-2.17,-1.37,5.19,13.71,12.81,15.96,14.55,8.49,5.13,-4.58,-2.58,5.31
T2M,1994,-2.98,-11.96,-2.25,6.53,9.05,12.63,18.88,16.82,13.04,5.13,0.66,-2.02,5.4
T2M,1995,-4.99,-0.11,0.64,4.84,10.02,16.58,16.55,16.72,12.0,8.33,-0.6,-7.01,6.11
T2M,1996,-9.88,-11.03,-4.58,4.66,10.98,13.65,15.28,17.89,10.01,7.53,3.3,-6.49,4.32
T2M,1997,-4.25,-2.19,-0.37,2.44,8.74,15.51,18.25,18.87,11.51,5.12,0.61,-7.01,5.65
T2M,1998,-2.23,-2.11,-1.34,5.93,11.42,15.55,15.91,14.49,11.65,6.02,-4.76,-4.82,5.52
T2M,1999,-4.49,-6.66,-1.12,6.82,8.04,17.65,18.51,16.03,13.86,6.55,1.0,-1.46,6.29
T2M,2000,-3.41,-1.26,0.15,8.35,10.54,13.64,16.12,15.6,10.73,8.61,3.95,0.16,6.95
T2M,2001,-3.72,-5.06,-1.83,5.88,10.2,13.98,20.59,16.91,11.93,8.0,0.57,-7.84,5.87
T2M,2002,-3.22,-0.52,1.0,5.61,12.87,15.67,18.72,18.46,12.23,2.47,-0.35,-8.36,6.25
T2M,2003,-7.14,-8.04,-2.21,2.94,10.4,13.48,19.63,16.28,12.33,4.75,2.35,-0.13,5.47
T2M,2004,-8.15,-4.6,-1.15,4.97,9.29,13.35,16.19,17.53,12.51,6.77,0.3,0.18,5.63
T2M,2005,-1.33,-8.6,-6.05,4.52,10.21,14.07,18.39,16.35,13.53,7.46,2.13,-3.83,5.65
T2M,2006,-9.39,-8.85,-5.02,4.12,10.21,15.03,18.36,17.71,14.41,9.32,2.93,2.91,6.07
T2M,2007,0.01,-9.41,3.03,4.55,11.94,16.54,16.78,18.1,12.3,7.34,0.85,0.11,6.96
T2M,2008,-1.99,0.77,0.59,6.74,10.46,14.57,17.4,16.95,11.28,8.32,2.44,-1.61,7.18
T2M,2009,-4.1,-6.12,-1.69,6.01,11.15,14.16,17.63,16.31,13.81,4.81,2.32,-3.88,5.93
T2M,2010,-13.9,-8.14,-2.7,5.11,12.23,15.01,21.65,19.22,11.65,4.67,1.9,-7.84,4.97
T2M,2011,-4.85,-10.66,-2.76,5.68,10.83,16.81,19.9,17.1,13.22,7.58,3.75,1.03,6.57
T2M,2012,-4.98,-11.19,-0.51,5.0,11.4,13.62,17.58,15.9,12.7,7.04,3.07,-6.31,5.33
T2M,2013,-8.34,-4.92,-8.07,2.44,13.95,17.65,17.94,17.26,12.38,7.56,4.07,1.13,6.14
T2M,2014,-6.69,-1.74,2.12,6.28,11.66,14.08,19.49,17.28,12.96,5.94,0.98,-2.14,6.73
T2M,2015,-2.44,-2.12,2.06,5.0,9.86,14.2,16.29,17.74,13.29,5.51,4.05,2.28,7.2
T2M,2016,-7.02,-0.08,-0.02,5.21,13.49,16.11,18.22,16.66,13.7,4.52,-0.22,0.17,6.74
T2M,2017,-3.78,-4.18,1.09,3.36,10.19,14.16,16.23,16.93,12.76,6.34,2.76,-0.27,6.36
T2M,2018,-2.94,-8.25,-3.25,6.65,14.79,15.87,19.94,18.83,14.61,7.72,2.41,-2.93,7.05
T2M,2019,-5.64,-0.96,1.48,6.81,11.46,18.59,16.73,17.33,12.64,8.34,3.36,1.58,7.68
T2M,2020,2.04,1.53,2.12,5.21,9.22,18.01,16.92,17.47,14.39,9.57,4.8,-1.24,8.35
T2M,2021,-5.89,-7.29,0.54,4.34,10.07,18.82,21.61,16.23,11.31,7.73,3.02,-5.17,6.35
T2M,2022,-2.04,-0.74,0.27,4.32,9.79,17.12,17.91,20.03,10.87,8.88,1.97,-5.28,6.97
T2M,2023,-2.2,-2.19,0.51,6.82,11.3,16.66,16.93,18.88,15.84,7.12,1.29,-2.65,7.41
