# Area: Luxembourg
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  49.61   Longitude 6.13 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 277.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-1.44,-0.72,6.66,8.12,12.09,14.89,16.42,17.05,14.39,7.8,3.85,-1.62,8.17
T2M,1982,-2.2,0.6,3.91,6.64,12.22,16.35,19.49,17.58,16.91,9.37,5.57,1.37,9.03
T2M,1983,2.61,-1.78,3.86,7.65,10.08,16.24,20.49,19.12,13.93,9.21,3.24,0.49,8.83
T2M,1984,0.19,-0.14,2.5,6.69,9.74,14.03,16.68,18.1,12.76,9.67,5.63,1.04,8.1
T2M,1985,-6.16,-2.71,2.45,7.37,12.77,13.46,17.87,16.45,14.83,9.17,0.51,1.7,7.37
T2M,1986,0.0,-5.48,2.86,5.47,13.09,16.44,17.61,16.75,12.04,10.48,5.06,1.44,8.07
T2M,1987,-4.83,-0.38,0.77,8.94,9.77,13.99,17.13,16.47,15.78,10.02,3.89,0.81,7.73
T2M,1988,3.6,1.58,3.56,8.37,14.09,15.55,16.57,18.32,13.77,10.17,2.86,3.67,9.38
T2M,1989,1.48,2.15,7.08,6.59,14.1,15.32,18.98,18.57,15.08,10.63,2.55,2.01,9.6
T2M,1990,1.39,5.29,6.12,6.79,13.95,15.53,18.48,20.21,12.68,10.81,4.26,-0.47,9.62
T2M,1991,0.64,-2.42,6.51,6.83,10.19,13.68,20.83,20.57,17.05,8.34,3.43,-0.3,8.86
T2M,1992,-0.44,1.73,4.99,7.42,14.08,16.75,19.29,19.86,13.9,6.81,5.66,1.17,9.29
T2M,1993,2.23,-0.56,3.97,9.86,14.02,16.75,17.29,17.16,12.84,7.36,0.25,2.73,8.72
T2M,1994,2.13,0.46,5.93,7.29,12.15,15.97,22.46,18.69,13.2,8.25,7.66,3.45,9.87
T2M,1995,0.72,4.06,2.94,8.25,12.29,14.3,21.13,19.66,12.52,12.0,3.51,-1.18,9.22
T2M,1996,-1.78,-2.11,1.74,8.08,11.12,16.78,17.58,17.7,11.75,8.93,3.43,-2.8,7.56
T2M,1997,-4.66,2.82,6.31,6.55,12.25,15.19,17.36,21.15,15.02,8.32,4.3,1.49,8.88
T2M,1998,1.54,2.05,5.12,7.47,13.71,15.91,16.55,18.51,13.61,8.5,1.04,0.48,8.75
T2M,1999,2.23,0.35,5.31,8.54,13.74,15.2,19.68,18.5,17.24,8.65,2.49,1.49,9.51
T2M,2000,0.39,3.14,5.06,8.9,14.27,16.97,15.54,18.46,14.75,9.76,5.68,3.27,9.7
T2M,2001,0.91,2.56,5.36,6.68,13.83,14.63,19.08,19.42,11.78,12.23,2.99,-0.56,9.13
T2M,2002,-1.48,4.39,5.33,7.82,12.68,17.5,18.27,19.0,13.55,9.31,6.61,2.28,9.63
T2M,2003,-0.91,-1.75,5.69,8.09,13.4,19.83,20.03,23.03,14.8,6.6,5.73,1.09,9.7
T2M,2004,0.32,1.75,3.62,8.85,11.72,16.3,17.84,18.83,14.84,10.14,3.81,-0.59,8.97
T2M,2005,1.28,-0.94,4.29,9.11,12.69,17.77,19.22,16.93,16.0,12.0,3.87,0.24,9.43
T2M,2006,-2.54,-0.12,2.36,7.95,13.01,17.05,23.71,15.84,17.2,12.17,6.75,2.73,9.73
T2M,2007,4.28,4.18,5.23,12.0,14.17,17.13,16.44,16.67,12.72,8.97,3.54,0.92,9.71
T2M,2008,2.56,2.71,3.87,7.07,14.56,16.46,18.04,17.32,12.11,8.66,4.5,-0.09,9.0
T2M,2009,-2.87,0.36,3.9,10.92,13.79,15.68,18.38,19.44,15.02,8.75,6.99,0.43,9.27
T2M,2010,-3.34,-0.45,3.91,8.3,10.78,16.85,20.56,17.32,12.8,8.17,4.64,-4.34,7.97
T2M,2011,0.27,1.65,5.42,11.58,13.98,16.92,16.47,18.08,16.07,9.61,5.37,3.52,9.95
