# Area: Mali
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.57   Longitude -3.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 280.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,17.11,21.39,25.99,29.89,32.55,35.03,32.15,31.09,30.41,29.07,22.83,18.91,27.22
T2M,1982,16.99,20.77,24.76,30.03,32.15,34.21,33.86,32.59,32.99,28.63,22.26,17.45,27.25
T2M,1983,17.55,22.16,25.1,30.28,34.59,35.19,35.07,33.43,33.47,28.75,25.16,18.05,28.25
T2M,1984,17.91,19.06,25.39,29.65,32.71,34.63,34.06,32.62,31.31,27.73,23.58,19.03,27.32
T2M,1985,18.49,21.53,25.08,27.62,31.22,34.5,32.65,32.69,31.95,28.35,23.99,18.39,27.23
T2M,1986,16.32,21.12,22.9,30.74,33.0,34.47,33.19,32.11,30.62,28.79,22.4,17.27,26.93
T2M,1987,18.89,21.65,25.7,28.52,34.55,34.91,34.95,33.26,32.98,30.19,24.77,20.82,28.47
T2M,1988,17.9,22.49,25.91,30.18,33.09,35.75,34.41,32.88,32.1,29.48,23.19,16.93,27.86
T2M,1989,18.86,21.59,25.05,28.83,33.3,35.6,33.91,31.6,32.92,29.64,25.83,21.23,28.22
T2M,1990,18.37,21.67,26.35,30.45,33.32,35.47,33.11,32.69,32.78,30.41,24.31,19.92,28.26
T2M,1991,20.2,21.41,25.25,29.52,32.42,35.71,33.19,31.66,32.36,28.95,24.2,20.71,27.99
T2M,1992,18.07,23.66,22.85,28.36,31.94,34.83,33.49,32.58,32.14,29.12,22.92,21.06,27.58
T2M,1993,17.84,21.76,26.19,30.98,33.7,35.9,33.97,32.72,32.59,30.58,24.84,19.34,28.39
T2M,1994,17.14,20.62,25.63,29.53,33.95,35.43,33.42,30.85,31.03,29.03,24.31,18.66,27.49
T2M,1995,15.44,20.55,25.79,30.76,33.64,36.01,34.32,32.65,32.3,29.32,24.41,20.6,28.01
T2M,1996,21.58,23.17,25.63,29.73,34.22,35.35,34.56,33.49,32.34,29.92,23.33,21.18,28.72
T2M,1997,20.75,21.32,22.82,29.14,32.96,35.48,34.99,33.71,33.71,30.58,25.0,19.77,28.38
T2M,1998,19.6,23.98,24.62,32.09,34.46,36.12,34.64,33.61,32.97,30.5,23.43,20.76,28.91
T2M,1999,18.12,18.55,25.41,30.89,34.22,35.88,34.1,31.42,32.41,30.2,24.29,19.39,27.95
