# Area: Saint Lucia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.91   Longitude -60.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.97,26.1,26.54,26.71,27.33,27.4,27.47,27.82,27.99,27.77,27.72,27.01,27.16
T2M,1982,25.8,25.5,25.44,25.98,27.02,27.11,26.97,27.26,27.46,27.25,26.83,25.92,26.55
T2M,1983,25.71,25.43,26.18,26.81,27.29,27.31,27.23,27.52,27.8,27.38,26.91,26.36,26.83
T2M,1984,25.72,25.48,25.49,26.11,26.51,27.04,26.96,27.02,27.28,27.15,26.55,25.95,26.44
T2M,1985,25.27,25.23,25.22,25.66,26.58,27.18,27.33,27.34,27.49,27.03,26.84,26.04,26.44
T2M,1986,25.37,25.1,25.46,26.41,27.07,27.03,26.92,27.12,27.27,27.22,26.75,25.95,26.48
T2M,1987,25.47,25.57,26.04,27.08,27.31,27.53,27.46,27.9,28.15,27.86,27.48,26.97,27.08
T2M,1988,26.03,25.99,25.99,26.77,27.4,27.65,27.85,27.68,27.86,27.54,27.24,26.09,27.01
T2M,1989,25.53,25.28,25.11,25.77,26.5,27.07,27.53,27.73,27.62,27.45,27.39,26.41,26.62
T2M,1990,25.6,25.13,25.58,26.24,27.2,27.24,27.33,27.72,27.89,27.63,27.37,26.34,26.78
T2M,1991,25.79,25.81,25.89,26.16,26.92,27.25,27.17,27.47,27.73,27.16,26.76,25.68,26.65
T2M,1992,25.32,25.35,25.66,26.58,27.08,26.75,27.18,27.5,27.47,27.5,27.07,26.38,26.66
T2M,1993,25.63,25.37,25.58,26.51,27.16,27.49,27.36,27.51,27.82,27.73,26.85,26.36,26.79
T2M,1994,25.58,25.42,25.73,26.38,27.01,27.41,26.98,27.45,27.4,27.27,27.29,26.4,26.7
T2M,1995,25.8,25.83,25.95,26.42,27.6,27.42,27.84,28.2,27.99,27.71,27.52,26.92,27.11
