# Area: Saudi Arabia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  23.89   Longitude 45.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 904.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,16.08,16.35,20.25,26.14,30.23,32.86,33.92,33.4,29.95,25.5,19.8,16.3,25.11
T2M,1982,14.58,12.45,17.92,23.65,30.21,32.85,33.31,32.48,31.04,25.66,17.08,12.18,23.68
T2M,1983,11.55,13.33,16.55,23.17,30.05,33.26,34.01,33.39,30.28,22.96,18.84,14.18,23.52
T2M,1984,12.99,16.18,20.76,25.8,30.16,31.21,33.72,31.76,30.18,24.24,19.28,14.85,24.28
T2M,1985,16.66,14.2,20.91,24.19,29.57,32.18,33.3,33.79,30.55,25.2,20.17,14.51,24.66
T2M,1986,13.31,15.04,20.59,23.86,30.31,33.01,34.21,34.23,30.34,25.96,20.34,13.34,24.6
T2M,1987,13.57,17.72,20.05,25.64,31.05,32.47,35.49,35.19,32.08,27.03,19.82,16.14,25.56
T2M,1988,13.5,16.75,21.95,25.58,31.15,33.18,34.12,33.8,30.69,25.53,18.79,15.63,25.08
T2M,1989,10.85,13.5,19.89,23.6,30.44,32.02,34.24,33.3,29.72,24.62,21.26,15.01,24.1
T2M,1990,13.34,15.88,20.68,24.84,31.01,32.6,34.1,33.41,30.79,25.92,19.52,16.54,24.94
T2M,1991,14.22,15.63,19.72,27.14,30.68,33.44,33.1,33.11,30.52,25.91,19.13,16.75,24.99
T2M,1992,10.59,12.49,17.57,24.41,30.08,32.22,31.95,33.15,29.87,23.63,18.98,15.35,23.38
T2M,1993,12.75,14.48,20.37,24.01,29.71,32.41,32.99,33.42,30.61,26.24,20.03,16.14,24.49
T2M,1994,15.31,16.22,19.45,26.62,31.09,32.42,32.3,33.39,30.67,26.28,22.15,14.66,25.09
T2M,1995,14.73,15.86,19.01,24.34,29.96,32.97,32.79,34.07,30.29,26.01,19.32,15.04,24.58
T2M,1996,14.34,17.17,20.54,25.38,31.14,33.06,34.96,34.41,30.42,25.14,18.41,15.7,25.08
T2M,1997,14.08,15.38,18.61,24.31,29.41,34.24,33.16,32.64,31.77,26.46,19.57,16.47,24.72
T2M,1998,12.98,16.77,20.37,25.99,31.1,34.77,35.02,36.17,32.51,25.83,20.78,17.6,25.87
T2M,1999,14.09,20.17,19.69,27.08,31.46,34.05,33.75,34.55,32.08,26.19,21.25,15.46,25.83
