# Area: Slovakia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  48.67   Longitude 19.7 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 407.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-6.14,-2.36,4.43,6.75,13.23,17.51,17.78,17.43,14.69,9.02,0.79,-5.46,7.36
T2M,1982,-8.07,-5.72,1.96,5.41,14.0,17.36,19.16,19.25,17.71,9.39,2.48,-0.32,7.79
T2M,1983,-0.93,-4.64,3.38,9.9,15.02,16.89,20.84,19.28,15.04,7.88,0.56,-2.97,8.44
T2M,1984,-3.69,-4.15,0.43,7.79,12.62,15.01,16.81,18.28,14.22,9.45,2.28,-3.21,7.19
T2M,1985,-9.41,-8.85,1.78,7.98,14.17,14.12,18.14,18.39,13.44,7.79,-0.78,0.16,6.51
T2M,1986,-4.39,-7.25,1.68,9.73,15.56,16.77,18.32,19.35,14.12,8.46,2.94,-4.57,7.65
T2M,1987,-9.7,-2.22,-2.54,7.64,12.19,17.17,20.65,16.11,16.27,8.8,2.65,-2.09,7.11
T2M,1988,-0.46,-0.33,0.31,7.76,14.17,16.33,20.42,19.01,14.19,8.07,-2.32,-2.62,7.91
T2M,1989,-2.88,0.72,5.24,10.62,13.71,15.39,18.58,18.63,15.13,8.83,1.39,-1.55,8.69
T2M,1990,-2.52,1.91,6.61,7.79,14.29,16.66,18.45,19.87,11.89,8.39,3.14,-3.95,8.58
T2M,1991,-3.79,-5.74,4.41,6.56,10.5,16.45,20.28,18.19,14.72,7.07,2.35,-4.99,7.24
T2M,1992,-3.5,-1.04,2.25,7.88,13.24,17.67,20.0,23.63,13.85,6.65,1.93,-3.48,8.28
T2M,1993,-2.72,-2.99,1.33,8.04,16.86,17.47,18.01,19.69,13.25,9.26,-0.67,-1.26,8.1
T2M,1994,-0.82,-1.71,4.51,8.75,13.08,17.01,22.1,20.37,16.59,6.89,2.38,-1.61,9.03
T2M,1995,-4.18,0.73,1.85,7.6,12.62,16.73,21.3,18.77,12.57,9.98,-0.68,-3.91,7.83
T2M,1996,-6.84,-7.09,-2.1,8.21,14.75,17.82,17.03,18.15,10.2,8.0,4.33,-6.24,6.38
T2M,1997,-7.17,-2.3,1.78,4.34,14.2,17.25,17.87,19.24,13.9,5.69,2.31,-1.58,7.18
T2M,1998,-1.23,1.1,1.07,9.3,13.31,18.44,19.28,19.6,13.14,8.36,-0.39,-5.78,8.05
T2M,1999,-2.95,-3.82,3.54,9.08,13.18,17.87,19.76,17.5,16.41,7.63,0.15,-3.73,7.95
T2M,2000,-7.21,-0.79,2.05,10.52,15.39,18.25,17.49,20.6,13.38,11.67,5.7,-0.61,8.89
T2M,2001,-3.11,-1.61,2.94,7.89,14.67,15.58,19.56,20.25,12.43,11.14,0.15,-7.0,7.8
T2M,2002,-4.08,1.51,4.5,8.42,16.42,18.74,21.43,19.61,13.34,6.85,3.63,-4.65,8.85
T2M,2003,-5.28,-6.79,2.49,7.11,17.26,20.25,20.74,21.81,14.6,5.44,4.26,-2.01,8.41
T2M,2004,-6.61,-2.01,2.03,9.13,12.32,16.77,19.13,19.1,13.74,9.64,3.13,-1.93,7.89
T2M,2005,-3.28,-5.64,-0.54,9.19,14.51,16.63,19.79,17.59,15.22,9.21,2.08,-3.5,7.68
T2M,2006,-7.76,-5.94,-0.17,9.83,12.97,17.54,21.87,17.36,16.17,10.56,4.8,0.03,8.18
T2M,2007,0.42,0.62,5.6,10.45,16.0,19.96,21.74,20.46,12.64,8.3,0.66,-3.26,9.52
T2M,2008,-1.9,0.59,3.08,9.5,14.61,18.86,19.27,19.53,13.36,9.65,4.0,-0.75,9.17
T2M,2009,-4.48,-3.09,1.97,11.96,14.47,16.42,20.81,20.22,16.93,8.29,3.76,-1.23,8.9
T2M,2010,-4.93,-2.48,2.31,8.78,13.98,17.2,20.78,18.61,12.39,5.62,5.15,-5.43,7.71
T2M,2011,-3.22,-3.02,2.85,9.9,14.23,17.81,18.44,20.16,17.24,8.27,1.33,-1.16,8.63
T2M,2012,-3.93,-7.08,4.18,9.74,15.91,19.35,22.07,21.44,16.81,9.3,4.3,-4.06,9.05
T2M,2013,-4.76,-2.28,-0.22,9.55,14.53,18.35,20.48,21.42,12.98,10.33,4.75,-1.6,8.69
T2M,2014,-0.51,1.28,6.8,10.77,13.92,17.85,20.37,18.25,15.36,10.05,4.72,-0.15,9.94
T2M,2015,-1.21,-1.94,4.04,8.33,13.95,18.45,22.15,22.97,16.24,8.11,4.92,0.79,9.8
T2M,2016,-4.32,1.97,3.92,10.33,14.24,19.05,20.58,19.27,17.15,7.15,1.87,-2.76,9.04
T2M,2017,-7.95,0.08,5.77,8.08,14.61,19.5,20.17,21.88,13.97,9.19,3.05,-1.53,8.95
T2M,2018,-0.65,-3.81,0.25,13.08,17.08,18.89,20.48,22.16,16.48,11.35,4.74,-2.62,9.86
T2M,2019,-4.98,0.66,5.47,10.21,12.41,21.4,20.23,21.62,15.42,10.82,6.34,0.02,10.01
T2M,2020,-2.49,1.65,4.03,9.13,11.86,18.17,19.28,20.96,16.45,9.51,3.1,-0.16,9.31
T2M,2021,-2.46,-2.38,2.46,5.96,11.61,19.85,22.03,18.65,15.27,8.22,3.29,-2.07,8.43
T2M,2022,-2.24,0.94,2.93,7.31,15.17,20.76,21.89,22.52,13.84,11.33,4.67,-1.7,9.84
