# Area: Tajikistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.86   Longitude 71.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3367.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-13.86,-11.91,-7.55,-0.69,4.95,6.62,10.66,8.83,5.87,-1.87,-7.07,-12.55,-1.49
T2M,1982,-14.57,-15.83,-9.45,-0.45,4.48,7.9,10.93,10.69,4.14,-0.42,-8.32,-13.56,-1.96
T2M,1983,-13.92,-12.38,-10.15,-0.6,4.42,6.96,11.39,13.37,6.81,0.41,-3.83,-11.38,-0.68
T2M,1984,-15.86,-16.51,-7.57,-1.97,3.7,10.22,13.31,14.77,5.6,0.33,-6.25,-17.05,-1.39
T2M,1985,-15.07,-12.19,-8.72,1.13,3.55,9.15,13.18,10.62,7.45,0.35,-5.36,-8.96,-0.35
T2M,1986,-12.99,-9.55,-8.09,-0.71,3.72,8.08,12.77,11.04,7.47,1.28,-6.81,-13.48,-0.56
T2M,1987,-13.66,-11.63,-6.42,-2.91,1.95,5.99,8.69,11.64,6.95,-3.0,-7.44,-8.89,-1.5
T2M,1988,-13.16,-12.31,-8.46,-0.22,3.21,8.96,12.83,10.14,6.72,-0.94,-2.27,-8.77,-0.33
T2M,1989,-16.95,-16.19,-8.02,-2.93,3.2,7.22,10.05,10.31,5.94,1.36,-9.37,-10.22,-2.04
T2M,1990,-13.01,-12.7,-9.44,-2.7,6.07,9.76,11.12,12.01,8.67,0.42,-5.08,-11.29,-0.45
T2M,1991,-14.83,-14.06,-8.45,-1.89,2.55,7.62,10.57,10.61,7.01,-0.6,-5.17,-12.12,-1.5
T2M,1992,-13.31,-13.31,-11.37,-1.99,1.73,6.65,11.01,9.55,5.31,0.35,-3.12,-8.94,-1.42
T2M,1993,-16.4,-11.44,-10.05,-0.87,2.14,7.94,10.36,9.06,7.03,-1.16,-6.15,-11.41,-1.71
T2M,1994,-14.69,-14.49,-6.67,-3.26,4.21,9.54,13.45,12.83,4.07,0.12,-3.1,-13.79,-0.9
T2M,1995,-15.19,-13.76,-8.27,-1.78,4.0,7.88,12.31,11.86,6.35,0.26,-3.87,-10.42,-0.81
T2M,1996,-13.35,-12.0,-8.41,-2.56,1.98,8.11,10.18,10.11,7.48,-0.62,-6.96,-8.96,-1.22
T2M,1997,-10.71,-12.24,-6.73,1.33,2.95,8.49,13.48,11.42,7.15,2.02,-5.62,-9.68,0.23
T2M,1998,-12.65,-11.77,-8.62,1.04,3.34,7.08,11.6,10.54,7.43,1.18,-2.8,-7.21,-0.01
T2M,1999,-12.39,-8.97,-7.57,-2.26,4.57,7.55,9.97,11.66,7.31,1.28,-6.98,-11.32,-0.55
T2M,2000,-12.02,-13.63,-7.05,0.62,6.99,9.32,11.43,11.16,6.36,-0.73,-6.64,-10.18,-0.32
T2M,2001,-13.63,-12.99,-4.89,0.92,7.2,10.84,11.09,9.92,4.89,0.23,-4.18,-11.1,-0.07
T2M,2002,-13.73,-11.37,-5.19,-0.11,3.5,8.74,10.49,12.21,6.04,2.33,-3.64,-11.89,-0.16
T2M,2003,-11.51,-11.44,-9.1,-0.9,1.8,8.1,11.99,10.51,6.37,1.19,-6.77,-11.66,-0.89
T2M,2004,-12.43,-10.85,-5.01,0.86,4.72,9.26,10.38,10.7,7.19,0.03,-3.84,-9.99,0.11
T2M,2005,-14.72,-13.06,-3.79,-0.35,1.89,8.72,11.86,9.27,7.97,0.85,-5.39,-9.03,-0.41
T2M,2006,-14.42,-8.56,-6.35,-0.27,6.49,8.7,12.12,12.73,6.38,2.21,-4.57,-9.66,0.45
T2M,2007,-11.91,-7.63,-5.19,2.57,5.5,10.19,11.52,11.19,7.33,-0.39,-1.81,-11.83,0.82
T2M,2008,-17.27,-14.26,-2.87,0.41,6.68,11.83,12.59,12.28,6.23,1.02,-4.6,-7.5,0.42
T2M,2009,-10.26,-9.59,-3.94,-0.56,3.76,6.18,10.74,10.98,5.76,0.74,-4.92,-9.77,-0.01
