# Area: Tunisia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  33.89   Longitude 9.54 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 109.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,7.1,10.32,16.82,19.73,23.13,26.77,28.66,28.91,27.11,22.6,14.89,10.65,19.78
T2M,1982,10.62,11.85,14.0,17.78,21.27,28.76,32.04,30.7,26.78,21.78,14.97,8.54,19.97
T2M,1983,8.47,10.44,14.69,19.15,23.24,26.61,30.53,29.76,26.59,21.11,17.27,10.25,19.89
T2M,1984,9.22,10.26,14.0,18.38,22.71,25.8,28.48,28.78,26.2,20.44,15.1,10.77,19.2
T2M,1985,7.79,12.41,13.96,19.23,22.46,27.59,30.55,29.88,26.15,21.12,16.37,11.06,19.92
T2M,1986,9.02,11.52,14.93,18.56,24.06,26.8,29.52,30.96,26.94,22.15,15.27,10.0,20.03
T2M,1987,7.47,11.36,13.68,18.08,21.27,27.55,30.14,31.47,28.08,23.58,15.51,12.96,20.14
T2M,1988,10.55,12.32,15.4,19.6,25.49,27.08,30.99,30.67,26.38,23.43,16.75,10.1,20.76
T2M,1989,10.01,11.69,15.76,19.23,22.6,26.74,29.96,31.39,27.66,21.57,16.9,13.1,20.6
T2M,1990,11.01,13.42,14.69,17.99,21.97,27.5,29.59,28.85,29.11,24.65,15.67,9.28,20.34
T2M,1991,9.13,10.58,15.58,16.41,19.37,26.01,30.21,29.88,27.38,22.09,14.65,9.98,19.32
T2M,1992,9.07,11.22,14.18,17.94,21.84,25.59,27.94,30.22,26.78,22.42,16.58,10.9,19.58
T2M,1993,9.41,10.72,13.5,18.96,23.17,27.31,29.45,30.78,26.7,22.76,15.92,11.16,20.04
T2M,1994,10.55,11.45,15.54,17.76,25.13,27.43,30.79,32.12,28.02,22.09,17.64,11.7,20.91
T2M,1995,8.55,13.63,14.32,17.27,23.6,27.35,29.68,30.87,26.31,20.88,14.92,12.03,19.99
T2M,1996,11.32,10.68,15.08,17.88,22.59,25.38,28.76,30.31,25.51,20.35,15.32,11.3,19.57
T2M,1997,11.41,13.12,14.4,17.32,22.64,29.67,30.35,30.11,26.06,22.86,15.81,10.89,20.43
T2M,1998,10.25,12.61,14.5,20.01,22.65,28.28,30.55,30.69,27.74,21.26,13.95,9.48,20.2
T2M,1999,9.38,9.53,14.38,19.26,25.66,29.15,30.24,32.66,28.41,23.76,16.16,9.21,20.71
T2M,2000,8.04,10.61,15.2,20.48,25.04,26.77,30.14,30.58,27.25,21.22,15.99,11.94,20.3
T2M,2001,10.02,10.9,18.47,18.82,23.96,27.83,31.8,30.79,27.37,24.58,16.89,10.08,21.02
T2M,2002,9.41,12.57,16.6,19.53,23.0,27.89,30.27,29.77,27.26,22.15,15.63,11.6,20.52
T2M,2003,10.0,9.84,13.38,18.64,23.53,28.25,32.62,31.5,26.85,24.56,16.39,10.08,20.53
T2M,2004,9.5,12.21,14.41,18.95,20.95,26.59,29.44,30.35,25.84,24.0,15.49,11.25,19.94
T2M,2005,8.26,8.87,14.87,18.64,24.15,27.81,30.73,29.99,26.71,22.53,15.9,9.27,19.87
T2M,2006,7.86,9.97,15.3,20.38,24.34,27.19,30.27,30.45,25.71,23.23,16.31,11.94,20.31
T2M,2007,11.37,12.89,14.01,18.01,23.36,28.1,29.01,30.5,27.16,22.0,14.81,10.73,20.2
T2M,2008,10.16,11.71,15.65,20.2,24.09,26.58,31.55,30.62,28.27,22.58,14.71,9.6,20.5
T2M,2009,10.46,10.01,13.98,17.77,22.54,27.55,31.19,31.04,26.31,20.69,14.97,11.96,19.93
T2M,2010,10.63,13.28,16.56,19.82,22.76,27.56,30.91,30.79,26.39,21.31,14.63,11.07,20.52
T2M,2011,10.23,10.59,14.42,19.43,22.25,26.55,30.72,30.12,28.33,20.09,16.28,11.22,20.07
T2M,2012,9.61,8.2,13.95,19.1,23.05,29.22,32.08,31.75,27.8,24.1,17.81,10.83,20.66
T2M,2013,10.03,10.33,16.94,20.03,23.9,26.02,30.0,30.11,26.89,24.44,15.25,10.69,20.45
T2M,2014,9.82,12.16,13.97,19.96,23.33,27.19,30.1,30.4,29.5,23.52,17.44,10.8,20.72
T2M,2015,9.0,9.87,13.93,18.73,24.82,27.09,30.23,30.96,27.73,23.44,16.06,11.87,20.37
T2M,2016,10.64,12.82,15.21,20.77,24.61,28.53,30.3,30.08,27.56,24.35,16.72,12.34,21.18
T2M,2017,7.6,12.36,15.72,18.42,24.35,28.31,30.96,30.91,26.72,20.82,14.65,9.46,20.06
T2M,2018,10.58,10.59,16.33,19.96,22.65,27.75,32.98,30.14,28.15,21.7,15.87,11.33,20.73
T2M,2019,8.94,10.41,14.4,18.86,22.4,29.85,32.02,31.99,28.41,22.96,14.01,12.49,20.62
T2M,2020,10.31,13.22,15.27,19.75,25.57,28.78,30.67,32.22,27.47,21.31,17.11,11.09,21.08
T2M,2021,10.37,13.05,14.5,19.42,24.55,30.09,32.31,33.53,29.73,22.18,16.08,10.41,21.39
T2M,2022,8.7,11.91,14.51,18.49,24.92,31.28,32.05,32.51,30.25,23.53,16.97,14.52,21.69
T2M,2023,9.97,11.66,16.91,19.62,23.0,28.51,34.81,31.41,28.5,24.9,17.92,11.73,21.64
