# Area: Uganda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  1.37   Longitude 32.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1053.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.64,26.23,24.33,23.23,22.56,22.16,21.92,22.56,22.67,23.07,23.41,24.46,23.5
T2M,1982,24.46,25.43,26.15,23.42,22.64,21.94,21.85,22.34,23.06,22.93,22.52,23.28,23.32
T2M,1983,24.23,25.02,25.89,24.3,23.06,22.89,22.43,22.42,22.97,22.59,23.09,23.57,23.53
T2M,1984,23.91,25.61,26.31,24.65,22.63,21.82,21.75,22.2,22.58,23.47,23.48,24.09,23.53
T2M,1985,25.05,24.29,25.51,22.68,21.73,21.24,21.33,22.23,22.6,22.87,22.67,24.28,23.04
T2M,1986,24.84,25.78,25.28,23.46,22.61,21.5,21.83,22.94,22.6,23.35,23.87,24.17,23.51
T2M,1987,25.48,24.93,24.49,24.49,21.93,21.25,22.06,22.39,23.41,23.87,23.6,24.63,23.54
T2M,1988,25.23,26.52,25.72,23.87,22.46,22.11,21.9,22.34,23.0,22.98,23.02,23.75,23.57
T2M,1989,23.16,24.6,24.27,23.56,22.31,21.52,21.74,22.3,22.61,23.3,23.82,23.85,23.08
T2M,1990,23.93,24.23,23.87,23.24,22.33,21.72,21.84,22.81,23.2,23.27,24.28,24.24,23.24
T2M,1991,24.92,26.46,26.24,23.91,22.98,22.8,21.92,22.67,23.41,22.7,23.19,23.95,23.75
T2M,1992,24.91,26.82,27.98,25.31,23.28,22.11,22.07,22.68,23.13,22.69,23.24,23.8,23.99
T2M,1993,23.99,25.6,26.66,25.68,22.97,21.98,22.37,22.79,23.78,24.74,24.45,25.68,24.22
T2M,1994,27.04,26.72,25.89,25.04,22.66,22.36,22.23,22.76,23.61,23.63,23.27,24.35,24.11
T2M,1995,26.1,26.2,25.92,25.71,23.08,22.85,22.2,22.99,23.22,22.89,23.36,24.46,24.07
T2M,1996,24.94,25.83,25.22,23.84,22.28,21.57,21.84,22.65,22.51,23.05,23.05,24.14,23.4
T2M,1997,25.22,26.13,26.98,23.01,22.61,22.48,22.07,22.91,25.48,23.55,23.23,24.16,23.97
T2M,1998,24.23,25.77,26.95,25.73,23.63,22.99,22.8,23.95,24.07,23.54,24.66,26.87,24.59
T2M,1999,26.17,27.95,25.95,24.94,23.42,23.5,22.32,22.66,23.99,23.17,24.64,24.8,24.43
T2M,2000,26.93,27.66,27.54,24.88,23.77,23.64,23.43,23.29,24.05,22.84,23.81,25.21,24.75
T2M,2001,24.96,26.91,25.65,24.7,23.66,22.89,22.84,23.15,23.59,23.6,23.21,25.63,24.22
T2M,2002,24.79,26.29,25.29,25.5,23.95,23.97,24.42,23.95,24.87,24.57,24.87,25.09,24.78
T2M,2003,26.17,28.45,27.83,25.4,23.27,22.92,23.01,23.13,24.88,25.1,25.09,24.38,24.94
T2M,2004,26.1,26.53,26.38,23.46,23.32,22.95,23.64,24.01,24.43,25.39,24.51,25.86,24.71
T2M,2005,25.72,27.31,26.12,25.84,23.62,23.91,23.28,24.52,25.06,25.29,25.84,27.02,25.28
T2M,2006,27.85,28.14,26.41,24.0,23.54,23.81,23.94,24.58,25.34,26.04,24.02,24.36,25.15
T2M,2007,26.05,26.01,26.63,25.51,23.71,22.27,22.51,23.38,23.41,24.63,25.41,25.43,24.57
T2M,2008,26.41,25.68,25.63,24.42,24.19,22.81,22.73,23.38,23.26,23.34,24.6,26.22,24.39
T2M,2009,26.66,26.92,27.14,23.8,23.62,24.6,23.41,24.35,24.82,24.53,25.02,24.85,24.97
T2M,2010,26.1,26.32,25.33,24.37,23.31,23.45,23.68,23.71,23.94,23.82,24.52,24.57,24.42
T2M,2011,26.45,27.19,25.84,25.14,23.3,23.16,23.91,23.06,23.13,23.16,23.02,24.67,24.32
T2M,2012,25.97,26.45,27.02,24.09,23.04,22.84,23.27,22.9,23.08,24.28,23.59,24.21,24.23
T2M,2013,25.62,27.17,26.03,23.8,23.22,23.34,23.58,23.26,23.38,23.54,23.65,25.04,24.29
T2M,2014,26.97,26.67,26.58,24.57,23.16,23.42,23.63,23.13,23.13,22.87,23.17,24.67,24.32
T2M,2015,24.56,27.36,27.13,23.09,22.92,23.48,24.01,24.85,24.78,24.3,22.83,23.29,24.37
T2M,2016,25.08,27.21,27.62,23.68,23.23,22.73,23.24,24.26,24.13,24.04,24.75,26.81,24.73
T2M,2017,26.97,26.87,25.61,25.13,23.09,23.83,23.33,23.56,23.5,24.56,24.74,27.2,24.86
T2M,2018,26.65,27.82,24.54,22.88,22.92,22.73,23.0,23.59,24.93,23.91,24.49,25.84,24.42
T2M,2019,27.08,28.08,28.04,25.46,23.66,22.78,22.86,23.54,23.98,22.55,23.02,23.13,24.49
T2M,2020,24.38,25.65,24.29,23.7,22.3,21.73,21.13,22.85,23.63,22.78,23.84,24.83,23.42
T2M,2021,24.67,25.57,26.75,23.68,23.36,23.52,23.65,24.98,23.93,25.7,25.39,26.45,24.81
T2M,2022,26.22,26.8,27.47,25.18,24.14,23.26,23.66,22.97,23.57,23.91,24.5,25.16,24.73
T2M,2023,26.3,28.17,24.97,23.94,24.01,23.17,23.28,24.99,24.42,23.89,23.88,25.28,24.67
