# Area: Algeria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  28.03   Longitude 1.66 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 549.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.05,7.8,0.0,0.24,0.0,0.25,1.84,0.0,3.22,0.36,0.08,0.0,13.84
PRECTOTCORR_SUM,1982,14.65,1.7,2.69,14.77,3.51,2.63,0.0,2.24,0.02,0.01,0.45,4.99,47.66
PRECTOTCORR_SUM,1983,0.02,0.01,0.0,0.34,0.08,0.04,0.0,0.22,0.15,0.0,0.02,0.0,0.88
PRECTOTCORR_SUM,1984,0.52,0.0,0.11,0.0,0.06,0.1,0.0,0.25,0.18,1.34,0.81,0.0,3.37
PRECTOTCORR_SUM,1985,3.56,0.24,4.8,10.12,0.64,0.03,0.01,0.22,1.36,13.47,0.57,41.75,76.77
PRECTOTCORR_SUM,1986,0.0,0.96,8.79,0.03,1.57,0.96,0.01,0.08,1.3,5.15,0.56,0.16,19.57
PRECTOTCORR_SUM,1987,0.03,0.0,0.72,0.0,0.85,1.58,0.1,0.21,1.19,6.5,0.01,0.74,11.93
PRECTOTCORR_SUM,1988,0.0,2.01,35.54,0.02,0.03,0.05,0.0,0.0,12.95,8.55,3.35,0.0,62.5
PRECTOTCORR_SUM,1989,0.0,0.0,3.48,0.21,0.88,2.19,0.01,0.45,0.0,0.1,0.94,0.58,8.84
PRECTOTCORR_SUM,1990,8.66,0.0,0.0,17.44,10.8,0.09,0.0,0.0,0.75,0.03,0.45,27.87,66.09
PRECTOTCORR_SUM,1991,3.83,0.09,1.12,0.06,0.96,0.58,0.0,0.04,0.0,0.23,2.15,0.05,9.11
PRECTOTCORR_SUM,1992,9.49,4.66,3.83,3.08,0.04,0.02,0.0,0.0,0.0,0.8,0.6,0.18,22.7
PRECTOTCORR_SUM,1993,0.09,1.65,0.12,0.01,0.79,0.01,0.02,12.83,2.04,0.05,1.9,0.19,19.7
PRECTOTCORR_SUM,1994,0.5,0.08,5.01,0.0,0.56,0.0,0.01,0.0,8.9,0.83,6.02,0.48,22.39
PRECTOTCORR_SUM,1995,0.0,7.69,3.46,0.53,0.67,0.42,0.0,3.33,18.47,1.82,1.22,9.25,46.86
PRECTOTCORR_SUM,1996,0.15,8.7,30.62,0.06,9.52,0.68,1.17,0.02,10.99,0.29,0.01,0.0,62.21
PRECTOTCORR_SUM,1997,0.13,0.0,0.0,1.77,0.77,0.06,0.0,2.27,16.45,15.06,0.73,0.01,37.25
PRECTOTCORR_SUM,1998,0.0,0.01,0.07,0.79,0.65,1.98,0.01,0.01,0.54,0.05,0.0,0.0,4.11
PRECTOTCORR_SUM,1999,30.55,0.09,0.01,1.31,0.01,0.0,0.15,10.11,0.05,0.0,22.32,0.01,64.61
PRECTOTCORR_SUM,2000,0.02,0.03,3.47,0.18,10.16,0.0,0.02,0.0,0.07,10.5,0.02,0.0,24.47
PRECTOTCORR_SUM,2001,0.0,0.01,0.0,18.79,0.03,8.1,0.02,1.08,0.3,0.17,0.04,1.22,29.76
PRECTOTCORR_SUM,2002,0.01,0.0,0.44,0.14,2.15,0.0,0.03,0.89,1.79,13.91,0.73,0.0,20.09
PRECTOTCORR_SUM,2003,9.54,5.33,6.33,0.07,0.02,0.14,0.02,1.02,0.07,1.26,3.54,8.29,35.63
PRECTOTCORR_SUM,2004,0.9,0.48,24.1,34.99,1.51,0.0,1.85,0.01,0.62,0.03,3.46,5.57,73.52
PRECTOTCORR_SUM,2005,0.0,0.17,4.59,0.29,1.18,1.01,0.0,0.14,13.17,0.01,6.0,1.01,27.57
PRECTOTCORR_SUM,2006,0.65,1.15,0.0,0.34,6.38,1.39,0.03,0.0,2.9,1.11,0.2,0.07,14.22
PRECTOTCORR_SUM,2007,0.0,0.02,0.87,0.15,0.05,0.0,0.0,6.03,0.31,4.53,0.01,0.34,12.31
PRECTOTCORR_SUM,2008,0.01,2.64,4.11,0.0,0.39,0.0,0.29,0.01,2.64,41.67,1.09,0.6,53.45
PRECTOTCORR_SUM,2009,19.46,0.58,7.01,0.0,0.09,0.02,0.12,0.76,8.31,0.0,0.0,0.0,36.35
PRECTOTCORR_SUM,2010,0.01,2.88,0.01,0.58,0.52,0.92,0.02,0.01,15.59,0.45,0.06,0.0,21.05
PRECTOTCORR_SUM,2011,1.66,2.34,13.72,0.59,0.29,0.04,0.0,0.0,0.56,8.83,0.05,0.27,28.35
PRECTOTCORR_SUM,2012,0.94,0.07,9.44,1.14,0.0,0.0,0.32,0.03,10.32,3.42,5.05,0.06,30.79
PRECTOTCORR_SUM,2013,0.08,0.0,0.01,1.11,1.19,0.02,0.02,0.02,0.32,0.32,0.0,10.42,13.51
PRECTOTCORR_SUM,2014,0.87,0.08,0.01,0.0,1.95,1.71,0.03,0.5,0.12,0.0,4.42,0.12,9.81
PRECTOTCORR_SUM,2015,0.0,1.95,0.74,0.0,0.0,0.0,0.0,2.54,0.24,0.28,0.0,0.0,5.75
PRECTOTCORR_SUM,2016,0.01,9.24,0.1,0.0,5.2,0.0,0.0,0.0,0.66,0.02,0.33,1.77,17.33
PRECTOTCORR_SUM,2017,1.08,0.08,14.34,0.05,0.75,20.48,0.0,0.0,0.6,0.15,0.03,4.47,42.03
PRECTOTCORR_SUM,2018,0.19,2.5,0.0,1.45,0.98,0.02,0.0,0.63,19.0,0.54,2.73,0.0,28.04
PRECTOTCORR_SUM,2019,0.0,0.0,13.19,9.92,0.27,0.0,0.0,0.01,0.63,0.01,0.0,0.0,24.03
PRECTOTCORR_SUM,2020,0.03,0.3,0.04,7.85,0.3,0.0,0.0,0.0,0.0,0.0,0.35,0.01,8.88
PRECTOTCORR_SUM,2021,0.0,0.09,5.05,0.1,9.86,0.0,0.0,0.0,0.0,0.01,1.26,0.01,16.38
PRECTOTCORR_SUM,2022,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0.33
PRECTOTCORR_SUM,2023,0.0,0.02,0.05,0.0,0.0,0.0,0.96,0.06,0.02,0.0,0.0,0.06,1.17
