# Area: Australia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -25.27   Longitude 133.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 401.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,133.21,8.45,20.96,0.0,9.17,6.54,3.41,0.93,3.66,1.83,36.33,45.4,269.89
PRECTOTCORR_SUM,1982,2.72,86.58,47.86,0.08,0.26,0.57,0.33,0.01,17.09,0.53,1.02,19.63,176.68
PRECTOTCORR_SUM,1983,26.83,10.84,95.18,43.54,0.09,0.05,0.06,10.53,3.02,21.13,36.06,11.32,258.65
PRECTOTCORR_SUM,1984,205.87,1.19,11.03,12.38,2.54,1.29,15.34,0.86,33.24,16.45,3.64,12.76,316.59
PRECTOTCORR_SUM,1985,6.78,11.6,31.97,0.05,16.37,6.26,1.28,0.61,0.01,25.54,10.79,1.25,112.51
PRECTOTCORR_SUM,1986,3.08,1.68,0.0,0.06,2.17,40.94,19.61,12.93,4.33,66.39,16.14,40.48,207.81
PRECTOTCORR_SUM,1987,19.58,43.1,0.22,2.69,1.9,26.85,0.0,2.04,2.68,1.32,5.91,52.42,158.71
PRECTOTCORR_SUM,1988,2.95,1.64,100.73,25.54,45.94,0.85,1.25,10.42,1.65,1.33,4.15,111.68,308.13
PRECTOTCORR_SUM,1989,1.27,0.01,299.94,20.63,11.76,1.29,4.14,2.71,0.2,2.48,15.49,28.73,388.65
PRECTOTCORR_SUM,1990,23.52,4.78,3.65,7.95,72.44,5.23,1.28,15.23,0.19,23.65,0.85,15.58,174.35
PRECTOTCORR_SUM,1991,20.45,4.63,2.66,0.6,0.26,24.51,8.62,0.37,2.9,1.56,21.15,14.81,102.52
PRECTOTCORR_SUM,1992,7.25,14.76,0.27,17.9,25.3,19.08,0.0,23.37,11.93,48.48,8.51,10.14,186.99
PRECTOTCORR_SUM,1993,8.12,0.33,7.96,1.65,46.77,23.73,6.9,9.75,33.86,33.22,7.3,48.4,227.99
PRECTOTCORR_SUM,1994,0.18,24.27,0.0,8.94,0.01,12.76,0.0,0.0,0.01,0.06,20.8,17.95,84.98
PRECTOTCORR_SUM,1995,91.52,3.6,7.21,1.44,3.84,8.6,4.48,0.01,1.76,4.74,36.79,41.7,205.69
PRECTOTCORR_SUM,1996,5.39,2.81,0.78,3.76,1.27,5.74,42.28,5.53,1.2,2.08,0.12,15.74,86.7
PRECTOTCORR_SUM,1997,38.98,116.82,0.0,0.0,41.73,0.55,9.15,6.13,17.82,31.9,10.62,22.21,295.91
PRECTOTCORR_SUM,1998,9.32,11.29,1.26,87.19,0.19,40.06,41.74,2.43,23.13,24.38,15.07,26.75,282.81
PRECTOTCORR_SUM,1999,31.35,13.13,6.02,0.45,0.13,5.06,0.0,14.24,3.49,44.18,22.51,38.91,179.47
PRECTOTCORR_SUM,2000,29.87,255.14,9.83,67.12,7.4,0.0,0.32,1.06,0.0,22.47,56.92,23.18,473.31
PRECTOTCORR_SUM,2001,26.64,9.14,128.37,6.82,0.72,86.71,53.92,0.0,6.34,63.92,40.58,111.53,534.69
PRECTOTCORR_SUM,2002,1.16,82.83,0.33,0.85,1.71,0.01,0.0,0.02,3.12,0.04,34.9,2.44,127.41
PRECTOTCORR_SUM,2003,6.24,92.01,0.02,6.3,8.97,20.75,0.0,12.24,13.69,5.4,29.66,48.34,243.62
PRECTOTCORR_SUM,2004,4.58,67.51,15.47,0.03,81.06,20.42,2.39,2.14,14.35,0.99,7.46,1.54,217.94
PRECTOTCORR_SUM,2005,3.28,1.14,0.0,0.74,0.0,18.96,44.91,1.29,3.24,58.75,24.28,17.02,173.61
PRECTOTCORR_SUM,2006,10.57,24.55,5.15,10.16,0.38,0.0,25.66,0.01,0.0,9.52,6.76,15.06,107.82
PRECTOTCORR_SUM,2007,40.09,0.02,50.42,0.2,12.54,1.09,0.0,5.46,0.0,17.64,23.07,36.41,186.94
PRECTOTCORR_SUM,2008,4.91,7.33,6.43,0.35,0.0,4.7,0.93,2.66,0.82,4.34,97.71,52.68,182.86
PRECTOTCORR_SUM,2009,5.28,0.11,16.98,7.78,18.29,3.77,4.43,2.76,16.08,1.52,9.54,39.91,126.45
PRECTOTCORR_SUM,2010,43.35,84.77,20.89,39.53,10.9,0.94,56.91,16.87,66.58,119.9,48.71,27.28,536.63
PRECTOTCORR_SUM,2011,26.24,195.88,47.13,1.89,4.97,22.55,23.03,0.0,0.39,48.28,46.14,27.26,443.76
PRECTOTCORR_SUM,2012,28.41,73.56,42.95,27.55,0.09,1.15,0.01,0.0,3.81,0.54,23.44,20.34,221.85
PRECTOTCORR_SUM,2013,11.63,11.78,33.82,0.46,55.05,13.18,10.42,0.0,3.49,0.42,6.95,32.42,179.62
PRECTOTCORR_SUM,2014,13.6,22.69,2.06,79.78,24.33,0.41,11.33,0.23,1.52,4.39,24.97,39.34,224.65
PRECTOTCORR_SUM,2015,122.05,0.66,0.12,2.65,9.9,5.07,0.47,0.87,0.28,0.02,0.35,17.05,159.49
PRECTOTCORR_SUM,2016,6.52,14.83,0.91,0.0,16.04,6.6,0.14,12.18,18.55,0.42,0.36,37.2,113.75
PRECTOTCORR_SUM,2017,17.17,0.21,0.0,0.83,0.15,2.3,0.61,0.0,6.98,3.23,16.26,0.82,48.56
PRECTOTCORR_SUM,2018,13.28,2.24,8.05,0.0,0.0,0.04,0.0,0.5,0.51,10.07,9.9,0.17,44.76
PRECTOTCORR_SUM,2019,4.0,0.0,1.16,2.08,4.78,0.19,0.0,0.0,1.03,0.0,1.06,1.27,15.57
PRECTOTCORR_SUM,2020,7.38,1.6,17.62,4.94,0.01,0.0,0.41,7.72,0.66,16.75,21.95,35.19,114.23
PRECTOTCORR_SUM,2021,7.23,18.5,40.9,0.15,0.52,3.82,0.14,0.0,11.79,14.14,87.79,14.51,199.49
PRECTOTCORR_SUM,2022,98.14,44.06,0.34,1.05,2.22,3.2,0.0,2.74,12.23,24.71,33.5,49.05,271.24
PRECTOTCORR_SUM,2023,101.16,0.7,10.68,24.71,0.95,24.88,5.9,0.0,0.0,0.0,65.06,0.45,234.49
