# Area: Azerbaijan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  40.14   Longitude 47.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,12.21,41.47,85.22,70.68,122.77,58.41,30.1,74.17,32.24,35.43,65.98,11.74,640.42
PRECTOTCORR_SUM,1982,62.38,45.47,64.5,36.48,36.13,28.34,20.78,2.67,36.47,70.82,161.53,2.2,567.77
PRECTOTCORR_SUM,1983,14.6,3.43,14.16,48.8,34.07,20.15,8.07,27.28,40.31,13.55,20.29,7.23,251.94
PRECTOTCORR_SUM,1984,23.37,62.36,45.13,25.1,47.2,3.13,8.74,17.59,52.15,35.95,16.89,19.28,356.89
PRECTOTCORR_SUM,1985,24.33,40.19,29.89,22.81,11.85,13.06,14.07,0.28,14.93,21.28,40.37,22.78,255.84
PRECTOTCORR_SUM,1986,19.5,28.43,17.61,30.96,21.48,31.97,17.01,2.22,36.31,46.22,59.7,8.22,319.63
PRECTOTCORR_SUM,1987,5.47,16.76,28.37,20.33,15.83,9.22,24.26,16.81,18.57,91.94,8.81,31.55,287.92
PRECTOTCORR_SUM,1988,19.34,10.96,25.46,21.12,47.6,14.03,19.67,22.51,28.99,18.78,24.77,4.18,257.41
PRECTOTCORR_SUM,1989,5.99,10.82,8.56,6.63,11.91,13.9,4.23,7.02,28.27,53.02,16.18,9.02,175.55
PRECTOTCORR_SUM,1990,32.23,15.08,7.76,66.7,35.72,26.2,2.68,2.49,2.87,44.8,12.69,26.12,275.34
PRECTOTCORR_SUM,1991,13.23,15.75,83.62,40.81,46.11,6.45,4.19,22.55,3.18,32.36,44.0,24.61,336.86
PRECTOTCORR_SUM,1992,7.9,30.35,32.27,27.22,11.25,11.81,34.65,4.34,35.79,17.6,50.45,28.36,291.99
PRECTOTCORR_SUM,1993,26.73,23.07,12.74,23.06,21.72,15.75,2.08,14.66,33.11,33.06,66.07,10.81,282.86
PRECTOTCORR_SUM,1994,17.62,28.05,24.53,30.63,24.91,12.34,3.08,0.75,0.76,13.9,52.8,19.56,228.93
PRECTOTCORR_SUM,1995,13.77,12.72,16.92,18.84,3.96,32.36,22.61,10.73,77.23,19.25,11.27,6.75,246.41
PRECTOTCORR_SUM,1996,20.38,11.18,19.07,21.65,20.22,6.49,1.0,4.11,6.28,10.34,16.84,13.09,150.65
PRECTOTCORR_SUM,1997,27.81,36.31,35.79,11.73,30.25,35.62,8.18,0.25,6.09,8.94,11.43,15.38,227.78
PRECTOTCORR_SUM,1998,27.12,15.18,35.46,22.33,17.36,24.46,8.65,0.08,0.18,0.32,0.21,4.86,156.21
PRECTOTCORR_SUM,1999,0.09,0.13,0.26,3.1,0.28,0.53,0.1,0.23,1.05,0.29,1.59,1.17,8.82
PRECTOTCORR_SUM,2000,35.4,12.41,12.87,3.89,14.55,4.59,0.14,0.15,20.59,26.79,2.83,5.92,140.13
PRECTOTCORR_SUM,2001,5.57,1.66,15.64,16.74,14.9,6.64,0.95,15.44,0.71,28.13,13.3,13.85,133.53
PRECTOTCORR_SUM,2002,1.94,7.13,18.39,19.56,66.55,15.93,2.04,6.66,2.37,3.51,6.47,9.33,159.88
PRECTOTCORR_SUM,2003,4.96,26.57,48.13,35.57,33.04,42.42,5.84,5.95,9.72,12.18,16.56,6.48,247.42
PRECTOTCORR_SUM,2004,7.74,14.26,24.96,33.33,42.93,12.07,9.49,0.55,10.96,13.46,30.02,3.72,203.49
PRECTOTCORR_SUM,2005,4.59,13.64,16.13,19.23,33.02,16.7,1.32,4.04,5.97,11.48,24.59,3.78,154.49
PRECTOTCORR_SUM,2006,22.25,10.15,15.95,29.54,12.28,0.6,8.33,0.09,18.77,21.79,15.85,7.6,163.2
PRECTOTCORR_SUM,2007,1.86,9.02,18.22,24.03,5.79,13.53,10.25,2.12,0.45,13.78,28.24,12.94,140.23
PRECTOTCORR_SUM,2008,8.14,9.89,5.06,4.77,17.05,18.43,8.02,1.61,15.0,18.8,5.78,11.22,123.77
PRECTOTCORR_SUM,2009,12.34,18.27,14.7,26.58,11.71,17.13,9.01,17.05,54.58,4.39,54.49,15.5,255.75
PRECTOTCORR_SUM,2010,9.27,29.33,37.78,83.53,59.33,15.45,10.72,10.26,14.04,47.68,1.08,0.23,318.7
PRECTOTCORR_SUM,2011,22.94,23.46,18.7,18.67,24.78,16.53,2.39,10.17,7.39,49.26,24.39,1.89,220.57
PRECTOTCORR_SUM,2012,9.37,14.27,23.9,2.92,15.88,25.35,21.08,0.61,6.96,5.82,17.13,29.2,172.49
PRECTOTCORR_SUM,2013,28.81,12.66,6.19,10.36,39.42,25.55,2.83,16.53,11.66,11.2,3.71,13.57,182.49
PRECTOTCORR_SUM,2014,2.93,1.59,4.54,4.38,12.46,7.73,6.08,0.26,15.95,26.9,35.95,11.38,130.15
PRECTOTCORR_SUM,2015,11.45,45.41,37.9,19.82,19.56,5.39,6.01,4.8,11.91,59.77,7.58,21.43,251.03
PRECTOTCORR_SUM,2016,40.24,14.17,28.48,20.89,34.52,23.63,8.6,1.52,94.93,67.99,12.87,22.2,370.04
PRECTOTCORR_SUM,2017,18.77,30.99,14.3,24.97,33.89,53.28,2.57,0.78,24.59,90.78,25.86,12.59,333.37
PRECTOTCORR_SUM,2018,29.61,35.47,69.27,36.99,33.17,29.26,6.56,18.27,19.8,24.44,60.61,32.68,396.13
PRECTOTCORR_SUM,2019,23.77,38.12,66.22,47.91,34.58,29.32,6.77,9.92,38.77,4.86,16.5,10.52,327.26
PRECTOTCORR_SUM,2020,17.65,20.18,25.77,54.28,26.46,9.9,20.81,47.36,10.44,26.9,28.96,34.92,323.63
PRECTOTCORR_SUM,2021,25.55,22.97,56.44,8.92,38.61,7.16,10.37,4.47,20.84,41.0,16.95,11.3,264.58
PRECTOTCORR_SUM,2022,11.59,8.16,46.61,14.48,62.44,12.32,4.6,7.16,10.41,17.14,22.33,14.87,232.11
PRECTOTCORR_SUM,2023,12.44,15.82,9.23,15.11,72.53,40.3,44.45,9.94,55.36,50.42,7.75,23.57,356.92
