# Area: Bolivia (Plurinational State of)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -16.29   Longitude -63.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 215.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,239.6,197.98,148.4,124.16,126.64,29.85,1.94,75.95,72.94,179.17,176.15,242.09,1614.87
PRECTOTCORR_SUM,1982,219.24,293.36,190.55,127.21,138.86,130.79,45.8,60.81,84.65,128.65,111.92,227.58,1759.42
PRECTOTCORR_SUM,1983,314.67,133.02,190.12,94.32,183.97,43.69,72.33,8.57,22.58,126.31,175.11,193.92,1558.61
PRECTOTCORR_SUM,1984,224.47,121.0,153.66,86.47,42.12,23.99,15.94,41.82,78.9,93.83,204.03,358.56,1444.79
PRECTOTCORR_SUM,1985,189.26,153.43,121.22,138.14,21.98,25.35,146.75,17.08,114.36,30.35,130.83,119.1,1207.85
PRECTOTCORR_SUM,1986,224.46,268.41,175.53,71.69,143.93,16.22,49.14,73.11,78.62,78.69,152.82,176.54,1509.16
PRECTOTCORR_SUM,1987,294.4,109.64,197.4,61.6,67.77,98.75,124.76,45.76,26.62,128.51,303.3,360.15,1818.66
PRECTOTCORR_SUM,1988,169.46,116.35,217.37,116.1,44.58,6.87,9.55,29.73,31.57,82.4,129.68,186.22,1139.88
PRECTOTCORR_SUM,1989,264.83,156.64,121.7,114.78,52.72,84.68,44.37,84.67,29.82,46.57,81.82,284.57,1367.17
PRECTOTCORR_SUM,1990,181.36,152.12,110.3,99.08,220.11,49.06,68.55,48.25,67.65,72.17,152.84,206.42,1427.91
PRECTOTCORR_SUM,1991,321.31,143.98,156.01,88.28,101.68,75.36,28.97,17.9,95.74,87.11,175.19,160.2,1451.73
PRECTOTCORR_SUM,1992,221.64,307.41,211.06,293.43,129.58,85.25,27.22,108.64,184.83,125.12,153.65,290.39,2138.22
PRECTOTCORR_SUM,1993,223.61,175.99,189.78,38.52,56.32,31.03,30.68,40.68,103.29,81.61,193.32,209.62,1374.45
PRECTOTCORR_SUM,1994,193.48,227.05,133.46,67.86,40.65,103.61,41.53,7.56,115.77,111.46,74.87,259.89,1377.19
PRECTOTCORR_SUM,1995,263.45,223.05,138.93,102.59,39.0,5.53,13.92,4.77,51.3,93.32,185.08,228.99,1349.93
PRECTOTCORR_SUM,1996,223.44,163.77,217.18,164.3,74.26,22.15,15.57,50.89,166.97,124.15,137.6,191.65,1551.93
PRECTOTCORR_SUM,1997,191.34,132.52,148.65,119.07,74.81,104.65,4.79,51.13,33.22,107.52,135.8,151.37,1254.87
PRECTOTCORR_SUM,1998,130.95,205.82,82.37,97.47,58.63,47.27,3.48,52.03,212.16,143.2,239.54,151.17,1424.09
PRECTOTCORR_SUM,1999,149.71,111.62,255.7,81.0,55.49,46.05,26.01,0.17,106.73,73.23,98.67,194.31,1198.69
PRECTOTCORR_SUM,2000,72.8,117.73,177.32,49.05,22.14,27.88,66.6,43.37,21.01,71.91,184.05,176.11,1029.97
PRECTOTCORR_SUM,2001,124.04,130.1,107.17,142.39,81.79,28.48,26.07,26.46,49.93,107.3,204.17,149.64,1177.54
PRECTOTCORR_SUM,2002,140.1,287.05,157.34,95.75,80.65,50.55,39.06,48.99,27.63,33.74,76.28,236.33,1273.47
PRECTOTCORR_SUM,2003,247.37,220.02,183.52,141.23,51.89,67.73,3.99,26.72,68.74,151.42,106.94,246.31,1515.88
PRECTOTCORR_SUM,2004,126.45,153.62,102.18,88.35,53.41,61.98,31.24,2.83,29.19,190.41,95.26,285.63,1220.55
PRECTOTCORR_SUM,2005,230.32,101.88,89.49,43.68,101.09,50.43,3.98,38.13,61.45,215.64,194.64,176.36,1307.09
PRECTOTCORR_SUM,2006,169.47,141.83,136.12,76.66,36.13,82.19,17.2,10.26,83.03,98.0,99.21,228.46,1178.56
PRECTOTCORR_SUM,2007,241.72,188.79,139.3,63.25,57.48,0.32,24.91,8.01,4.61,118.65,246.0,224.82,1317.86
PRECTOTCORR_SUM,2008,336.78,218.73,217.7,82.87,34.2,12.29,34.04,41.71,27.62,129.9,109.42,108.48,1353.74
PRECTOTCORR_SUM,2009,98.9,207.51,238.69,101.85,46.44,46.49,56.53,28.13,24.69,112.5,102.64,232.45,1296.82
PRECTOTCORR_SUM,2010,272.36,228.7,69.86,23.41,32.19,3.17,52.71,14.49,27.01,51.19,95.13,114.47,984.69
PRECTOTCORR_SUM,2011,199.6,200.16,109.69,68.09,8.89,10.41,24.18,13.89,20.11,110.51,90.28,97.53,953.34
PRECTOTCORR_SUM,2012,170.14,225.05,81.98,101.21,135.08,87.68,6.82,13.77,69.01,44.97,148.4,157.67,1241.78
PRECTOTCORR_SUM,2013,111.4,223.04,147.95,161.18,109.42,104.16,17.78,34.9,65.01,112.72,52.56,74.5,1214.62
PRECTOTCORR_SUM,2014,240.16,216.68,242.42,99.05,93.1,82.82,74.04,1.81,63.16,41.16,171.04,138.72,1464.16
PRECTOTCORR_SUM,2015,233.49,103.44,83.66,44.93,151.39,67.88,131.53,16.06,40.11,37.23,109.18,88.67,1107.57
PRECTOTCORR_SUM,2016,201.71,157.99,80.38,56.43,30.91,27.82,10.5,72.56,31.32,34.71,30.74,96.76,831.83
PRECTOTCORR_SUM,2017,101.86,198.92,155.16,213.85,138.91,38.62,0.92,49.13,57.48,110.15,115.42,292.89,1473.31
PRECTOTCORR_SUM,2018,298.25,98.01,64.23,63.19,55.81,32.99,0.61,70.44,59.71,113.37,150.84,172.34,1179.79
PRECTOTCORR_SUM,2019,165.42,129.71,142.86,126.98,86.31,86.07,25.15,8.33,19.17,63.84,187.94,165.64,1207.42
PRECTOTCORR_SUM,2020,179.13,202.56,85.9,87.83,116.95,212.27,38.11,161.5,10.71,64.11,84.39,213.3,1456.76
PRECTOTCORR_SUM,2021,213.54,149.28,123.66,93.97,10.14,53.28,6.97,49.8,18.86,79.56,202.02,279.43,1280.51
PRECTOTCORR_SUM,2022,106.55,169.46,138.95,62.07,20.97,45.07,40.5,80.47,50.99,108.3,41.38,210.87,1075.58
PRECTOTCORR_SUM,2023,244.42,194.11,222.78,140.64,98.58,41.06,7.7,34.77,59.86,35.62,117.72,127.24,1324.5
