# Area: Botswana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -22.33   Longitude 24.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 997.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,166.5,100.52,123.14,10.31,1.42,0.92,0.0,0.01,3.65,21.31,48.81,24.69,501.28
PRECTOTCORR_SUM,1982,38.47,20.53,30.77,31.43,20.13,0.08,1.93,0.88,0.01,60.98,62.57,58.81,326.59
PRECTOTCORR_SUM,1983,79.01,23.67,53.87,22.48,15.41,6.37,0.08,0.79,0.1,24.19,22.92,82.64,331.53
PRECTOTCORR_SUM,1984,30.85,20.36,36.91,19.03,1.59,1.68,2.58,0.02,2.41,30.99,36.08,13.1,195.6
PRECTOTCORR_SUM,1985,51.31,39.74,30.05,6.61,3.5,0.14,0.05,0.0,0.28,23.82,6.51,59.79,221.8
PRECTOTCORR_SUM,1986,37.71,25.06,41.78,48.27,0.0,6.19,0.0,1.71,8.53,94.63,50.49,33.27,347.64
PRECTOTCORR_SUM,1987,31.53,25.56,51.76,5.25,0.0,0.0,0.0,0.0,24.11,18.17,42.08,106.24,304.7
PRECTOTCORR_SUM,1988,26.57,190.84,96.26,48.27,4.9,0.43,0.07,0.03,10.07,51.82,16.32,70.79,516.37
PRECTOTCORR_SUM,1989,114.03,157.83,23.26,43.07,5.39,2.87,0.0,0.12,0.11,11.24,52.12,25.62,435.66
PRECTOTCORR_SUM,1990,93.14,44.99,69.08,24.78,8.48,0.06,0.0,0.01,1.89,12.38,5.53,36.47,296.81
PRECTOTCORR_SUM,1991,122.36,107.11,99.89,0.2,5.47,7.57,0.0,0.0,3.65,19.65,25.12,31.17,422.19
PRECTOTCORR_SUM,1992,18.3,14.83,11.16,8.37,0.12,0.02,0.07,0.84,2.74,8.24,58.38,54.07,177.14
PRECTOTCORR_SUM,1993,42.19,88.0,26.41,13.51,0.86,0.72,2.59,0.0,1.39,16.76,75.42,39.07,306.92
PRECTOTCORR_SUM,1994,113.95,70.19,12.76,0.85,0.0,0.6,0.0,0.0,0.04,8.38,24.88,19.85,251.5
PRECTOTCORR_SUM,1995,59.46,34.43,70.22,9.11,16.92,0.0,0.4,0.04,8.91,28.9,74.33,74.71,377.43
PRECTOTCORR_SUM,1996,146.45,117.98,30.67,19.31,8.07,0.13,0.55,0.0,2.13,6.04,105.16,55.26,491.75
PRECTOTCORR_SUM,1997,152.73,34.13,128.64,11.57,21.04,0.0,0.0,1.03,20.97,35.24,27.5,56.73,489.58
PRECTOTCORR_SUM,1998,93.19,43.57,54.28,2.82,0.0,0.0,0.03,0.01,8.84,44.31,80.74,104.09,431.88
PRECTOTCORR_SUM,1999,85.74,43.01,27.04,1.64,6.56,0.14,0.85,0.06,3.99,15.27,34.93,74.46,293.69
PRECTOTCORR_SUM,2000,109.85,177.24,132.82,21.74,7.64,7.75,0.23,0.05,0.34,21.79,64.16,42.38,585.99
PRECTOTCORR_SUM,2001,19.19,79.02,60.54,44.44,17.94,6.35,1.62,0.56,7.32,72.66,117.71,48.19,475.54
PRECTOTCORR_SUM,2002,65.37,46.21,23.15,23.87,5.06,7.03,0.0,6.19,10.01,32.75,13.76,72.19,305.59
PRECTOTCORR_SUM,2003,68.38,88.61,12.0,6.89,1.16,8.11,0.0,0.0,0.69,28.03,28.96,43.88,286.71
PRECTOTCORR_SUM,2004,60.54,126.36,62.68,73.74,2.88,0.47,4.66,0.14,1.66,52.29,30.09,99.22,514.73
PRECTOTCORR_SUM,2005,77.79,49.23,32.03,38.88,0.3,0.0,0.0,2.07,0.0,5.97,82.02,68.54,356.83
PRECTOTCORR_SUM,2006,164.7,156.49,87.77,7.62,5.26,22.08,0.13,1.52,0.03,32.63,39.71,80.77,598.71
PRECTOTCORR_SUM,2007,62.51,26.06,27.77,21.07,0.0,3.34,0.0,0.0,9.22,44.38,169.81,116.51,480.67
PRECTOTCORR_SUM,2008,130.44,40.69,52.53,13.31,6.97,0.17,1.02,0.0,0.0,9.66,74.39,28.82,358.0
PRECTOTCORR_SUM,2009,198.61,86.2,83.72,0.41,14.19,25.97,0.09,0.09,8.66,53.85,56.63,41.68,570.1
PRECTOTCORR_SUM,2010,146.11,61.56,67.51,119.5,4.63,0.0,0.0,0.02,0.0,8.12,101.08,61.69,570.22
PRECTOTCORR_SUM,2011,133.8,51.95,76.83,64.02,0.66,2.58,0.07,0.0,0.0,8.14,33.66,84.11,455.82
PRECTOTCORR_SUM,2012,46.82,71.67,38.19,1.06,0.0,0.04,0.0,0.0,0.26,14.56,69.22,81.31,323.13
PRECTOTCORR_SUM,2013,79.55,26.19,15.7,17.78,0.0,0.0,0.49,0.33,22.05,16.17,27.66,140.15,346.07
PRECTOTCORR_SUM,2014,80.64,162.6,153.69,24.83,2.94,0.01,0.55,0.03,0.0,46.62,30.3,90.01,592.22
PRECTOTCORR_SUM,2015,77.55,16.88,63.86,44.44,0.0,0.88,0.15,0.0,25.2,2.45,29.03,48.25,308.69
PRECTOTCORR_SUM,2016,71.91,43.59,74.33,14.81,0.14,1.31,0.0,0.0,0.03,21.82,19.89,78.49,326.32
PRECTOTCORR_SUM,2017,151.51,124.45,34.77,36.02,4.01,0.29,0.58,0.0,1.29,23.24,65.46,47.72,489.34
PRECTOTCORR_SUM,2018,22.19,84.21,49.07,15.44,12.31,0.0,0.9,0.01,1.67,29.64,10.38,62.35,288.17
PRECTOTCORR_SUM,2019,78.89,45.06,2.9,31.12,0.06,0.0,0.0,0.0,0.36,1.33,61.23,83.13,304.08
PRECTOTCORR_SUM,2020,78.35,82.4,20.87,32.08,0.0,0.15,0.01,0.01,0.05,21.87,77.64,132.74,446.17
PRECTOTCORR_SUM,2021,265.27,215.06,46.89,6.94,0.45,0.41,0.17,0.41,7.51,8.51,67.47,94.05,713.14
PRECTOTCORR_SUM,2022,74.93,30.86,84.84,51.89,4.28,0.62,0.35,0.0,0.2,38.03,107.67,59.36,453.03
PRECTOTCORR_SUM,2023,30.17,197.89,39.12,5.04,3.34,0.01,0.28,0.41,4.39,1.83,28.73,222.58,533.79
