# Area: Brazil
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -14.24   Longitude -51.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 280.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,326.56,99.26,327.48,40.71,11.79,7.46,9.94,0.36,20.81,143.75,211.09,299.61,1498.82
PRECTOTCORR_SUM,1982,431.33,100.28,203.39,70.56,79.9,1.46,0.0,20.34,89.64,150.74,123.17,253.63,1524.44
PRECTOTCORR_SUM,1983,608.73,296.12,274.74,55.0,29.49,8.75,2.87,2.07,97.05,163.56,298.67,241.57,2078.62
PRECTOTCORR_SUM,1984,101.9,96.51,142.32,70.84,10.2,0.0,0.05,25.34,64.81,118.91,141.54,159.94,932.36
PRECTOTCORR_SUM,1985,375.37,151.83,256.57,139.87,10.82,0.0,0.97,1.18,58.23,240.77,160.31,233.05,1628.97
PRECTOTCORR_SUM,1986,374.94,227.84,122.37,62.19,29.31,1.58,7.85,51.02,38.38,203.57,180.75,355.39,1655.19
PRECTOTCORR_SUM,1987,212.64,188.66,218.02,75.06,9.56,0.38,0.0,0.27,50.24,97.36,235.24,333.73,1421.16
PRECTOTCORR_SUM,1988,201.33,199.34,250.67,159.28,15.36,13.98,0.0,0.0,29.34,126.95,189.82,245.25,1431.32
PRECTOTCORR_SUM,1989,215.32,327.87,191.47,86.4,19.95,16.44,13.18,12.89,14.43,167.11,183.59,462.61,1711.26
PRECTOTCORR_SUM,1990,248.76,374.11,225.97,69.69,86.49,0.3,7.7,3.18,100.01,110.95,131.64,280.37,1639.17
PRECTOTCORR_SUM,1991,417.45,379.94,373.08,100.71,11.58,0.0,0.0,2.56,21.89,136.53,260.43,214.02,1918.19
PRECTOTCORR_SUM,1992,294.45,205.82,236.25,160.22,20.59,0.0,0.0,11.17,154.53,178.8,236.25,303.7,1801.78
PRECTOTCORR_SUM,1993,162.03,493.02,93.21,95.77,16.03,12.46,0.0,21.44,54.43,86.06,133.12,238.71,1406.28
PRECTOTCORR_SUM,1994,205.82,140.6,357.35,116.31,83.42,14.38,11.72,0.0,5.72,107.36,266.63,309.31,1618.62
PRECTOTCORR_SUM,1995,247.61,344.32,235.33,177.31,68.18,1.04,0.0,0.02,60.41,95.05,162.17,226.84,1618.28
PRECTOTCORR_SUM,1996,214.4,124.64,151.48,126.3,36.46,0.0,0.1,8.01,59.11,179.34,193.67,248.98,1342.49
PRECTOTCORR_SUM,1997,223.71,154.37,449.87,133.82,23.81,35.01,0.0,0.0,47.28,107.37,224.02,414.11,1813.37
PRECTOTCORR_SUM,1998,292.97,251.93,128.41,65.12,4.74,0.35,0.05,0.01,35.04,116.37,200.03,210.6,1305.62
PRECTOTCORR_SUM,1999,209.87,218.46,241.75,48.12,16.44,0.53,0.0,0.0,42.05,159.82,197.75,294.91,1429.7
