# Area: Colombia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.57   Longitude -74.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,49.32,129.56,102.69,273.09,367.03,170.29,131.59,196.3,124.46,238.86,157.44,106.4,2047.03
PRECTOTCORR_SUM,1982,132.06,130.44,118.7,271.25,199.72,67.96,55.53,44.21,115.4,312.33,142.45,101.53,1691.58
PRECTOTCORR_SUM,1983,49.03,79.16,136.41,269.72,190.39,102.72,94.03,60.8,72.0,249.14,135.43,208.51,1647.34
PRECTOTCORR_SUM,1984,174.34,177.85,130.72,236.56,279.42,172.1,82.6,106.75,134.79,250.87,173.82,99.81,2019.63
PRECTOTCORR_SUM,1985,63.81,58.65,131.05,131.05,170.82,68.96,113.46,177.72,273.04,253.73,171.14,54.26,1667.69
PRECTOTCORR_SUM,1986,113.36,211.42,147.02,264.34,284.45,174.41,68.47,144.58,175.16,301.58,177.37,78.85,2141.01
PRECTOTCORR_SUM,1987,63.86,75.31,121.35,165.54,179.41,69.44,153.53,122.08,171.43,260.91,169.68,90.01,1642.55
PRECTOTCORR_SUM,1988,71.81,112.37,53.03,229.57,140.61,199.36,110.01,206.26,223.75,209.55,297.74,194.97,2049.03
PRECTOTCORR_SUM,1989,92.22,131.31,220.12,131.01,214.33,163.02,95.48,133.28,218.85,270.97,156.85,143.35,1970.79
PRECTOTCORR_SUM,1990,118.83,127.46,125.71,257.68,183.1,77.44,96.6,86.34,118.06,284.98,166.36,194.83,1837.39
PRECTOTCORR_SUM,1991,39.52,46.04,180.72,226.88,189.71,127.09,105.77,115.26,168.96,175.75,179.3,109.72,1664.72
PRECTOTCORR_SUM,1992,75.72,115.0,115.87,266.56,195.26,90.19,78.33,122.11,164.84,159.03,191.48,168.23,1742.62
PRECTOTCORR_SUM,1993,110.27,89.27,202.59,300.76,218.63,98.03,165.13,127.82,246.47,171.82,227.4,139.09,2097.28
PRECTOTCORR_SUM,1994,99.76,198.36,217.99,284.39,263.14,135.03,145.31,81.19,212.21,246.11,242.73,85.76,2211.98
PRECTOTCORR_SUM,1995,40.85,64.91,165.06,292.37,249.06,175.46,194.39,178.83,163.77,247.15,143.76,144.58,2060.19
PRECTOTCORR_SUM,1996,81.1,98.12,160.36,220.65,258.07,160.38,143.09,125.44,158.85,241.93,184.19,125.8,1957.98
PRECTOTCORR_SUM,1997,92.82,106.22,100.26,215.53,217.26,176.92,97.3,74.56,182.57,113.14,120.1,28.46,1525.14
PRECTOTCORR_SUM,1998,46.09,83.48,147.53,238.21,250.68,125.69,152.75,177.86,146.9,201.92,183.76,123.12,1877.99
PRECTOTCORR_SUM,1999,108.99,201.86,116.68,263.07,193.01,260.85,111.79,116.62,214.24,302.36,165.76,115.2,2170.43
PRECTOTCORR_SUM,2000,55.18,151.56,141.65,160.86,400.34,138.91,104.85,144.64,173.57,124.22,103.76,70.63,1770.17
PRECTOTCORR_SUM,2001,28.15,50.05,116.22,196.28,217.65,85.27,120.14,81.51,127.29,181.67,151.61,140.75,1496.59
PRECTOTCORR_SUM,2002,25.3,43.09,188.66,229.86,241.26,208.93,161.64,89.05,91.03,335.47,92.06,94.73,1801.08
PRECTOTCORR_SUM,2003,10.59,31.22,102.97,232.8,105.29,176.46,59.68,117.78,128.79,154.14,207.69,91.19,1418.6
PRECTOTCORR_SUM,2004,28.55,98.6,43.94,205.33,240.61,210.68,156.86,76.25,34.12,228.65,110.07,88.64,1522.3
PRECTOTCORR_SUM,2005,53.43,124.98,34.97,124.75,176.59,99.01,111.3,101.17,100.73,147.42,97.72,125.93,1298.0
PRECTOTCORR_SUM,2006,65.21,45.33,105.81,135.84,248.85,164.66,54.5,66.02,71.13,189.08,73.61,83.28,1303.32
PRECTOTCORR_SUM,2007,24.42,18.43,114.37,166.02,176.02,152.44,102.93,119.23,65.6,145.46,69.31,43.38,1197.61
PRECTOTCORR_SUM,2008,28.75,19.41,55.85,72.77,71.78,45.63,54.09,74.68,37.09,144.86,151.4,72.63,828.94
PRECTOTCORR_SUM,2009,58.95,72.56,152.25,140.93,83.24,201.41,122.87,91.44,64.97,141.24,96.59,48.31,1274.76
PRECTOTCORR_SUM,2010,13.04,43.9,97.79,261.18,250.81,166.73,304.39,113.64,151.65,190.34,190.24,185.92,1969.63
PRECTOTCORR_SUM,2011,61.56,120.3,157.59,290.37,253.11,168.7,131.05,127.73,156.46,199.4,312.59,169.12,2147.98
PRECTOTCORR_SUM,2012,93.65,71.42,237.64,311.58,194.02,120.13,163.31,128.27,99.86,226.34,128.36,132.53,1907.11
PRECTOTCORR_SUM,2013,21.03,154.72,126.99,250.37,315.03,146.75,175.47,125.85,107.86,144.83,293.14,148.51,2010.55
PRECTOTCORR_SUM,2014,68.73,95.54,112.99,261.73,213.98,180.2,98.65,74.41,125.62,190.7,181.26,150.51,1754.32
PRECTOTCORR_SUM,2015,83.73,62.15,162.9,184.9,101.42,121.15,124.97,79.12,75.38,139.42,186.17,30.73,1352.04
PRECTOTCORR_SUM,2016,16.36,46.56,129.07,273.87,164.73,109.79,117.73,152.06,133.31,205.4,220.22,136.31,1705.41
PRECTOTCORR_SUM,2017,54.6,38.0,276.73,180.8,316.34,201.01,90.92,164.44,102.69,239.9,265.67,95.13,2026.23
PRECTOTCORR_SUM,2018,76.57,66.86,108.8,276.7,304.61,194.86,178.4,146.6,134.03,209.91,168.57,34.41,1900.32
PRECTOTCORR_SUM,2019,49.57,82.64,206.07,230.79,325.55,176.53,150.09,98.34,131.72,240.32,236.57,80.05,2008.24
PRECTOTCORR_SUM,2020,23.51,132.39,106.01,156.11,140.88,312.54,205.21,121.34,119.27,60.73,71.11,113.99,1563.09
PRECTOTCORR_SUM,2021,105.14,98.38,132.12,176.72,53.85,196.89,57.61,71.11,145.0,96.44,86.48,65.48,1285.22
PRECTOTCORR_SUM,2022,57.49,131.69,199.88,260.12,319.0,207.29,228.31,162.59,135.09,252.6,179.19,70.75,2204.0
PRECTOTCORR_SUM,2023,181.32,54.03,165.16,218.01,220.91,151.78,151.41,131.76,139.46,200.76,170.2,133.78,1918.58
