# Area: Cuba
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.52   Longitude -77.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,37.3,45.05,46.76,13.5,116.26,79.04,117.65,171.62,141.82,123.94,88.19,3.95,985.08
PRECTOTCORR_SUM,1982,28.93,3.16,58.97,37.6,95.81,19.92,30.98,45.91,241.31,173.84,53.26,21.98,811.67
PRECTOTCORR_SUM,1983,65.43,155.31,80.28,43.7,44.72,212.35,44.97,116.53,160.22,116.5,81.06,15.37,1136.44
PRECTOTCORR_SUM,1984,36.92,52.35,22.74,44.68,155.25,88.8,73.57,74.89,178.4,86.52,11.26,22.09,847.47
PRECTOTCORR_SUM,1985,3.33,18.05,15.2,71.41,94.2,31.77,46.35,72.16,116.09,171.42,62.51,10.94,713.43
PRECTOTCORR_SUM,1986,2.85,2.76,38.37,3.57,107.76,182.34,53.15,74.56,75.58,51.1,15.15,8.88,616.07
PRECTOTCORR_SUM,1987,30.77,13.43,67.08,14.04,31.9,47.37,26.58,52.66,57.91,135.38,52.35,23.84,553.31
PRECTOTCORR_SUM,1988,22.74,13.81,11.21,3.25,123.29,157.4,102.0,50.51,43.3,102.03,26.08,22.25,677.87
PRECTOTCORR_SUM,1989,5.06,54.62,35.84,6.79,28.83,24.17,83.27,92.74,103.21,62.48,11.66,39.06,547.73
PRECTOTCORR_SUM,1990,15.77,42.21,69.17,73.63,125.99,63.9,74.82,119.53,60.47,108.63,26.1,21.18,801.4
PRECTOTCORR_SUM,1991,3.18,6.09,10.26,15.78,58.33,22.27,5.55,23.7,158.16,111.54,41.8,39.1,495.76
PRECTOTCORR_SUM,1992,8.31,40.42,13.27,11.75,23.3,43.57,23.67,32.35,71.52,32.7,23.02,17.49,341.37
PRECTOTCORR_SUM,1993,35.79,26.62,34.86,65.78,143.41,89.55,32.66,46.4,75.21,85.57,194.0,55.09,884.94
PRECTOTCORR_SUM,1994,45.92,9.15,55.89,136.28,192.03,62.07,106.01,78.65,110.94,60.92,46.11,12.28,916.25
PRECTOTCORR_SUM,1995,17.44,12.38,49.56,47.21,74.88,126.08,151.99,136.13,85.46,116.83,54.79,11.16,883.91
PRECTOTCORR_SUM,1996,15.6,15.56,30.21,33.58,30.04,67.71,12.0,9.22,85.71,81.19,78.97,4.49,464.28
PRECTOTCORR_SUM,1997,19.14,0.8,4.12,8.38,31.02,129.24,47.6,112.29,95.22,168.3,33.63,19.12,668.86
PRECTOTCORR_SUM,1998,44.51,63.74,56.64,2.51,7.65,1.7,19.03,26.03,38.58,6.4,4.82,8.66,280.27
PRECTOTCORR_SUM,1999,17.23,24.4,1.13,28.5,67.74,130.38,39.89,48.61,10.9,32.53,10.08,0.63,412.02
PRECTOTCORR_SUM,2000,6.23,1.8,1.74,30.36,87.93,19.35,103.5,69.94,107.34,40.81,9.47,55.33,533.8
PRECTOTCORR_SUM,2001,13.88,17.94,16.11,26.31,135.08,69.49,62.57,94.79,63.7,83.7,32.83,13.07,629.47
PRECTOTCORR_SUM,2002,5.14,2.8,19.39,7.14,95.41,68.51,40.8,8.77,24.05,8.21,13.22,4.4,297.84
PRECTOTCORR_SUM,2003,7.81,0.12,4.34,10.0,6.69,3.97,2.66,6.59,7.13,13.14,2.62,2.23,67.3
PRECTOTCORR_SUM,2004,2.31,0.16,5.72,2.51,0.88,2.3,20.19,11.21,12.67,38.46,12.76,2.95,112.12
PRECTOTCORR_SUM,2005,8.3,4.35,9.81,23.29,54.19,103.99,24.85,28.01,52.35,59.48,2.93,2.31,373.86
PRECTOTCORR_SUM,2006,0.84,3.98,0.28,8.0,13.68,40.52,19.81,30.7,39.78,40.98,41.48,41.81,281.86
PRECTOTCORR_SUM,2007,12.54,32.17,45.16,2.14,210.28,57.04,128.6,127.15,144.34,137.87,10.35,17.2,924.84
PRECTOTCORR_SUM,2008,1.22,32.76,60.22,85.01,225.67,112.0,121.92,97.04,225.96,113.72,129.34,61.24,1266.1
PRECTOTCORR_SUM,2009,19.81,15.74,26.72,37.77,221.03,278.9,52.42,146.21,249.94,113.6,61.01,32.86,1256.01
PRECTOTCORR_SUM,2010,22.84,83.26,33.97,128.28,112.71,181.84,200.77,161.08,263.82,206.76,40.86,7.54,1443.73
PRECTOTCORR_SUM,2011,24.1,4.17,53.88,45.69,54.24,246.3,200.41,188.88,196.95,282.36,68.43,70.58,1435.99
PRECTOTCORR_SUM,2012,8.04,37.52,26.45,122.37,126.0,162.03,154.44,171.0,84.61,218.79,26.1,32.68,1170.03
PRECTOTCORR_SUM,2013,58.9,11.9,30.84,67.41,117.64,124.1,142.75,144.33,128.24,143.53,67.55,17.44,1054.63
PRECTOTCORR_SUM,2014,67.68,36.74,52.44,114.06,166.28,199.41,50.41,197.46,192.84,153.83,59.21,38.72,1329.08
PRECTOTCORR_SUM,2015,23.14,27.46,60.22,43.4,175.05,176.04,83.98,261.87,208.23,153.34,114.02,92.71,1419.46
PRECTOTCORR_SUM,2016,46.23,23.86,26.84,63.91,382.46,317.39,55.82,47.1,218.36,215.49,78.86,10.92,1487.24
PRECTOTCORR_SUM,2017,15.4,15.02,31.97,78.28,179.86,417.55,134.96,257.47,362.92,113.49,134.33,8.27,1749.52
PRECTOTCORR_SUM,2018,20.31,1.05,28.24,143.5,210.84,63.71,71.67,234.99,181.75,396.12,1.43,24.41,1378.02
PRECTOTCORR_SUM,2019,45.35,57.05,302.63,118.55,479.11,762.22,195.99,513.02,240.24,244.77,67.93,7.98,3034.84
PRECTOTCORR_SUM,2020,17.6,50.21,7.46,14.26,3.91,13.86,31.44,6.79,11.39,51.77,82.24,19.36,310.29
PRECTOTCORR_SUM,2021,7.72,27.99,0.88,14.04,658.69,730.96,575.13,204.52,258.01,306.34,181.73,31.59,2997.6
PRECTOTCORR_SUM,2022,19.99,164.08,197.82,135.8,406.0,1013.59,79.96,139.75,362.97,76.95,42.36,21.28,2660.55
PRECTOTCORR_SUM,2023,52.15,11.77,55.26,197.19,1187.13,1029.64,127.03,307.93,290.24,168.79,91.41,113.47,3632.01
