# Area: Equatorial Guinea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  3.75   Longitude 8.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,2.21,24.35,91.17,230.43,238.65,323.37,567.64,16.3,341.83,239.07,190.59,2.6,2268.21
PRECTOTCORR_SUM,1982,46.95,120.53,383.14,131.59,578.2,529.31,639.72,730.39,804.62,629.18,29.75,9.08,4632.46
PRECTOTCORR_SUM,1983,0.09,11.1,45.15,100.93,517.16,382.34,386.16,494.01,295.52,229.01,103.39,81.28,2646.14
PRECTOTCORR_SUM,1984,146.84,24.0,188.59,154.49,213.97,150.76,190.4,164.49,209.64,333.58,88.82,4.94,1870.52
PRECTOTCORR_SUM,1985,10.07,18.03,147.6,283.73,200.57,188.59,127.2,235.8,246.91,292.43,70.73,26.46,1848.12
PRECTOTCORR_SUM,1986,46.05,17.43,103.94,143.99,317.96,100.38,194.05,372.93,235.92,407.01,221.38,265.97,2427.01
PRECTOTCORR_SUM,1987,122.44,155.85,136.81,243.29,204.25,256.9,254.06,385.12,32.05,432.84,168.04,51.86,2443.51
PRECTOTCORR_SUM,1988,22.23,39.3,224.68,198.93,242.11,294.54,448.86,244.75,309.54,331.15,86.18,42.52,2484.79
PRECTOTCORR_SUM,1989,1.29,40.7,72.54,163.45,265.16,299.24,378.68,414.79,243.91,229.46,68.67,6.57,2184.46
PRECTOTCORR_SUM,1990,17.19,62.49,31.53,95.53,208.16,38.43,17.85,30.73,171.9,292.69,317.1,217.97,1501.57
PRECTOTCORR_SUM,1991,55.08,39.67,64.89,195.66,143.3,176.94,112.2,8.83,32.6,97.21,100.05,32.25,1058.68
PRECTOTCORR_SUM,1992,2.93,37.07,226.5,155.92,155.17,245.94,506.85,220.36,349.38,308.77,182.75,6.43,2398.07
