# Area: Eswatini
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -26.52   Longitude 31.47 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 833.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,207.79,181.55,83.69,14.9,51.69,14.34,8.91,17.32,86.24,91.85,139.58,100.05,997.91
PRECTOTCORR_SUM,1982,188.41,139.26,48.47,75.68,13.29,7.03,24.48,5.06,19.28,80.31,92.68,79.24,773.19
PRECTOTCORR_SUM,1983,154.85,43.33,90.05,65.72,46.36,26.77,6.55,61.61,7.48,69.85,278.02,128.6,979.19
PRECTOTCORR_SUM,1984,279.69,60.71,141.09,38.82,4.36,27.44,91.85,25.79,45.93,99.52,131.14,103.45,1049.79
PRECTOTCORR_SUM,1985,100.51,336.79,55.41,13.04,22.05,5.74,8.54,0.8,24.72,131.69,129.82,128.52,957.63
PRECTOTCORR_SUM,1986,166.81,142.96,92.34,118.31,1.42,9.62,0.44,17.06,21.68,52.02,108.71,172.37,903.74
PRECTOTCORR_SUM,1987,187.8,135.97,199.94,75.89,4.36,4.29,2.86,56.68,172.57,151.81,118.44,173.78,1284.39
PRECTOTCORR_SUM,1988,96.41,141.95,144.55,60.72,6.32,38.02,16.12,17.6,45.34,208.49,77.01,189.19,1041.72
PRECTOTCORR_SUM,1989,79.36,305.45,52.78,25.58,22.21,47.97,2.15,6.24,12.84,79.93,214.08,165.59,1014.18
PRECTOTCORR_SUM,1990,124.93,113.81,128.64,62.17,12.12,1.16,0.36,27.25,4.71,68.26,88.47,163.84,795.72
PRECTOTCORR_SUM,1991,219.19,170.27,169.65,2.72,36.09,48.53,5.35,5.26,24.38,41.93,94.79,124.89,943.05
PRECTOTCORR_SUM,1992,92.65,61.61,47.56,28.12,0.22,4.45,0.79,13.5,16.48,46.85,104.89,217.14,634.26
PRECTOTCORR_SUM,1993,91.02,148.84,161.79,31.68,56.01,5.4,1.66,24.49,30.21,149.3,119.69,109.7,929.79
PRECTOTCORR_SUM,1994,106.46,70.45,100.55,26.73,5.01,1.47,3.04,10.43,16.98,92.07,89.63,93.47,616.29
PRECTOTCORR_SUM,1995,126.29,62.31,115.46,67.87,41.93,3.51,4.63,38.27,3.65,109.35,148.91,262.0,984.18
PRECTOTCORR_SUM,1996,185.61,202.99,105.12,61.35,67.92,14.68,25.39,15.58,2.35,153.62,104.9,113.22,1052.73
PRECTOTCORR_SUM,1997,134.5,67.4,158.76,48.48,32.77,23.77,9.94,21.08,44.19,108.62,187.36,60.48,897.35
PRECTOTCORR_SUM,1998,107.17,78.29,31.23,45.75,1.74,0.04,6.76,4.13,41.68,113.93,155.12,170.16,756.0
PRECTOTCORR_SUM,1999,96.74,118.18,79.56,40.16,24.82,5.84,11.09,22.87,43.77,85.01,84.67,226.76,839.47
PRECTOTCORR_SUM,2000,108.6,233.43,142.07,68.52,31.62,8.37,3.99,0.72,30.34,80.61,178.09,114.33,1000.69
PRECTOTCORR_SUM,2001,53.82,118.19,44.12,47.93,12.51,1.68,6.29,1.27,17.99,70.25,176.48,114.9,665.43
PRECTOTCORR_SUM,2002,108.69,59.59,46.37,45.35,17.74,9.12,13.86,22.55,25.43,57.2,35.54,143.1,584.54
PRECTOTCORR_SUM,2003,64.35,82.85,26.74,7.59,7.44,32.08,1.61,4.38,20.91,23.06,71.45,52.97,395.43
PRECTOTCORR_SUM,2004,140.73,141.92,112.25,46.57,10.92,5.62,42.45,14.15,18.42,59.98,127.35,122.35,842.71
