# Area: Ethiopia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.15   Longitude 40.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1540.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.01,8.99,234.46,260.21,18.69,26.38,177.78,218.9,180.42,35.8,12.77,4.66,1179.07
PRECTOTCORR_SUM,1982,150.1,38.54,47.62,99.44,125.29,44.42,108.0,173.29,127.01,116.63,43.34,50.77,1124.45
PRECTOTCORR_SUM,1983,12.01,66.68,71.65,213.77,177.62,48.76,112.64,371.73,164.98,42.27,1.6,2.72,1286.43
PRECTOTCORR_SUM,1984,0.43,5.54,7.11,21.33,221.1,60.05,195.08,164.17,148.7,16.19,4.36,13.17,857.23
PRECTOTCORR_SUM,1985,19.79,0.0,48.18,170.21,125.91,68.11,134.05,251.2,154.5,31.88,9.01,0.81,1013.65
PRECTOTCORR_SUM,1986,0.0,40.26,98.4,209.48,101.4,129.39,140.78,361.13,208.58,71.59,21.81,39.43,1422.25
PRECTOTCORR_SUM,1987,2.6,18.26,221.58,185.09,351.71,122.93,133.82,162.84,84.43,48.53,2.05,1.81,1335.65
PRECTOTCORR_SUM,1988,26.07,41.86,24.67,150.31,9.73,63.65,123.72,258.83,190.78,88.69,0.07,12.81,991.19
PRECTOTCORR_SUM,1989,3.54,46.58,112.32,265.4,17.15,50.77,186.61,176.57,103.47,26.61,15.24,33.29,1037.55
PRECTOTCORR_SUM,1990,24.52,130.36,85.68,125.48,25.48,16.57,137.49,211.7,108.68,33.68,2.15,7.36,909.15
PRECTOTCORR_SUM,1991,11.94,60.78,107.48,119.01,96.01,19.06,201.35,194.85,99.5,18.06,6.1,51.71,985.85
PRECTOTCORR_SUM,1992,17.66,85.2,40.13,83.31,72.04,50.0,160.48,263.3,115.53,24.54,20.5,12.92,945.61
PRECTOTCORR_SUM,1993,27.25,24.3,16.91,171.98,123.05,81.48,190.26,197.97,117.1,90.55,3.55,9.68,1054.08
PRECTOTCORR_SUM,1994,0.0,0.23,42.68,133.11,129.8,44.5,257.72,251.14,174.61,28.04,57.6,3.23,1122.66
PRECTOTCORR_SUM,1995,0.0,52.2,106.16,154.96,61.9,30.16,161.41,208.48,113.53,22.2,11.71,62.55,985.26
PRECTOTCORR_SUM,1996,36.29,3.52,179.99,143.57,123.5,101.41,287.72,261.33,118.47,17.9,49.47,3.73,1326.9
PRECTOTCORR_SUM,1997,9.86,2.18,78.3,130.91,67.25,100.02,185.2,157.93,47.95,307.04,53.57,6.15,1146.36
PRECTOTCORR_SUM,1998,35.38,39.14,28.81,56.06,94.37,59.93,181.46,206.37,177.78,161.83,16.15,1.27,1058.55
PRECTOTCORR_SUM,1999,4.7,2.31,135.55,48.03,33.73,67.76,198.56,262.05,89.19,127.18,5.72,1.91,976.69
PRECTOTCORR_SUM,2000,0.72,0.0,14.0,55.45,51.04,21.4,46.91,132.91,45.65,40.17,11.91,2.66,422.82
PRECTOTCORR_SUM,2001,0.59,4.77,75.93,25.06,44.22,16.71,53.24,125.49,84.21,29.98,8.65,2.93,471.78
PRECTOTCORR_SUM,2002,19.14,0.55,91.64,61.51,60.53,23.61,69.07,88.52,31.64,14.28,5.36,12.54,478.39
PRECTOTCORR_SUM,2003,1.62,18.67,20.23,113.87,34.51,27.85,89.6,190.87,83.06,0.88,8.89,53.05,643.1
PRECTOTCORR_SUM,2004,8.61,3.95,59.43,75.23,13.79,50.5,96.71,71.55,97.81,30.68,40.15,26.17,574.58
PRECTOTCORR_SUM,2005,12.14,3.52,56.39,144.86,177.81,16.01,68.57,59.84,42.02,14.06,26.27,0.0,621.49
PRECTOTCORR_SUM,2006,5.23,43.99,96.1,107.77,58.36,35.35,173.94,130.24,83.95,66.98,10.26,48.56,860.73
PRECTOTCORR_SUM,2007,5.99,48.35,56.08,142.51,90.43,28.04,159.65,168.35,97.4,47.84,22.16,0.0,866.8
PRECTOTCORR_SUM,2008,10.2,0.38,1.67,102.11,69.23,35.29,244.34,256.85,73.61,69.97,89.48,0.91,954.04
PRECTOTCORR_SUM,2009,27.27,19.0,35.54,84.29,19.47,81.85,180.57,128.47,87.48,108.01,9.21,34.24,815.4
PRECTOTCORR_SUM,2010,0.05,84.81,112.98,132.14,103.07,75.31,248.55,308.88,265.76,17.81,19.97,3.46,1372.79
PRECTOTCORR_SUM,2011,1.81,1.3,48.47,91.49,104.13,24.91,99.61,79.74,42.84,16.44,30.33,0.29,541.36
PRECTOTCORR_SUM,2012,0.44,0.02,3.04,99.09,56.51,35.69,172.37,269.73,122.78,8.9,8.67,3.7,780.94
PRECTOTCORR_SUM,2013,16.75,0.14,65.45,155.83,50.74,38.17,321.04,238.94,114.06,72.34,112.65,1.72,1187.83
PRECTOTCORR_SUM,2014,0.19,11.5,64.59,88.9,88.94,26.26,164.78,143.0,188.18,102.25,15.74,8.06,902.39
PRECTOTCORR_SUM,2015,3.77,0.57,25.17,19.51,158.25,93.64,40.69,153.79,41.08,18.74,47.13,18.73,621.07
PRECTOTCORR_SUM,2016,25.13,20.65,39.17,238.27,205.12,28.1,175.73,197.66,79.23,23.23,28.7,17.46,1078.45
PRECTOTCORR_SUM,2017,0.0,40.74,124.18,41.65,169.22,28.99,133.45,165.79,218.38,23.4,9.3,0.58,955.68
PRECTOTCORR_SUM,2018,0.36,30.83,31.13,251.62,64.34,73.67,98.52,214.85,95.38,59.3,94.37,0.33,1014.7
PRECTOTCORR_SUM,2019,0.0,7.59,41.34,110.82,55.41,108.59,65.73,264.26,251.53,157.99,67.8,64.89,1195.95
PRECTOTCORR_SUM,2020,8.09,9.87,53.0,309.35,180.29,60.08,150.85,160.24,247.01,18.91,9.86,34.03,1241.58
PRECTOTCORR_SUM,2021,28.23,11.26,2.7,120.64,122.33,33.93,206.27,238.03,198.73,105.27,64.92,30.97,1163.28
PRECTOTCORR_SUM,2022,24.67,10.83,22.99,100.2,13.7,61.45,149.17,131.51,103.09,22.26,17.46,13.59,670.92
PRECTOTCORR_SUM,2023,1.8,42.09,204.09,311.51,270.47,96.94,97.78,202.61,115.04,230.51,131.31,2.0,1706.15
