# Area: Ghana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.95   Longitude -1.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 164.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,7.34,34.43,124.99,92.42,179.99,187.49,122.8,136.92,278.31,102.32,4.9,3.07,1274.98
PRECTOTCORR_SUM,1982,35.84,80.54,120.8,156.78,188.09,274.2,157.73,114.24,144.45,186.19,37.57,4.39,1500.82
PRECTOTCORR_SUM,1983,0.0,14.92,16.19,91.31,226.05,215.27,114.04,73.73,174.63,13.55,34.89,23.2,997.78
PRECTOTCORR_SUM,1984,3.16,7.08,99.86,161.11,192.2,181.78,239.98,190.33,244.92,119.99,39.7,8.31,1488.42
PRECTOTCORR_SUM,1985,8.6,7.22,61.32,137.5,164.23,188.03,237.32,304.94,298.95,98.03,53.6,3.1,1562.84
PRECTOTCORR_SUM,1986,2.26,44.79,77.74,96.08,138.39,142.3,189.25,141.63,262.47,185.28,42.15,38.29,1360.63
PRECTOTCORR_SUM,1987,2.96,18.99,40.57,54.44,97.86,177.86,206.1,331.58,382.85,163.49,2.16,5.14,1484.0
PRECTOTCORR_SUM,1988,2.22,14.92,62.64,159.88,145.43,233.92,219.54,143.51,289.45,86.33,27.03,7.75,1392.62
PRECTOTCORR_SUM,1989,0.13,0.55,63.58,71.25,114.36,258.16,210.28,237.96,312.29,182.64,7.45,20.87,1479.52
PRECTOTCORR_SUM,1990,10.09,30.22,10.26,151.02,176.19,121.84,142.76,150.82,181.28,103.32,44.77,33.48,1156.05
PRECTOTCORR_SUM,1991,1.0,9.74,68.45,124.37,369.74,197.48,187.82,237.02,125.7,129.27,16.9,6.76,1474.25
PRECTOTCORR_SUM,1992,1.15,6.21,38.94,120.95,176.12,141.12,108.5,71.53,204.76,92.99,55.52,4.95,1022.74
PRECTOTCORR_SUM,1993,0.33,17.09,125.83,191.54,175.88,175.05,143.75,180.34,268.1,69.41,60.77,8.22,1416.31
PRECTOTCORR_SUM,1994,4.41,4.21,45.06,66.77,150.75,179.91,146.06,132.08,223.06,190.26,10.54,0.87,1153.98
PRECTOTCORR_SUM,1995,1.01,3.3,55.0,169.46,148.77,201.42,197.59,293.46,200.38,144.98,27.12,7.08,1449.57
PRECTOTCORR_SUM,1996,8.22,28.38,56.1,159.89,132.64,160.32,143.14,195.17,185.62,137.59,6.48,8.7,1222.25
PRECTOTCORR_SUM,1997,5.91,0.55,251.73,240.23,202.23,285.94,113.54,91.94,160.14,91.89,20.74,1.91,1466.75
PRECTOTCORR_SUM,1998,5.61,5.65,7.62,48.41,64.56,137.1,104.46,110.56,188.35,96.78,13.42,11.83,794.35
PRECTOTCORR_SUM,1999,13.34,34.13,119.22,98.01,97.91,136.55,125.5,227.38,252.4,122.11,19.07,1.03,1246.65
