# Area: Grenada
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.26   Longitude -61.6 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,46.04,56.24,21.62,183.78,118.24,170.25,146.03,221.04,89.42,95.11,93.97,84.36,1326.1
PRECTOTCORR_SUM,1982,31.44,49.25,11.28,39.79,92.87,145.35,115.97,164.67,146.21,74.63,108.85,105.38,1085.69
PRECTOTCORR_SUM,1983,78.39,2.39,14.78,31.71,241.6,138.99,140.55,119.93,138.97,94.1,45.62,52.64,1099.67
PRECTOTCORR_SUM,1984,37.35,19.75,11.92,9.84,66.27,80.38,184.97,139.3,112.11,142.07,240.59,82.28,1126.83
PRECTOTCORR_SUM,1985,30.91,57.58,23.72,44.97,39.53,95.55,115.69,171.33,149.81,229.71,115.05,82.74,1156.59
PRECTOTCORR_SUM,1986,10.88,11.02,10.6,27.2,108.46,139.55,80.61,152.35,131.17,131.07,171.91,49.09,1023.91
PRECTOTCORR_SUM,1987,11.86,2.11,18.95,15.34,104.53,158.4,155.93,130.0,172.9,133.37,121.01,58.82,1083.22
PRECTOTCORR_SUM,1988,14.79,31.17,15.29,14.77,13.5,85.55,110.38,193.91,180.2,225.61,132.74,100.02,1117.93
PRECTOTCORR_SUM,1989,27.47,20.69,61.94,26.08,20.07,97.42,136.09,57.64,148.95,57.82,119.98,28.43,802.58
PRECTOTCORR_SUM,1990,53.7,21.21,29.0,36.97,78.25,143.61,122.25,160.81,58.27,173.75,90.73,42.87,1011.42
PRECTOTCORR_SUM,1991,21.34,13.49,22.02,63.32,39.94,59.35,110.94,105.45,163.06,102.3,243.23,36.54,980.98
PRECTOTCORR_SUM,1992,31.9,35.7,12.05,14.18,57.66,198.22,102.46,93.5,142.22,33.38,148.49,52.04,921.8
PRECTOTCORR_SUM,1993,20.46,12.71,31.48,20.53,90.18,105.93,88.54,148.34,128.45,95.63,122.23,32.26,896.74
PRECTOTCORR_SUM,1994,23.34,12.49,16.52,17.48,30.38,57.64,59.88,100.4,127.7,69.18,76.1,31.12,622.23
PRECTOTCORR_SUM,1995,17.74,9.75,23.52,16.28,23.95,99.37,91.44,189.67,133.75,140.55,53.23,23.8,823.05
PRECTOTCORR_SUM,1996,21.53,17.77,14.0,14.42,55.13,158.25,163.92,90.12,153.51,138.84,96.58,60.45,984.52
PRECTOTCORR_SUM,1997,36.65,45.76,15.64,11.2,38.74,109.99,116.55,115.59,104.27,96.33,74.01,25.97,790.7
PRECTOTCORR_SUM,1998,14.67,8.35,10.43,21.08,95.28,145.94,115.2,99.44,75.28,200.96,112.4,107.39,1006.42
PRECTOTCORR_SUM,1999,40.41,17.96,26.76,44.28,10.84,86.2,122.18,110.75,128.27,136.11,207.51,92.67,1023.94
PRECTOTCORR_SUM,2000,60.84,33.59,53.83,14.78,57.4,70.73,67.54,99.71,123.43,98.07,225.89,42.24,948.05
PRECTOTCORR_SUM,2001,28.73,16.12,16.74,16.71,30.55,61.82,95.05,117.28,92.8,143.29,28.79,101.98,749.86
PRECTOTCORR_SUM,2002,48.2,11.44,42.28,31.18,51.52,72.53,89.76,75.38,121.0,123.29,82.04,23.97,772.59
PRECTOTCORR_SUM,2003,17.48,10.52,6.83,10.22,36.79,97.91,118.87,87.18,67.37,77.77,151.87,75.84,758.65
PRECTOTCORR_SUM,2004,50.75,20.55,18.34,62.4,81.87,104.69,125.31,132.5,119.72,106.5,221.48,44.52,1088.63
PRECTOTCORR_SUM,2005,95.29,35.01,11.25,15.56,69.08,216.55,189.08,82.42,105.21,143.81,186.73,59.8,1209.79
PRECTOTCORR_SUM,2006,77.38,32.45,20.1,9.13,21.52,79.49,104.88,143.62,58.12,103.15,68.97,47.47,766.28
PRECTOTCORR_SUM,2007,26.91,12.24,38.03,21.29,40.8,72.06,58.56,183.86,81.58,160.48,62.62,104.76,863.19
PRECTOTCORR_SUM,2008,57.91,43.2,12.98,23.19,13.56,95.59,135.12,108.22,136.94,202.82,132.26,44.56,1006.35
PRECTOTCORR_SUM,2009,50.85,36.35,20.58,20.18,27.19,69.6,135.94,91.96,98.52,67.54,53.86,11.01,683.58
PRECTOTCORR_SUM,2010,9.45,4.0,2.25,53.83,88.33,134.95,187.43,159.62,195.96,149.18,170.11,140.91,1296.02
PRECTOTCORR_SUM,2011,39.51,36.3,43.92,56.18,111.87,126.09,148.43,116.62,135.23,108.51,190.9,101.74,1215.3
PRECTOTCORR_SUM,2012,26.96,17.75,89.33,44.19,138.41,73.45,90.29,219.93,71.74,138.12,42.26,103.94,1056.37
PRECTOTCORR_SUM,2013,12.66,5.98,12.28,45.75,106.23,130.57,55.78,108.45,110.19,142.89,81.08,97.55,909.41
PRECTOTCORR_SUM,2014,23.4,15.5,10.62,12.92,30.82,48.77,120.55,137.83,100.01,111.53,144.96,34.9,791.81
PRECTOTCORR_SUM,2015,43.02,15.55,30.03,21.01,31.78,61.25,81.11,65.98,73.88,117.33,149.15,70.94,761.03
PRECTOTCORR_SUM,2016,23.46,9.95,13.97,47.2,104.82,128.96,92.88,81.9,141.99,80.19,242.28,107.37,1074.97
PRECTOTCORR_SUM,2017,49.75,30.63,36.81,13.76,49.16,168.9,106.38,164.3,158.54,157.89,101.47,99.89,1137.48
PRECTOTCORR_SUM,2018,76.54,32.65,111.57,24.08,36.86,63.48,75.6,83.98,88.88,161.44,109.35,28.94,893.37
PRECTOTCORR_SUM,2019,17.87,11.72,25.24,29.45,47.38,115.38,124.92,89.96,92.67,111.03,120.33,71.56,857.51
PRECTOTCORR_SUM,2020,40.97,39.16,15.15,14.15,23.8,66.55,101.24,131.27,82.29,182.96,170.51,50.47,918.52
PRECTOTCORR_SUM,2021,83.16,19.92,86.31,47.44,42.9,108.14,109.19,117.59,55.59,110.66,51.11,57.08,889.09
PRECTOTCORR_SUM,2022,38.74,27.79,22.02,42.54,35.73,153.72,78.61,93.83,109.11,154.79,164.02,48.07,968.97
PRECTOTCORR_SUM,2023,84.67,19.2,9.52,35.2,58.87,74.39,123.74,109.82,38.15,139.56,141.45,70.46,905.03
