# Area: Guatemala
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.78   Longitude -90.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 265.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,13.25,66.16,36.39,60.95,131.09,179.55,191.44,202.75,225.81,157.0,37.82,89.06,1391.27
PRECTOTCORR_SUM,1982,69.7,12.48,15.79,16.3,61.19,102.63,106.95,103.59,105.57,73.31,48.36,23.1,738.97
PRECTOTCORR_SUM,1983,19.99,38.52,18.91,20.01,86.77,117.85,118.7,40.83,65.43,57.18,40.5,26.93,651.62
PRECTOTCORR_SUM,1984,46.27,24.18,13.59,3.23,59.73,56.28,111.06,59.17,97.16,55.63,14.33,28.98,569.61
PRECTOTCORR_SUM,1985,16.95,22.62,33.84,27.29,54.91,54.27,70.67,74.26,59.34,37.28,30.83,23.58,505.84
PRECTOTCORR_SUM,1986,32.94,2.38,7.46,13.41,48.59,40.44,65.19,102.52,74.89,68.46,21.08,12.44,489.8
PRECTOTCORR_SUM,1987,12.32,7.03,26.66,12.67,18.02,71.35,77.88,106.86,84.6,24.01,32.06,45.15,518.61
PRECTOTCORR_SUM,1988,45.73,20.38,11.09,7.81,19.0,121.67,73.14,61.97,64.74,98.96,40.27,27.16,591.92
PRECTOTCORR_SUM,1989,45.49,10.83,4.19,44.87,58.63,83.76,71.75,71.11,80.02,62.01,46.99,92.23,671.88
PRECTOTCORR_SUM,1990,20.27,9.66,16.63,22.64,51.06,114.32,124.21,118.02,222.79,64.35,123.8,19.68,907.43
PRECTOTCORR_SUM,1991,93.3,55.69,2.67,26.0,127.95,271.98,126.15,189.32,285.21,178.02,98.72,226.38,1681.39
PRECTOTCORR_SUM,1992,53.49,22.77,45.07,64.55,75.63,268.69,207.95,280.23,317.63,63.67,133.04,39.13,1571.85
PRECTOTCORR_SUM,1993,164.11,14.64,88.31,107.35,86.25,366.47,426.22,236.76,326.23,279.11,153.12,95.1,2343.67
PRECTOTCORR_SUM,1994,13.44,10.43,8.59,6.45,8.9,41.34,26.63,51.31,62.53,19.49,35.68,38.59,323.38
PRECTOTCORR_SUM,1995,38.13,8.34,3.98,36.36,83.32,194.54,201.9,294.89,323.66,171.98,136.75,94.75,1588.6
PRECTOTCORR_SUM,1996,34.59,18.95,22.86,62.43,81.22,137.09,167.41,169.52,119.72,99.65,121.29,76.08,1110.81
PRECTOTCORR_SUM,1997,61.69,34.73,16.14,35.71,67.54,178.31,108.39,189.16,133.82,119.11,183.68,33.89,1162.17
PRECTOTCORR_SUM,1998,24.03,3.9,33.94,17.75,70.92,259.4,237.8,156.11,249.79,330.96,93.21,78.27,1556.08
PRECTOTCORR_SUM,1999,132.37,75.29,52.81,61.83,39.43,197.37,109.05,179.4,284.07,188.76,63.84,46.67,1430.89
PRECTOTCORR_SUM,2000,42.33,13.72,40.66,17.31,218.06,262.88,172.78,318.75,350.48,299.75,180.14,127.87,2044.73
PRECTOTCORR_SUM,2001,41.82,92.16,29.01,83.9,178.32,105.08,167.64,303.35,286.32,241.68,52.41,94.23,1675.92
PRECTOTCORR_SUM,2002,31.65,54.77,48.95,34.4,90.53,225.03,230.91,201.25,469.46,315.7,185.06,92.3,1980.01
PRECTOTCORR_SUM,2003,28.61,46.32,59.23,24.37,132.51,319.27,197.09,136.1,196.98,184.44,249.1,46.63,1620.65
PRECTOTCORR_SUM,2004,72.24,56.18,90.17,64.61,115.35,262.47,196.69,103.03,370.17,326.88,116.33,40.55,1814.67
PRECTOTCORR_SUM,2005,30.54,14.78,30.24,40.77,104.54,487.26,237.48,425.13,442.06,112.36,129.81,108.21,2163.18
PRECTOTCORR_SUM,2006,151.85,55.49,71.09,66.28,256.69,315.65,181.04,301.46,230.35,226.43,102.65,217.57,2176.55
PRECTOTCORR_SUM,2007,124.48,41.13,55.69,16.25,47.17,122.59,141.65,255.68,296.7,193.88,185.23,44.96,1525.41
PRECTOTCORR_SUM,2008,69.86,65.35,30.47,67.53,131.89,292.21,272.06,222.33,423.32,362.04,25.43,91.4,2053.89
PRECTOTCORR_SUM,2009,156.64,83.42,24.2,27.38,64.65,174.42,141.36,202.38,232.34,113.54,121.83,109.84,1452.0
PRECTOTCORR_SUM,2010,108.41,38.75,16.08,106.83,174.84,218.53,251.28,380.68,313.06,69.89,93.85,49.95,1822.15
PRECTOTCORR_SUM,2011,56.56,31.09,37.99,30.26,123.49,312.73,312.47,199.03,307.58,310.47,99.29,129.58,1950.54
PRECTOTCORR_SUM,2012,138.74,124.09,66.47,31.48,151.92,291.29,219.75,311.78,229.21,148.5,69.55,48.09,1830.87
PRECTOTCORR_SUM,2013,104.81,49.59,38.0,47.56,173.34,284.56,239.69,252.71,212.79,276.57,190.17,240.15,2109.94
PRECTOTCORR_SUM,2014,85.82,102.02,44.84,44.3,310.05,234.27,185.88,200.97,368.94,393.81,230.86,123.37,2325.13
PRECTOTCORR_SUM,2015,141.15,71.18,147.3,86.93,176.04,250.76,140.8,168.74,238.5,170.16,250.1,119.42,1961.08
PRECTOTCORR_SUM,2016,33.56,65.31,54.65,22.66,44.62,215.5,184.34,210.96,189.85,221.33,171.28,118.97,1533.03
PRECTOTCORR_SUM,2017,70.12,32.5,75.3,49.85,174.61,331.8,232.01,194.48,274.36,219.04,53.27,39.45,1746.79
PRECTOTCORR_SUM,2018,133.71,76.87,21.83,39.06,89.59,203.72,97.34,230.08,247.62,191.96,68.12,60.11,1460.01
PRECTOTCORR_SUM,2019,88.36,26.98,35.31,32.18,139.41,194.02,111.06,153.23,265.51,387.47,72.11,79.52,1585.16
PRECTOTCORR_SUM,2020,75.82,50.4,36.18,47.59,211.05,239.41,122.87,346.39,422.13,271.04,334.76,68.37,2226.01
PRECTOTCORR_SUM,2021,62.86,26.49,102.34,49.01,273.95,295.13,147.29,252.73,228.85,277.42,114.33,62.71,1893.11
PRECTOTCORR_SUM,2022,104.16,96.58,202.46,80.33,391.02,278.21,181.65,304.03,353.2,225.03,142.99,55.81,2415.47
PRECTOTCORR_SUM,2023,283.88,27.37,27.14,14.05,49.33,137.03,162.74,80.08,161.82,119.48,152.12,122.11,1337.15
