# Area: Guyana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.86   Longitude -58.93 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 127.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,92.95,92.46,75.19,312.36,301.03,242.52,323.24,334.74,91.1,39.57,39.36,102.97,2047.49
PRECTOTCORR_SUM,1982,40.99,48.78,61.51,109.58,269.25,223.82,200.85,47.05,28.93,30.2,9.36,40.81,1111.13
PRECTOTCORR_SUM,1983,73.77,58.22,35.6,197.7,170.69,215.53,67.09,140.51,48.85,19.67,19.03,79.88,1126.54
PRECTOTCORR_SUM,1984,111.32,26.52,59.53,48.82,172.46,318.84,155.6,151.13,92.93,199.92,189.39,70.7,1597.16
PRECTOTCORR_SUM,1985,25.0,12.35,44.46,45.12,218.64,429.67,227.49,327.73,134.99,87.48,111.9,99.39,1764.22
PRECTOTCORR_SUM,1986,39.99,87.04,44.05,90.34,286.89,310.52,224.54,119.16,38.31,141.86,66.73,72.9,1522.33
PRECTOTCORR_SUM,1987,73.5,21.76,31.12,152.51,192.58,226.12,216.68,116.33,79.87,82.09,94.98,39.41,1326.95
PRECTOTCORR_SUM,1988,95.85,48.46,25.69,13.87,128.3,193.6,338.03,298.07,136.81,56.62,90.4,122.64,1548.34
PRECTOTCORR_SUM,1989,139.33,120.6,105.55,24.7,196.39,272.94,291.25,185.35,112.62,61.06,119.99,73.97,1703.75
PRECTOTCORR_SUM,1990,125.03,62.59,81.06,228.29,303.37,254.0,289.6,184.77,75.3,38.8,54.09,87.41,1784.31
PRECTOTCORR_SUM,1991,42.19,27.7,56.17,109.69,80.26,264.09,188.32,210.69,85.08,53.52,33.29,64.4,1215.4
PRECTOTCORR_SUM,1992,42.66,81.44,16.12,81.51,97.56,147.25,152.72,107.61,7.37,10.43,41.82,45.01,831.5
PRECTOTCORR_SUM,1993,57.1,68.34,136.74,179.5,290.55,270.78,260.18,130.1,45.75,46.04,191.76,66.28,1743.12
PRECTOTCORR_SUM,1994,37.1,31.33,48.4,81.24,185.53,287.64,269.55,204.52,73.52,169.61,69.64,50.74,1508.82
PRECTOTCORR_SUM,1995,24.15,8.31,150.49,44.87,201.53,305.05,257.99,170.56,46.7,63.77,109.99,179.46,1562.87
PRECTOTCORR_SUM,1996,141.43,163.75,34.51,45.89,196.67,394.46,297.86,200.8,71.95,42.0,62.31,60.38,1712.01
PRECTOTCORR_SUM,1997,122.61,242.0,39.94,75.22,278.28,138.97,197.56,85.86,28.93,41.56,31.57,100.13,1382.63
PRECTOTCORR_SUM,1998,46.6,17.49,30.53,170.08,302.85,343.78,145.74,164.3,130.45,97.94,51.89,80.22,1581.87
PRECTOTCORR_SUM,1999,66.69,37.39,56.34,123.2,155.61,313.61,301.0,329.5,158.33,123.99,121.42,80.18,1867.26
PRECTOTCORR_SUM,2000,192.3,62.12,70.08,186.37,309.22,312.81,198.6,106.41,101.64,34.63,109.28,112.49,1795.95
PRECTOTCORR_SUM,2001,35.04,10.46,31.5,42.56,209.22,213.46,174.8,188.71,118.74,57.14,42.1,57.98,1181.71
PRECTOTCORR_SUM,2002,42.14,23.79,101.0,224.17,289.04,337.76,143.69,117.8,58.21,16.74,47.37,68.54,1470.25
PRECTOTCORR_SUM,2003,23.58,9.68,15.04,120.11,306.2,278.55,247.38,163.34,57.4,37.73,126.94,79.46,1465.41
PRECTOTCORR_SUM,2004,65.64,58.27,39.86,139.71,360.97,198.35,204.83,176.44,189.82,167.45,34.95,56.69,1692.98
PRECTOTCORR_SUM,2005,417.04,222.97,129.98,145.09,163.26,181.27,237.97,167.46,73.95,89.4,99.76,286.39,2214.54
