# Area: Haiti
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  18.97   Longitude -72.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 276.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,57.73,28.11,49.65,75.21,231.47,64.06,95.73,91.07,117.82,97.42,108.97,21.21,1038.45
PRECTOTCORR_SUM,1982,60.9,26.28,16.21,34.0,164.1,25.18,13.26,12.51,61.4,80.6,28.1,8.49,531.03
PRECTOTCORR_SUM,1983,6.38,7.73,26.58,28.43,54.94,37.25,15.4,8.57,14.21,44.67,60.0,2.92,307.08
PRECTOTCORR_SUM,1984,7.8,10.3,15.34,46.12,170.83,81.91,108.55,24.57,160.97,137.19,22.87,37.16,823.61
PRECTOTCORR_SUM,1985,3.46,22.85,55.55,117.03,75.18,17.67,35.4,36.71,115.78,104.29,26.87,9.83,620.62
PRECTOTCORR_SUM,1986,40.82,15.39,26.59,156.32,78.01,136.07,2.82,25.73,39.84,115.3,29.13,6.44,672.46
PRECTOTCORR_SUM,1987,9.45,8.83,27.43,65.6,69.42,61.55,7.63,12.05,75.08,122.95,21.39,39.82,521.2
PRECTOTCORR_SUM,1988,31.04,24.34,10.78,37.4,71.79,66.63,7.83,59.11,78.77,19.92,23.36,24.93,455.9
PRECTOTCORR_SUM,1989,21.55,24.51,28.15,34.29,26.58,4.58,39.17,48.05,52.68,118.05,18.78,24.67,441.06
PRECTOTCORR_SUM,1990,56.91,24.52,46.98,49.26,36.15,66.24,18.24,4.03,48.02,55.16,18.11,13.18,436.8
PRECTOTCORR_SUM,1991,12.86,11.83,15.97,16.03,95.09,47.78,4.38,2.07,22.27,8.04,19.32,7.82,263.46
PRECTOTCORR_SUM,1992,0.56,27.94,7.02,5.22,16.12,15.71,2.79,23.35,54.24,14.13,25.73,47.91,240.72
PRECTOTCORR_SUM,1993,47.7,2.97,15.21,33.08,93.04,9.08,2.25,21.36,19.29,20.53,37.26,4.36,306.13
PRECTOTCORR_SUM,1994,18.67,15.19,24.96,11.46,47.86,13.06,0.23,12.74,12.05,26.33,61.09,9.89,253.53
PRECTOTCORR_SUM,1995,3.98,9.75,9.8,29.4,17.68,6.11,3.46,60.89,12.43,33.7,6.58,3.58,197.36
PRECTOTCORR_SUM,1996,11.37,11.74,33.8,35.4,82.32,4.49,30.96,37.12,24.3,27.49,41.81,10.31,351.11
PRECTOTCORR_SUM,1997,9.87,3.33,4.73,8.27,28.63,13.79,12.22,13.46,3.91,15.07,8.67,6.87,128.82
PRECTOTCORR_SUM,1998,28.27,8.63,19.25,21.36,53.03,29.94,25.73,76.0,82.15,58.33,111.09,109.13,622.91
PRECTOTCORR_SUM,1999,53.72,21.78,83.35,14.57,53.1,79.13,29.17,14.48,47.04,40.19,37.84,8.01,482.38
PRECTOTCORR_SUM,2000,9.67,3.0,3.61,16.93,125.0,7.47,2.77,39.67,86.56,74.27,11.56,15.17,395.68
PRECTOTCORR_SUM,2001,15.17,5.62,47.83,11.54,75.66,3.1,56.0,6.54,16.35,53.36,32.68,33.79,357.64
PRECTOTCORR_SUM,2002,36.04,21.31,5.92,39.92,60.3,6.94,8.66,12.48,19.35,16.67,27.23,16.32,271.14
PRECTOTCORR_SUM,2003,21.92,12.76,11.94,93.37,23.86,33.47,19.29,36.38,35.14,91.79,41.55,88.98,510.45
PRECTOTCORR_SUM,2004,23.74,56.65,14.92,78.67,27.61,2.96,23.88,38.71,91.86,27.99,21.74,14.68,423.41
PRECTOTCORR_SUM,2005,32.25,2.18,7.96,18.38,47.03,71.89,44.58,25.56,55.21,148.65,19.38,4.9,477.97
PRECTOTCORR_SUM,2006,2.52,27.9,13.93,64.64,91.09,71.75,13.03,63.24,20.94,21.55,93.91,24.7,509.2
PRECTOTCORR_SUM,2007,17.76,5.74,43.61,30.0,56.65,21.37,15.62,95.89,29.59,77.41,66.15,55.28,515.07
PRECTOTCORR_SUM,2008,15.62,20.21,10.27,25.89,17.61,12.93,4.57,85.15,84.28,72.57,44.16,13.09,406.35
PRECTOTCORR_SUM,2009,19.49,26.27,51.75,26.79,77.66,27.54,26.38,27.73,20.16,34.99,31.15,47.41,417.32
PRECTOTCORR_SUM,2010,46.37,20.8,19.93,23.89,56.36,82.72,70.62,24.61,76.87,67.93,79.44,18.91,588.45
PRECTOTCORR_SUM,2011,22.41,21.73,30.19,23.5,31.85,123.69,77.27,85.62,50.02,104.02,73.21,25.31,668.82
PRECTOTCORR_SUM,2012,27.27,13.07,31.6,61.2,59.46,48.81,52.34,142.48,36.26,97.84,69.24,30.48,670.05
PRECTOTCORR_SUM,2013,15.54,11.33,12.19,11.09,39.22,17.56,50.3,28.08,15.53,37.18,13.44,12.91,264.37
PRECTOTCORR_SUM,2014,20.28,3.67,11.8,16.48,32.71,6.76,18.52,77.34,38.3,37.99,61.05,20.94,345.84
PRECTOTCORR_SUM,2015,20.3,25.86,23.71,6.13,20.67,24.11,18.11,38.73,40.21,70.53,46.59,41.93,376.88
PRECTOTCORR_SUM,2016,19.8,29.78,6.19,30.92,104.47,51.72,31.7,46.74,52.22,204.37,92.44,24.01,694.36
