# Area: Israel
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  31.05   Longitude 34.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 271.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,22.82,33.92,30.47,14.47,0.05,2.49,0.02,0.53,1.02,9.06,36.2,4.98,156.03
PRECTOTCORR_SUM,1982,140.71,60.52,58.46,3.72,40.88,0.92,0.22,0.0,0.26,9.22,46.94,34.15,396.0
PRECTOTCORR_SUM,1983,71.2,45.31,63.86,1.73,0.53,0.0,0.0,0.0,0.0,1.12,5.64,7.19,196.58
PRECTOTCORR_SUM,1984,33.01,5.06,37.54,5.16,0.0,0.0,0.11,0.09,0.0,14.33,6.89,10.75,112.94
PRECTOTCORR_SUM,1985,7.66,64.83,18.35,29.36,1.19,0.36,0.0,0.0,0.0,0.74,4.71,48.28,175.48
PRECTOTCORR_SUM,1986,13.29,19.44,4.38,36.25,4.02,0.0,0.0,6.18,3.61,9.07,76.67,16.59,189.5
PRECTOTCORR_SUM,1987,15.19,15.62,87.14,1.47,0.03,1.69,0.0,0.0,0.0,21.82,1.62,33.56,178.14
PRECTOTCORR_SUM,1988,50.73,28.17,31.6,4.55,0.02,0.0,0.0,0.0,0.0,7.12,10.98,44.78,177.95
PRECTOTCORR_SUM,1989,41.31,42.94,14.1,0.0,0.0,0.08,0.12,0.0,0.0,2.87,11.37,15.27,128.06
PRECTOTCORR_SUM,1990,40.76,19.49,43.59,43.04,1.83,0.0,0.01,0.01,0.0,5.71,3.18,1.26,158.88
PRECTOTCORR_SUM,1991,52.3,24.32,56.72,1.79,0.92,0.0,0.0,0.0,0.03,4.18,9.23,49.56,199.05
PRECTOTCORR_SUM,1992,46.94,59.03,16.78,0.51,0.99,0.3,0.0,0.02,0.0,0.0,12.15,38.54,175.26
PRECTOTCORR_SUM,1993,24.54,24.06,10.21,0.1,3.25,0.06,0.0,0.0,0.0,11.64,13.07,14.53,101.46
PRECTOTCORR_SUM,1994,40.46,18.67,22.31,7.48,0.23,0.0,0.0,0.0,1.79,9.43,81.41,48.16,229.94
PRECTOTCORR_SUM,1995,1.62,20.62,8.18,7.72,1.99,0.0,0.12,0.0,0.03,0.36,10.53,8.33,59.5
PRECTOTCORR_SUM,1996,28.62,13.96,22.75,4.28,0.02,0.0,1.14,0.0,0.0,5.14,11.2,7.19,94.3
PRECTOTCORR_SUM,1997,49.86,26.8,24.16,1.88,4.72,0.05,0.0,0.0,12.24,35.78,28.99,29.76,214.24
PRECTOTCORR_SUM,1998,29.76,24.14,13.84,5.65,2.31,0.0,0.05,0.0,0.01,1.81,7.09,3.63,88.29
PRECTOTCORR_SUM,1999,12.82,28.29,8.81,2.33,2.3,0.0,0.0,0.0,2.93,7.85,3.44,3.63,72.4
