# Area: Kiribati
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -3.37   Longitude 168.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,115.3,410.67,272.7,382.54,30.93,150.3,176.06,35.62,112.34,80.74,70.02,434.17,2271.39
PRECTOTCORR_SUM,1982,120.88,243.65,364.75,230.15,114.18,115.42,309.5,268.29,175.72,268.16,119.0,229.96,2559.66
PRECTOTCORR_SUM,1983,572.6,369.59,246.11,196.92,174.84,208.6,196.24,189.91,170.07,106.33,85.28,131.39,2647.88
PRECTOTCORR_SUM,1984,0.65,4.99,87.3,142.86,75.49,68.21,171.84,120.37,63.67,119.71,124.51,451.34,1430.94
PRECTOTCORR_SUM,1985,295.26,107.73,440.07,62.73,72.53,90.74,23.8,62.76,41.99,71.55,153.59,221.26,1644.01
PRECTOTCORR_SUM,1986,256.32,138.11,45.2,246.52,204.66,105.03,234.53,108.07,199.1,228.15,309.76,575.8,2651.25
PRECTOTCORR_SUM,1987,273.31,518.37,227.77,309.94,288.01,294.05,331.33,192.07,188.77,182.88,101.88,530.19,3438.57
PRECTOTCORR_SUM,1988,301.53,402.0,95.13,236.86,56.57,122.49,66.09,26.05,14.04,59.02,116.54,47.66,1543.98
PRECTOTCORR_SUM,1989,113.61,17.57,26.26,104.01,46.86,88.81,46.58,33.02,17.5,67.96,284.85,321.76,1168.79
PRECTOTCORR_SUM,1990,484.35,303.07,332.69,231.89,80.11,131.8,114.25,189.76,148.09,80.58,245.81,485.02,2827.42
PRECTOTCORR_SUM,1991,315.59,299.41,259.43,163.91,35.06,130.55,108.77,191.82,189.93,245.94,370.96,269.65,2581.02
PRECTOTCORR_SUM,1992,604.72,340.8,242.61,267.38,374.86,113.89,203.99,184.57,128.2,190.65,256.46,505.3,3413.43
PRECTOTCORR_SUM,1993,140.47,355.21,386.76,424.11,240.26,322.24,220.32,217.17,247.17,308.57,104.11,355.68,3322.07
PRECTOTCORR_SUM,1994,276.06,146.83,131.98,230.77,131.43,119.27,144.83,265.01,332.86,294.2,239.72,462.16,2775.12
PRECTOTCORR_SUM,1995,310.84,267.55,158.69,241.95,160.86,138.09,89.35,25.55,62.88,95.95,56.89,78.68,1687.28
PRECTOTCORR_SUM,1996,17.87,25.79,167.0,43.09,66.73,53.68,50.03,53.71,90.11,92.11,57.86,152.98,870.96
PRECTOTCORR_SUM,1997,187.11,129.03,527.28,350.04,190.93,110.46,272.6,231.42,176.76,170.25,42.19,378.08,2766.15
PRECTOTCORR_SUM,1998,373.99,282.01,95.27,248.07,215.14,336.92,227.17,98.86,148.37,88.58,38.61,89.85,2242.84
PRECTOTCORR_SUM,1999,2.7,63.51,13.22,44.52,89.78,146.1,88.8,49.74,8.84,22.55,39.24,7.24,576.24
