# Area: Kyrgyzstan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  42.87   Longitude 74.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 721.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,32.4,30.09,47.14,46.06,59.54,57.28,27.32,38.57,38.67,21.36,36.96,30.01,465.4
PRECTOTCORR_SUM,1982,18.8,15.58,23.04,11.81,30.5,16.92,22.18,13.92,26.31,41.96,29.88,7.66,258.56
PRECTOTCORR_SUM,1983,17.77,9.55,24.39,32.82,71.15,46.97,6.46,6.37,6.72,19.7,34.87,18.83,295.6
PRECTOTCORR_SUM,1984,7.43,20.63,44.1,46.65,23.09,25.22,1.16,0.0,13.5,39.24,63.89,20.71,305.62
PRECTOTCORR_SUM,1985,14.98,38.39,36.99,43.63,55.95,28.6,7.89,8.54,0.32,45.67,23.65,25.06,329.67
PRECTOTCORR_SUM,1986,9.85,7.02,41.43,34.03,32.34,22.86,12.95,3.38,11.2,29.86,23.6,33.59,262.11
PRECTOTCORR_SUM,1987,24.68,20.57,48.78,61.23,33.67,59.61,45.26,3.16,13.88,56.1,39.55,16.65,423.14
PRECTOTCORR_SUM,1988,26.15,17.72,22.06,28.16,63.87,16.7,25.94,16.1,13.31,24.26,12.98,18.6,285.85
PRECTOTCORR_SUM,1989,18.53,16.58,13.65,35.48,30.01,9.89,13.68,6.92,23.18,43.6,27.01,25.06,263.59
PRECTOTCORR_SUM,1990,24.57,9.01,33.19,49.84,32.85,8.88,19.62,10.43,1.01,48.02,38.79,16.76,292.97
PRECTOTCORR_SUM,1991,25.54,15.54,23.49,13.33,31.13,34.44,19.23,9.65,9.09,10.13,13.24,31.26,236.07
PRECTOTCORR_SUM,1992,19.49,20.81,24.62,42.95,68.42,41.99,14.41,27.66,21.66,11.47,6.96,53.06,353.5
PRECTOTCORR_SUM,1993,9.89,34.64,54.62,45.71,50.74,59.95,12.82,22.06,9.1,14.22,60.89,16.85,391.49
PRECTOTCORR_SUM,1994,18.41,15.96,35.04,119.11,46.53,28.0,3.54,3.98,2.54,5.32,52.83,33.15,364.41
PRECTOTCORR_SUM,1995,34.03,19.82,28.63,6.28,35.2,17.7,14.86,11.69,8.39,50.34,15.5,13.72,256.16
PRECTOTCORR_SUM,1996,17.41,30.25,18.51,56.82,28.06,10.14,15.66,5.3,26.39,27.5,14.83,7.34,258.21
PRECTOTCORR_SUM,1997,25.56,16.51,16.04,19.96,82.93,26.62,12.44,10.05,0.58,1.95,29.86,18.01,260.51
PRECTOTCORR_SUM,1998,16.42,34.22,27.9,62.16,62.91,61.1,15.56,15.25,7.52,13.14,25.85,39.03,381.06
PRECTOTCORR_SUM,1999,13.83,13.12,31.49,30.6,37.53,36.25,58.68,17.49,45.08,20.24,36.68,40.19,381.18
PRECTOTCORR_SUM,2000,18.82,19.62,16.16,27.76,39.28,15.66,19.05,8.59,38.6,81.1,28.73,15.5,328.87
PRECTOTCORR_SUM,2001,17.54,22.61,26.46,40.77,20.04,6.59,32.86,18.22,10.94,78.5,25.77,45.48,345.78
PRECTOTCORR_SUM,2002,33.45,24.38,74.14,119.45,17.69,30.16,21.31,19.42,9.91,41.49,17.01,40.02,448.43
PRECTOTCORR_SUM,2003,17.04,39.37,47.94,78.23,56.02,60.4,60.33,6.81,3.38,30.37,97.16,28.8,525.85
PRECTOTCORR_SUM,2004,30.06,23.95,53.96,37.17,73.84,20.8,37.22,13.63,4.54,43.35,43.5,40.81,422.83
PRECTOTCORR_SUM,2005,28.69,29.38,63.63,46.79,86.77,25.31,4.06,44.36,0.87,5.6,16.39,34.89,386.74
PRECTOTCORR_SUM,2006,30.27,30.91,59.37,85.09,36.26,22.25,21.27,0.06,32.34,43.64,37.69,17.8,416.95
PRECTOTCORR_SUM,2007,13.22,32.04,31.3,55.9,63.57,12.4,20.49,12.43,0.78,12.58,49.66,31.54,335.91
PRECTOTCORR_SUM,2008,6.87,32.19,27.54,24.87,39.5,11.8,13.89,2.21,13.68,55.05,32.4,21.43,281.43
PRECTOTCORR_SUM,2009,16.62,34.46,43.93,101.42,51.08,35.13,4.28,15.92,41.03,9.51,38.15,22.79,414.32
PRECTOTCORR_SUM,2010,44.54,52.23,59.69,61.65,40.45,31.7,12.7,12.49,20.0,63.84,21.53,23.52,444.34
PRECTOTCORR_SUM,2011,7.05,45.02,51.14,34.96,71.88,37.93,11.32,12.69,22.25,29.41,58.78,22.36,404.79
PRECTOTCORR_SUM,2012,19.52,21.26,37.9,18.32,32.96,39.56,10.41,0.21,3.89,16.82,48.3,42.52,291.67
