# Area: Lao People's Democratic Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  19.86   Longitude 102.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 779.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,4.14,4.65,18.88,98.8,239.58,134.12,413.11,244.93,136.05,142.07,59.43,3.06,1498.82
PRECTOTCORR_SUM,1982,13.03,4.4,2.7,60.63,53.29,101.78,102.36,196.4,194.62,19.49,9.81,1.29,759.8
PRECTOTCORR_SUM,1983,36.54,23.05,23.44,16.79,143.05,97.41,169.1,220.7,51.79,96.57,38.92,12.07,929.43
PRECTOTCORR_SUM,1984,0.82,13.94,1.21,33.8,66.89,66.02,141.0,266.35,138.39,81.23,7.94,3.9,821.49
PRECTOTCORR_SUM,1985,17.06,6.12,6.74,96.33,128.86,141.98,190.18,235.76,106.86,61.05,73.62,0.2,1064.76
PRECTOTCORR_SUM,1986,0.43,2.33,3.79,108.17,145.05,162.86,187.17,239.07,140.73,86.22,25.59,37.54,1138.95
PRECTOTCORR_SUM,1987,7.59,9.63,45.9,56.18,50.2,149.66,121.63,209.86,124.19,34.71,32.69,0.82,843.06
PRECTOTCORR_SUM,1988,1.24,45.32,7.73,120.61,217.87,123.85,186.87,224.79,89.91,82.37,9.71,0.08,1110.35
PRECTOTCORR_SUM,1989,13.33,3.32,43.81,43.99,160.47,116.68,142.13,196.76,186.47,55.28,7.09,0.31,969.64
PRECTOTCORR_SUM,1990,5.12,34.9,46.9,56.42,176.35,215.76,273.15,164.44,181.79,63.4,41.94,5.4,1265.57
PRECTOTCORR_SUM,1991,3.16,1.45,51.82,68.44,184.19,160.25,168.71,212.51,149.11,53.6,25.37,19.27,1097.88
PRECTOTCORR_SUM,1992,26.93,37.74,1.51,25.48,76.08,129.11,259.47,160.43,132.35,80.29,19.05,57.74,1006.18
PRECTOTCORR_SUM,1993,1.02,8.89,38.84,66.65,115.31,133.81,195.06,183.1,123.1,31.42,0.59,4.37,902.16
PRECTOTCORR_SUM,1994,3.55,14.43,88.43,56.87,146.59,252.52,259.35,304.11,148.85,40.18,24.7,44.88,1384.46
PRECTOTCORR_SUM,1995,5.69,3.12,16.32,58.53,99.02,217.32,313.83,341.23,125.51,57.92,80.24,5.4,1324.13
PRECTOTCORR_SUM,1996,0.67,24.82,61.22,56.77,87.42,176.65,189.14,219.35,120.04,108.15,53.02,21.28,1118.53
PRECTOTCORR_SUM,1997,2.98,3.43,48.13,112.57,82.14,135.92,246.23,126.97,39.48,23.35,3.19,2.12,826.51
PRECTOTCORR_SUM,1998,1.12,2.55,34.08,104.32,122.02,121.48,200.37,190.56,155.77,38.65,17.23,11.84,999.99
PRECTOTCORR_SUM,1999,18.58,13.05,25.59,147.33,185.42,197.95,161.09,224.42,200.29,84.67,26.26,15.68,1300.33
PRECTOTCORR_SUM,2000,5.31,36.87,26.24,83.69,200.62,224.71,243.37,268.37,154.68,99.66,13.7,8.6,1365.82
PRECTOTCORR_SUM,2001,4.33,5.08,103.45,32.79,228.87,166.31,274.48,292.25,188.51,129.3,6.26,2.08,1433.71
PRECTOTCORR_SUM,2002,8.09,6.31,18.88,41.41,97.89,32.38,55.31,40.35,93.9,17.18,13.58,19.91,445.19
PRECTOTCORR_SUM,2003,3.65,3.67,19.81,8.5,9.39,65.2,60.42,93.98,151.09,9.68,0.24,0.2,425.83
PRECTOTCORR_SUM,2004,4.6,3.94,1.66,20.07,107.96,56.07,108.58,95.59,61.67,10.98,10.68,0.04,481.84
PRECTOTCORR_SUM,2005,2.59,3.43,28.96,41.51,131.39,225.98,139.07,75.22,39.29,6.77,10.14,7.03,711.38
PRECTOTCORR_SUM,2006,0.01,2.1,7.5,14.87,43.35,48.4,62.2,113.75,45.92,21.21,0.64,0.09,360.04
PRECTOTCORR_SUM,2007,0.47,4.81,6.62,22.78,55.31,59.7,69.56,58.09,121.18,39.78,8.72,0.03,447.05
PRECTOTCORR_SUM,2008,19.68,36.2,10.93,83.93,86.83,82.95,122.02,114.98,70.51,46.25,19.96,4.2,698.44
PRECTOTCORR_SUM,2009,0.04,0.36,10.33,27.61,46.41,102.37,121.06,75.56,35.66,19.54,6.72,1.13,446.79
PRECTOTCORR_SUM,2010,14.8,0.52,9.31,48.59,26.26,63.12,144.84,142.68,94.54,18.15,0.42,9.26,572.49
PRECTOTCORR_SUM,2011,1.49,1.23,62.43,44.88,149.04,202.21,164.24,183.31,107.36,9.52,6.78,1.14,933.63
PRECTOTCORR_SUM,2012,4.74,1.55,3.29,60.92,111.88,72.55,185.85,181.51,60.58,50.33,56.87,0.74,790.81
PRECTOTCORR_SUM,2013,6.03,3.96,18.54,29.75,99.37,167.08,161.05,180.78,150.15,62.95,25.44,29.99,935.09
PRECTOTCORR_SUM,2014,0.24,0.02,8.59,42.0,77.92,156.67,206.62,141.78,168.56,35.3,28.61,0.37,866.68
PRECTOTCORR_SUM,2015,24.89,2.85,31.11,58.8,48.83,96.85,141.98,147.39,102.24,31.82,34.95,34.25,755.96
PRECTOTCORR_SUM,2016,45.97,6.89,0.74,5.27,73.65,77.85,328.43,591.36,364.95,73.87,112.28,5.8,1687.06
PRECTOTCORR_SUM,2017,66.54,0.61,83.23,186.92,258.86,145.2,527.54,418.82,165.7,215.08,6.92,29.66,2105.08
PRECTOTCORR_SUM,2018,11.71,29.99,107.16,159.98,296.37,311.83,797.7,666.82,197.72,98.09,67.19,65.28,2809.84
PRECTOTCORR_SUM,2019,55.86,8.15,23.67,75.91,150.78,124.17,379.13,409.58,60.71,63.62,10.94,4.45,1366.97
PRECTOTCORR_SUM,2020,0.38,0.2,31.93,195.17,169.07,189.92,176.36,419.93,117.86,64.43,5.05,0.0,1370.3
PRECTOTCORR_SUM,2021,5.75,35.29,30.24,185.47,124.74,216.89,223.05,254.68,192.73,76.01,47.88,3.03,1395.76
PRECTOTCORR_SUM,2022,49.31,104.32,141.04,161.35,209.81,154.76,249.72,254.53,101.65,23.65,47.51,7.9,1505.55
PRECTOTCORR_SUM,2023,0.47,0.75,21.31,15.72,91.38,102.53,119.92,201.73,85.08,56.51,10.27,3.95,709.62
