# Area: Liberia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.43   Longitude -9.43 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 219.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.87,42.14,132.98,226.9,320.91,520.74,344.64,339.72,466.72,302.45,232.51,34.31,2964.89
PRECTOTCORR_SUM,1982,0.28,376.3,319.63,213.08,451.83,408.36,220.0,437.25,202.04,312.27,167.75,43.34,3152.13
PRECTOTCORR_SUM,1983,0.0,64.7,144.04,83.13,404.62,306.05,123.61,248.92,387.53,229.57,264.55,105.93,2362.65
PRECTOTCORR_SUM,1984,37.43,67.5,166.5,283.77,237.48,363.16,302.77,349.41,403.62,332.79,71.14,16.83,2632.4
PRECTOTCORR_SUM,1985,30.93,44.42,114.97,143.1,205.38,362.48,485.98,514.29,388.59,96.77,102.38,8.72,2498.01
PRECTOTCORR_SUM,1986,4.72,58.31,108.28,125.7,221.49,350.64,145.81,180.03,494.04,205.85,119.1,33.7,2047.67
PRECTOTCORR_SUM,1987,37.1,36.45,88.93,162.91,165.12,411.38,289.07,499.21,561.15,232.86,36.41,44.31,2564.9
PRECTOTCORR_SUM,1988,0.14,30.6,166.42,325.39,120.69,296.14,232.1,390.28,507.93,297.42,127.49,62.57,2557.17
PRECTOTCORR_SUM,1989,3.35,46.35,136.55,91.32,132.95,477.47,373.63,651.49,377.79,354.3,94.19,60.57,2799.96
PRECTOTCORR_SUM,1990,34.19,29.28,14.54,242.31,194.28,306.93,280.72,187.6,453.19,210.69,155.64,138.08,2247.45
PRECTOTCORR_SUM,1991,19.8,20.95,47.62,156.78,274.2,282.82,212.09,285.72,284.06,178.19,148.87,6.06,1917.16
PRECTOTCORR_SUM,1992,2.03,26.02,113.72,134.35,240.32,170.8,119.9,100.32,228.53,258.44,19.42,46.74,1460.59
PRECTOTCORR_SUM,1993,7.15,62.2,43.04,104.6,269.59,165.56,223.23,125.91,260.78,313.45,86.39,23.3,1685.2
PRECTOTCORR_SUM,1994,5.18,131.26,163.14,170.02,183.21,221.75,121.6,125.08,492.98,257.59,35.54,2.01,1909.36
PRECTOTCORR_SUM,1995,17.64,31.76,93.97,106.96,250.13,199.88,204.68,340.24,390.68,282.71,49.1,47.26,2015.01
PRECTOTCORR_SUM,1996,4.73,79.56,39.21,107.89,144.41,174.35,152.5,159.65,80.21,98.25,104.38,122.22,1267.36
PRECTOTCORR_SUM,1997,46.15,7.81,190.0,203.13,217.9,210.87,95.67,353.66,191.15,179.23,124.62,23.83,1844.02
PRECTOTCORR_SUM,1998,35.04,15.19,61.24,481.92,251.63,327.16,245.16,332.1,503.39,295.73,113.72,41.55,2703.83
PRECTOTCORR_SUM,1999,55.48,38.2,88.42,71.19,151.03,361.64,231.76,211.23,142.95,319.67,134.73,12.87,1819.17
PRECTOTCORR_SUM,2000,110.42,15.08,109.55,210.67,222.14,205.19,124.6,264.43,226.97,337.68,117.22,37.55,1981.5
PRECTOTCORR_SUM,2001,9.91,24.36,93.77,119.2,126.64,282.84,124.16,239.47,207.53,97.97,74.61,12.16,1412.62
PRECTOTCORR_SUM,2002,57.39,26.3,107.02,91.54,103.2,84.59,155.44,248.29,90.23,17.06,29.85,15.43,1026.34
PRECTOTCORR_SUM,2003,12.77,26.01,31.01,160.15,101.54,317.65,98.07,141.69,88.39,129.3,128.67,17.0,1252.25
PRECTOTCORR_SUM,2004,16.93,28.32,30.46,137.36,184.98,68.98,99.49,311.89,176.3,130.81,79.33,27.47,1292.32
PRECTOTCORR_SUM,2005,14.55,52.17,69.85,166.54,157.54,132.0,34.77,81.95,82.66,144.32,63.91,43.63,1043.89
PRECTOTCORR_SUM,2006,18.61,16.1,109.88,97.21,102.61,146.64,98.05,107.8,230.1,146.32,39.42,12.91,1125.65
PRECTOTCORR_SUM,2007,0.95,50.81,123.37,83.35,94.91,196.23,178.04,93.21,55.35,128.59,119.41,53.47,1177.69
PRECTOTCORR_SUM,2008,38.59,28.06,210.31,63.55,104.12,289.14,394.27,302.75,358.08,291.3,53.16,54.63,2187.96
PRECTOTCORR_SUM,2009,23.23,95.99,119.03,163.03,194.19,417.2,214.74,188.65,168.68,123.28,223.46,63.19,1994.67
PRECTOTCORR_SUM,2010,33.72,100.91,151.71,185.26,316.53,216.9,283.18,342.2,227.23,409.89,129.13,128.66,2525.32
PRECTOTCORR_SUM,2011,12.81,127.76,101.7,110.29,216.56,147.91,54.63,191.25,250.38,192.14,151.97,62.1,1619.5
PRECTOTCORR_SUM,2012,3.61,60.73,47.56,102.79,261.59,274.7,140.34,125.1,275.46,338.2,156.13,66.28,1852.49
PRECTOTCORR_SUM,2013,14.84,47.68,93.55,84.82,297.26,203.55,163.73,140.88,286.67,259.98,328.24,158.58,2079.78
PRECTOTCORR_SUM,2014,48.92,122.46,152.19,318.01,361.73,455.09,268.51,185.95,326.58,295.54,354.79,69.88,2959.65
PRECTOTCORR_SUM,2015,19.64,115.55,105.21,155.31,302.75,417.05,396.42,178.81,263.27,405.27,71.84,18.04,2449.16
PRECTOTCORR_SUM,2016,64.25,4.19,101.82,77.91,172.69,433.62,174.09,183.81,263.51,164.98,78.01,24.2,1743.08
PRECTOTCORR_SUM,2017,26.09,64.85,42.09,94.06,199.3,470.86,223.26,232.65,223.31,178.35,81.35,6.62,1842.79
PRECTOTCORR_SUM,2018,16.06,72.78,93.67,155.26,187.97,297.12,89.29,739.65,504.76,286.4,74.5,24.29,2541.75
PRECTOTCORR_SUM,2019,12.55,42.52,111.33,139.52,151.7,349.06,232.86,353.73,329.7,540.89,129.18,43.13,2436.17
PRECTOTCORR_SUM,2020,3.49,29.68,172.16,136.04,216.26,374.32,180.35,282.78,418.3,280.83,141.54,73.0,2308.75
PRECTOTCORR_SUM,2021,32.1,78.58,241.7,221.36,111.48,302.21,232.07,387.59,386.72,274.41,163.66,26.33,2458.21
PRECTOTCORR_SUM,2022,64.08,32.77,102.52,154.86,227.14,252.77,167.64,453.49,926.42,185.17,88.88,22.98,2678.72
PRECTOTCORR_SUM,2023,14.08,75.58,109.19,98.92,180.47,390.94,121.24,223.58,208.53,209.77,92.69,10.73,1735.72
