# Area: Libya
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.3351   Longitude 17.2283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 574.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,12.72,3.49,1.43,0.02,3.93,3.26,0.34,0.02,0.65,1.44,4.01,0.92,32.23
PRECTOTCORR_SUM,1982,1.85,2.71,8.9,8.78,19.25,0.91,0.0,5.68,0.09,2.32,1.26,6.71,58.46
PRECTOTCORR_SUM,1983,10.93,1.85,4.15,0.0,0.88,0.43,0.0,3.34,0.14,1.78,1.24,3.25,27.99
PRECTOTCORR_SUM,1984,1.25,4.96,8.7,0.89,0.46,0.0,0.01,0.0,2.78,0.1,1.33,0.81,21.29
PRECTOTCORR_SUM,1985,9.54,0.73,5.05,0.91,2.1,0.0,0.0,0.0,0.0,0.34,2.22,6.85,27.74
PRECTOTCORR_SUM,1986,1.47,0.19,1.44,13.54,0.54,0.0,0.0,0.57,5.29,3.25,7.6,1.71,35.6
PRECTOTCORR_SUM,1987,1.77,0.0,1.35,0.32,0.74,0.17,3.97,0.0,0.0,0.0,0.72,0.0,9.04
PRECTOTCORR_SUM,1988,2.89,0.67,0.09,6.41,0.0,0.81,0.0,0.0,0.16,3.61,0.08,5.01,19.73
PRECTOTCORR_SUM,1989,4.63,1.07,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.8,0.59,15.26
PRECTOTCORR_SUM,1990,10.72,0.62,0.42,1.02,1.29,0.0,0.0,0.33,0.51,0.21,30.93,2.24,48.29
PRECTOTCORR_SUM,1991,3.39,3.32,0.7,3.63,8.34,0.0,0.0,1.09,0.99,0.0,0.76,14.24,36.46
PRECTOTCORR_SUM,1992,4.34,1.97,2.29,1.31,2.05,0.0,0.01,0.0,0.4,0.14,2.33,1.75,16.59
PRECTOTCORR_SUM,1993,2.88,1.5,0.78,0.43,1.19,0.0,0.0,0.0,0.01,0.11,1.31,4.6,12.81
PRECTOTCORR_SUM,1994,3.15,0.46,0.29,1.15,0.63,0.0,0.21,2.55,2.13,5.92,2.86,11.53,30.88
