# Area: Mongolia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.92   Longitude 106.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1545.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,3.31,3.99,21.55,21.93,23.03,57.26,63.19,120.37,42.69,16.96,6.03,9.52,389.83
PRECTOTCORR_SUM,1982,4.57,1.11,7.07,7.88,43.56,89.96,85.27,94.58,49.36,14.49,5.58,3.66,407.09
PRECTOTCORR_SUM,1983,1.57,2.46,2.09,7.39,8.16,145.45,89.76,67.85,38.37,7.16,6.93,1.61,378.8
PRECTOTCORR_SUM,1984,5.24,3.52,2.9,5.77,15.21,41.22,97.45,103.1,53.71,22.02,6.06,3.04,359.24
PRECTOTCORR_SUM,1985,4.66,7.55,4.95,37.36,15.18,94.91,80.05,54.32,23.17,10.57,4.01,1.94,338.67
PRECTOTCORR_SUM,1986,3.82,2.73,9.7,16.77,23.9,96.07,81.53,75.87,22.56,20.21,8.59,6.41,368.16
PRECTOTCORR_SUM,1987,6.56,3.37,7.76,10.41,26.03,51.54,123.77,76.44,64.62,24.06,8.55,3.13,406.24
PRECTOTCORR_SUM,1988,2.52,8.86,3.75,6.66,44.02,60.89,43.82,112.91,35.15,13.99,1.78,2.84,337.19
PRECTOTCORR_SUM,1989,3.84,2.27,3.99,13.56,12.3,27.29,43.14,56.76,26.88,10.09,5.97,3.84,209.93
PRECTOTCORR_SUM,1990,2.41,4.6,6.0,7.33,9.46,53.54,102.02,85.38,27.9,5.23,14.22,12.21,330.3
PRECTOTCORR_SUM,1991,3.07,4.51,9.71,16.79,16.12,42.38,73.64,48.0,50.17,9.56,7.74,2.55,284.24
PRECTOTCORR_SUM,1992,1.31,1.78,5.92,8.89,33.43,29.88,74.21,56.17,34.06,4.83,5.51,3.75,259.74
PRECTOTCORR_SUM,1993,2.23,4.54,5.35,5.96,15.32,53.89,127.51,60.05,34.77,8.25,6.26,4.2,328.33
PRECTOTCORR_SUM,1994,2.87,1.68,2.51,7.53,7.84,55.38,85.16,120.17,46.61,11.86,5.22,5.59,352.42
PRECTOTCORR_SUM,1995,1.48,1.2,5.06,23.22,25.79,35.7,63.17,70.62,33.55,15.17,1.68,3.73,280.37
PRECTOTCORR_SUM,1996,6.76,2.73,5.02,3.33,12.02,32.36,57.63,40.2,12.33,5.69,6.05,4.3,188.42
PRECTOTCORR_SUM,1997,1.82,1.85,4.42,2.09,12.31,35.81,101.84,39.92,14.91,2.89,3.24,5.9,227.0
PRECTOTCORR_SUM,1998,2.53,1.47,1.3,10.73,5.34,57.53,54.0,85.07,45.77,16.79,12.03,2.43,294.99
PRECTOTCORR_SUM,1999,1.57,2.4,7.57,13.09,21.26,51.95,53.2,41.79,50.66,6.2,3.86,3.63,257.18
PRECTOTCORR_SUM,2000,3.7,2.92,4.89,12.53,18.54,43.38,61.4,94.77,12.01,7.49,10.45,6.75,278.83
PRECTOTCORR_SUM,2001,4.48,2.12,4.51,18.99,35.52,31.38,18.81,59.46,18.07,6.71,6.04,10.56,216.65
PRECTOTCORR_SUM,2002,5.96,1.91,6.0,8.66,35.95,37.19,13.8,20.88,13.31,20.34,10.44,2.55,176.99
PRECTOTCORR_SUM,2003,3.46,6.62,3.29,7.84,53.55,17.58,54.81,35.47,40.72,3.15,20.26,5.18,251.93
PRECTOTCORR_SUM,2004,2.59,9.02,11.03,9.81,20.41,55.05,49.14,38.19,32.37,2.78,5.1,5.5,240.99
PRECTOTCORR_SUM,2005,4.6,3.98,4.53,10.64,15.34,30.66,46.06,49.37,23.99,2.61,2.17,3.0,196.95
PRECTOTCORR_SUM,2006,3.0,3.36,4.13,6.76,65.3,32.9,63.15,23.94,18.71,11.68,3.22,2.92,239.07
PRECTOTCORR_SUM,2007,4.09,4.47,12.6,4.6,21.63,35.28,40.34,76.07,3.14,7.15,2.82,4.97,217.16
PRECTOTCORR_SUM,2008,5.29,1.67,4.19,1.84,16.26,88.76,67.23,43.56,19.53,17.17,2.13,4.71,272.34
PRECTOTCORR_SUM,2009,1.2,4.44,5.17,7.12,33.75,48.66,89.2,61.13,16.91,13.28,4.27,4.97,290.1
PRECTOTCORR_SUM,2010,4.1,5.11,10.46,3.91,29.8,33.23,86.62,62.18,10.51,13.01,8.4,2.53,269.86
PRECTOTCORR_SUM,2011,1.95,7.92,2.04,17.23,34.45,64.61,62.33,50.09,13.15,15.35,13.75,3.28,286.15
PRECTOTCORR_SUM,2012,2.01,1.76,1.81,8.44,16.16,76.25,102.37,66.95,17.54,8.21,10.9,8.05,320.45
