# Area: Nicaragua
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  12.87   Longitude -85.21 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 208.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,2.9,4.7,12.47,60.61,108.15,253.64,75.71,208.63,185.76,207.79,85.09,37.29,1242.74
PRECTOTCORR_SUM,1982,23.05,21.68,1.15,2.23,121.71,78.37,122.47,66.67,91.85,119.63,92.05,41.23,782.09
PRECTOTCORR_SUM,1983,9.33,10.74,3.14,2.96,30.15,66.43,87.73,89.77,108.35,74.92,50.57,29.31,563.4
PRECTOTCORR_SUM,1984,11.53,8.58,7.01,2.87,71.61,96.08,134.68,116.01,164.79,64.68,53.29,26.98,758.11
PRECTOTCORR_SUM,1985,25.35,12.89,8.72,15.27,39.94,90.62,72.82,34.13,38.62,85.17,57.34,7.65,488.52
PRECTOTCORR_SUM,1986,2.87,5.39,6.44,1.76,72.49,144.04,37.52,103.73,63.69,104.34,45.46,46.39,634.12
PRECTOTCORR_SUM,1987,5.58,2.82,0.91,2.48,12.13,46.21,66.11,47.03,33.83,22.4,6.77,12.85,259.12
PRECTOTCORR_SUM,1988,16.76,6.91,4.08,6.63,20.16,62.33,69.39,144.82,178.55,51.1,15.54,7.51,583.78
PRECTOTCORR_SUM,1989,5.04,3.1,2.19,1.48,25.57,42.38,43.42,76.82,56.39,38.6,82.99,52.7,430.68
PRECTOTCORR_SUM,1990,23.41,13.83,16.15,41.5,150.36,137.1,149.98,122.4,122.81,100.12,110.86,38.65,1027.17
PRECTOTCORR_SUM,1991,14.04,3.72,0.93,3.46,74.93,165.17,38.39,29.57,133.82,60.83,37.46,19.06,581.38
PRECTOTCORR_SUM,1992,1.81,14.06,11.19,10.39,154.1,181.51,107.97,78.12,147.09,52.66,22.61,8.73,790.24
PRECTOTCORR_SUM,1993,14.93,0.82,4.69,8.45,158.97,73.26,19.72,43.13,107.34,42.23,14.22,3.14,490.9
PRECTOTCORR_SUM,1994,1.96,4.12,0.76,2.23,25.79,33.32,13.99,33.31,54.58,29.66,21.39,7.37,228.48
PRECTOTCORR_SUM,1995,1.65,0.97,17.29,6.33,27.3,60.98,21.39,109.4,118.33,75.89,24.77,15.97,480.27
PRECTOTCORR_SUM,1996,11.0,0.73,4.53,19.71,67.78,56.62,58.23,38.0,42.14,82.46,30.29,13.94,425.43
PRECTOTCORR_SUM,1997,9.71,4.82,7.18,1.32,2.4,113.94,27.75,52.4,83.35,97.18,49.97,1.06,451.08
PRECTOTCORR_SUM,1998,2.31,0.02,4.75,1.37,45.68,124.19,69.98,72.78,114.61,309.61,70.16,35.55,851.01
PRECTOTCORR_SUM,1999,24.41,56.21,8.17,13.6,38.91,133.95,113.93,138.51,181.85,179.3,37.87,29.11,955.82
PRECTOTCORR_SUM,2000,24.53,28.0,6.7,3.9,102.35,98.15,57.78,49.85,222.31,88.43,25.68,14.73,722.41
PRECTOTCORR_SUM,2001,24.71,22.43,5.17,2.94,71.07,70.23,61.34,67.58,159.74,134.69,37.9,31.31,689.11
PRECTOTCORR_SUM,2002,16.98,15.3,9.25,6.79,125.38,128.32,220.53,109.33,165.47,153.53,103.07,32.05,1086.0
PRECTOTCORR_SUM,2003,62.13,11.34,13.41,20.06,153.75,99.09,72.02,81.76,44.34,57.86,29.37,6.54,651.67
PRECTOTCORR_SUM,2004,16.3,4.19,10.45,21.48,123.73,128.16,113.42,98.07,220.67,126.52,58.35,26.42,947.76
PRECTOTCORR_SUM,2005,17.18,3.01,46.22,12.13,119.96,272.5,119.5,128.71,300.59,257.68,55.86,16.09,1349.43
PRECTOTCORR_SUM,2006,16.15,6.46,4.69,10.54,82.97,202.49,115.67,55.71,167.2,84.12,46.1,36.81,828.91
PRECTOTCORR_SUM,2007,8.35,2.11,15.59,25.32,151.0,128.41,118.4,184.86,207.58,321.62,106.89,25.57,1295.7
PRECTOTCORR_SUM,2008,31.92,17.35,13.31,23.92,117.37,239.83,248.05,239.67,347.23,332.56,63.86,29.35,1704.42
