# Area: Niger
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.61   Longitude 8.08 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 667.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.03,0.0,0.19,0.37,3.82,37.05,50.7,28.15,9.02,0.0,0.0,0.0,129.33
PRECTOTCORR_SUM,1982,0.71,0.5,0.76,0.28,41.03,25.27,12.22,67.38,3.24,0.7,0.04,0.39,152.52
PRECTOTCORR_SUM,1983,0.0,1.6,0.03,0.0,13.49,11.38,27.72,49.05,15.94,0.03,0.0,0.0,119.24
PRECTOTCORR_SUM,1984,0.0,0.0,0.0,1.46,3.54,7.52,25.44,26.35,14.45,3.03,0.0,0.0,81.79
PRECTOTCORR_SUM,1985,1.46,0.0,0.12,0.0,4.07,7.36,20.82,37.51,19.38,3.98,0.0,0.0,94.7
PRECTOTCORR_SUM,1986,0.0,0.0,0.08,0.0,8.94,18.78,37.94,56.21,42.26,0.74,2.03,0.0,166.98
PRECTOTCORR_SUM,1987,0.0,0.05,0.62,0.0,3.91,9.73,151.71,16.76,9.72,0.0,0.0,0.05,192.55
PRECTOTCORR_SUM,1988,0.0,0.01,0.03,1.67,0.11,22.42,76.61,48.77,8.48,0.62,0.01,0.0,158.73
PRECTOTCORR_SUM,1989,0.0,0.0,0.1,0.02,0.71,2.66,53.29,80.4,2.99,0.16,0.09,0.0,140.42
PRECTOTCORR_SUM,1990,0.0,0.02,0.0,0.0,6.11,5.33,46.92,37.9,2.78,0.15,0.0,0.03,99.24
PRECTOTCORR_SUM,1991,0.0,0.0,1.2,0.06,14.53,5.09,23.02,114.51,2.65,0.01,0.0,0.0,161.07
PRECTOTCORR_SUM,1992,0.24,0.0,1.59,2.79,17.78,14.1,71.28,50.22,6.15,0.0,1.23,0.0,165.38
PRECTOTCORR_SUM,1993,0.01,0.18,0.01,0.0,0.73,8.19,47.9,36.26,29.03,0.04,0.01,0.0,122.36
PRECTOTCORR_SUM,1994,0.0,0.0,0.01,0.0,0.48,2.76,32.89,87.31,101.15,2.22,0.0,0.0,226.82
PRECTOTCORR_SUM,1995,0.0,0.0,0.07,2.38,0.37,15.11,13.24,29.1,14.47,0.43,0.0,0.01,75.18
PRECTOTCORR_SUM,1996,0.0,0.0,0.01,0.29,8.5,15.21,24.98,32.56,6.91,0.14,0.0,0.0,88.6
PRECTOTCORR_SUM,1997,0.0,0.0,7.63,0.12,21.95,11.41,25.69,80.52,23.51,0.05,0.0,0.01,170.89
PRECTOTCORR_SUM,1998,0.0,0.0,0.09,1.24,0.27,7.61,45.63,77.3,91.96,0.07,0.0,0.0,224.17
PRECTOTCORR_SUM,1999,0.0,0.7,0.0,0.0,3.1,4.2,47.71,110.82,19.58,0.03,0.0,0.0,186.14
PRECTOTCORR_SUM,2000,0.0,0.0,0.0,0.0,0.36,44.76,46.36,26.14,20.58,0.68,0.0,0.0,138.88
PRECTOTCORR_SUM,2001,0.0,0.0,0.0,0.0,1.1,6.82,35.4,42.22,9.35,0.0,0.0,0.0,94.89
PRECTOTCORR_SUM,2002,0.0,0.0,0.0,0.1,0.31,8.26,25.59,73.44,4.68,3.22,0.0,0.0,115.6
PRECTOTCORR_SUM,2003,0.0,0.0,0.0,1.47,0.77,26.61,51.95,64.84,10.76,0.11,0.12,0.0,156.63
