# Area: Nigeria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.08   Longitude 8.68 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 606.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.04,0.8,3.2,164.47,124.6,187.26,379.21,205.03,274.21,169.46,6.91,0.0,1515.19
PRECTOTCORR_SUM,1982,3.64,22.04,75.49,114.54,268.33,327.59,179.45,327.97,348.64,193.39,9.0,0.0,1870.08
PRECTOTCORR_SUM,1983,0.0,1.05,8.69,19.21,297.48,229.75,445.46,492.77,205.36,59.01,2.54,5.41,1766.73
PRECTOTCORR_SUM,1984,0.0,0.01,46.19,116.58,194.84,131.01,161.59,264.08,310.28,173.27,7.95,0.07,1405.87
PRECTOTCORR_SUM,1985,0.8,0.0,64.31,80.92,168.07,191.95,222.12,194.35,207.61,120.67,2.36,0.01,1253.17
PRECTOTCORR_SUM,1986,0.0,0.61,38.87,101.59,215.03,139.86,216.87,259.46,244.1,136.77,36.65,0.64,1390.45
PRECTOTCORR_SUM,1987,0.05,8.96,28.49,23.72,85.09,212.63,242.5,357.47,222.51,116.03,1.43,0.46,1299.34
PRECTOTCORR_SUM,1988,0.01,4.9,17.75,119.16,175.9,195.52,288.34,371.63,262.25,109.16,0.72,0.45,1545.79
PRECTOTCORR_SUM,1989,0.0,0.0,1.97,102.4,190.43,241.76,289.76,302.55,232.77,171.53,0.12,0.0,1533.29
PRECTOTCORR_SUM,1990,0.04,1.26,0.3,91.28,203.9,165.16,160.52,161.17,168.22,127.48,34.7,7.7,1121.73
PRECTOTCORR_SUM,1991,0.53,4.5,13.46,142.33,194.31,153.49,217.92,219.01,134.14,76.18,1.83,0.0,1157.7
PRECTOTCORR_SUM,1992,0.0,0.0,17.1,139.2,175.07,233.07,270.66,242.27,256.47,124.33,3.45,0.0,1461.62
PRECTOTCORR_SUM,1993,0.0,1.14,23.27,74.93,183.19,204.25,290.82,238.67,196.82,106.8,10.31,0.48,1330.68
PRECTOTCORR_SUM,1994,2.23,0.0,1.85,154.04,152.48,216.76,258.91,375.52,297.68,164.16,6.92,0.0,1630.55
PRECTOTCORR_SUM,1995,0.0,5.52,26.74,109.35,168.6,257.79,321.24,405.41,298.35,144.37,19.27,0.0,1756.64
PRECTOTCORR_SUM,1996,0.14,5.81,31.84,85.42,216.3,247.3,258.64,391.82,279.74,140.51,0.0,0.0,1657.52
PRECTOTCORR_SUM,1997,0.09,0.0,72.85,106.62,199.58,251.05,232.32,225.7,167.27,92.77,8.71,0.0,1356.96
PRECTOTCORR_SUM,1998,0.53,0.27,0.11,142.41,232.76,198.86,198.04,270.1,282.93,49.36,0.09,0.02,1375.48
PRECTOTCORR_SUM,1999,0.03,1.24,8.97,23.43,91.55,134.32,46.64,112.52,61.38,142.19,1.85,0.0,624.12
PRECTOTCORR_SUM,2000,0.0,0.0,5.92,98.15,209.04,467.08,454.84,119.38,155.42,192.14,8.15,0.0,1710.12
PRECTOTCORR_SUM,2001,0.0,0.0,9.86,116.18,128.3,128.77,65.04,160.95,174.56,25.76,12.83,0.01,822.26
PRECTOTCORR_SUM,2002,0.0,0.0,27.41,213.7,122.19,80.03,238.51,183.95,140.8,82.32,0.56,0.0,1089.47
PRECTOTCORR_SUM,2003,0.79,23.9,0.05,133.2,75.63,92.88,78.13,117.63,191.8,142.89,1.45,0.56,858.91
PRECTOTCORR_SUM,2004,0.66,0.0,0.0,115.27,151.55,72.37,77.99,58.29,67.43,11.26,3.22,0.0,558.04
PRECTOTCORR_SUM,2005,0.0,0.02,15.44,70.0,54.6,113.65,68.44,111.99,261.91,73.37,2.98,0.0,772.4
PRECTOTCORR_SUM,2006,1.19,6.58,0.16,55.09,102.56,54.48,122.62,431.05,177.21,42.42,0.65,0.0,994.01
PRECTOTCORR_SUM,2007,0.0,3.81,8.15,80.56,109.28,232.4,231.02,439.97,265.12,140.41,11.22,0.91,1522.85
PRECTOTCORR_SUM,2008,1.55,0.0,10.98,64.68,102.33,114.85,219.28,314.63,170.9,102.09,0.16,0.97,1102.42
PRECTOTCORR_SUM,2009,2.12,0.0,3.7,105.66,146.41,148.46,147.88,213.05,108.94,103.38,17.77,0.0,997.37
PRECTOTCORR_SUM,2010,2.04,1.08,9.13,52.79,211.25,129.68,247.97,255.29,161.84,98.06,9.42,0.01,1178.56
PRECTOTCORR_SUM,2011,0.0,1.9,0.0,10.33,164.76,104.32,112.71,216.03,155.79,98.32,0.7,0.0,864.86
PRECTOTCORR_SUM,2012,0.0,0.0,0.0,48.13,98.04,180.92,255.79,260.87,265.33,171.61,3.51,0.0,1284.2
PRECTOTCORR_SUM,2013,7.1,4.85,29.68,47.82,68.6,74.45,92.83,96.62,64.45,68.6,9.7,1.08,565.78
PRECTOTCORR_SUM,2014,2.37,0.0,22.9,115.47,120.19,106.17,104.61,214.55,120.6,54.58,1.75,0.0,863.19
PRECTOTCORR_SUM,2015,0.01,3.26,10.62,23.39,25.48,58.05,167.29,165.87,151.05,113.91,7.69,0.0,726.62
PRECTOTCORR_SUM,2016,0.0,0.0,28.96,115.73,185.04,189.24,221.52,303.01,238.08,108.31,0.19,0.0,1390.08
PRECTOTCORR_SUM,2017,0.0,2.3,4.67,68.27,167.96,157.6,140.09,227.09,95.93,56.29,0.0,0.0,920.2
PRECTOTCORR_SUM,2018,0.0,9.26,0.04,7.27,84.09,260.19,184.11,163.8,122.52,68.6,5.36,0.0,905.24
PRECTOTCORR_SUM,2019,0.09,5.93,2.54,7.01,88.79,82.86,200.0,290.12,98.1,317.52,24.13,0.02,1117.11
PRECTOTCORR_SUM,2020,0.0,0.0,47.79,108.88,163.69,199.35,205.95,238.18,146.57,50.79,1.27,0.0,1162.47
PRECTOTCORR_SUM,2021,0.0,0.0,30.55,60.94,65.72,272.23,417.38,235.61,278.96,86.17,41.28,17.34,1506.18
PRECTOTCORR_SUM,2022,6.08,0.2,13.59,296.91,475.62,315.58,151.9,219.15,136.92,98.57,0.04,0.0,1714.56
PRECTOTCORR_SUM,2023,0.09,0.11,16.58,27.63,79.06,137.63,70.56,117.01,103.95,129.59,11.85,0.0,694.06
