# Area: Panama
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  8.54   Longitude -80.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 306.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,24.67,52.2,62.2,116.45,179.45,242.85,103.62,141.34,145.39,98.52,403.64,141.71,1712.04
PRECTOTCORR_SUM,1982,48.85,12.28,17.96,67.19,91.46,77.06,189.87,140.72,167.73,201.19,116.02,27.03,1157.36
PRECTOTCORR_SUM,1983,12.07,0.02,9.2,121.07,168.54,195.77,86.61,125.38,255.04,160.64,132.48,96.99,1363.81
PRECTOTCORR_SUM,1984,42.05,41.56,24.95,22.07,209.11,196.82,233.39,187.54,226.82,221.03,139.65,29.31,1574.3
PRECTOTCORR_SUM,1985,46.34,2.01,18.17,13.38,118.64,175.29,152.97,120.29,208.71,181.19,106.4,92.41,1235.8
PRECTOTCORR_SUM,1986,28.0,3.06,3.24,57.79,145.28,137.68,140.95,191.72,132.59,344.56,177.34,68.53,1430.74
PRECTOTCORR_SUM,1987,8.41,1.49,5.98,60.12,364.12,386.95,275.43,191.24,286.34,311.29,101.64,55.33,2048.34
PRECTOTCORR_SUM,1988,5.55,16.56,5.42,17.75,148.67,126.04,105.22,298.26,145.02,385.3,168.27,69.84,1491.9
PRECTOTCORR_SUM,1989,29.51,0.79,8.09,26.38,184.39,265.17,326.99,316.73,306.74,104.44,216.98,73.87,1860.08
PRECTOTCORR_SUM,1990,32.76,5.12,1.99,38.77,271.1,209.13,145.08,114.96,94.68,228.69,229.44,92.36,1464.08
PRECTOTCORR_SUM,1991,15.1,4.39,2.34,25.5,162.76,131.29,150.81,117.86,294.47,196.69,283.4,49.57,1434.18
PRECTOTCORR_SUM,1992,4.09,18.71,30.02,36.58,145.88,91.11,109.12,173.07,169.24,123.45,55.8,12.15,969.22
PRECTOTCORR_SUM,1993,28.3,4.57,63.33,34.02,121.79,326.64,156.98,87.4,164.22,126.39,202.62,25.67,1341.93
PRECTOTCORR_SUM,1994,2.42,2.35,3.31,49.87,134.17,285.36,308.04,177.82,161.76,240.42,316.04,9.52,1691.08
PRECTOTCORR_SUM,1995,0.21,4.76,31.95,119.3,267.52,258.48,213.7,282.74,308.64,237.0,246.58,53.73,2024.61
PRECTOTCORR_SUM,1996,18.96,9.15,14.03,197.32,124.81,198.55,192.71,147.98,239.55,330.69,108.09,40.92,1622.76
