# Area: Papua New Guinea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -6.315   Longitude 143.9555 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1282.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,210.62,208.41,208.94,345.07,172.61,186.26,129.37,96.99,112.5,198.33,218.96,387.77,2475.83
PRECTOTCORR_SUM,1982,335.72,436.74,35.29,58.47,156.18,187.74,113.7,50.04,13.07,115.92,197.93,198.46,1899.26
PRECTOTCORR_SUM,1983,278.56,410.69,363.18,250.91,322.28,167.01,119.61,93.01,145.61,219.39,234.67,345.11,2950.03
PRECTOTCORR_SUM,1984,184.28,135.31,293.86,412.05,367.37,240.4,143.18,108.13,108.07,202.52,304.83,572.99,3072.99
PRECTOTCORR_SUM,1985,387.8,223.63,358.75,191.25,250.41,228.28,92.51,150.84,145.38,266.9,345.25,132.35,2773.35
PRECTOTCORR_SUM,1986,353.69,340.38,231.64,558.97,243.71,192.17,116.16,310.83,137.52,212.13,190.08,328.7,3215.98
PRECTOTCORR_SUM,1987,360.97,394.26,411.12,394.51,245.94,86.57,129.62,79.01,29.08,47.29,170.06,214.14,2562.57
PRECTOTCORR_SUM,1988,255.48,317.8,285.21,203.38,187.72,234.3,125.06,79.76,151.43,380.65,228.66,346.99,2796.44
PRECTOTCORR_SUM,1989,268.9,158.94,222.57,499.47,304.81,221.34,123.65,200.84,173.71,277.3,138.82,304.46,2894.81
PRECTOTCORR_SUM,1990,311.14,175.27,146.44,317.64,189.71,187.38,112.72,63.16,135.56,82.33,281.96,331.05,2334.36
PRECTOTCORR_SUM,1991,89.33,167.92,135.63,188.48,84.32,117.64,113.78,113.92,66.23,162.39,184.78,100.81,1525.23
PRECTOTCORR_SUM,1992,303.68,196.4,200.37,224.84,77.7,27.82,45.61,43.25,26.42,161.51,108.89,185.47,1601.96
PRECTOTCORR_SUM,1993,272.65,348.74,181.27,333.25,60.48,88.42,17.2,17.67,3.25,21.09,201.57,239.67,1785.26
PRECTOTCORR_SUM,1994,168.64,203.85,197.71,78.01,195.77,89.83,146.3,109.53,69.38,97.75,108.83,118.3,1583.9
PRECTOTCORR_SUM,1995,261.65,214.96,203.65,284.24,271.56,92.12,102.77,83.98,179.88,208.32,221.07,385.14,2509.34
PRECTOTCORR_SUM,1996,249.34,203.5,231.34,301.56,300.13,130.8,94.84,140.71,199.75,536.25,175.59,291.2,2855.01
PRECTOTCORR_SUM,1997,255.09,269.46,276.14,151.01,30.24,54.3,20.2,9.62,37.0,8.24,108.35,191.54,1411.19
PRECTOTCORR_SUM,1998,158.9,305.55,377.11,375.72,329.27,192.14,63.28,11.71,23.73,46.8,236.71,342.18,2463.1
PRECTOTCORR_SUM,1999,230.21,265.87,201.03,474.08,132.17,164.4,93.96,94.48,55.77,179.63,280.04,231.9,2403.54
PRECTOTCORR_SUM,2000,301.37,299.12,453.66,338.58,62.18,47.59,21.71,52.47,98.3,279.78,145.44,252.1,2352.3
PRECTOTCORR_SUM,2001,357.15,208.28,296.37,401.22,199.56,206.64,37.39,33.32,144.12,73.57,125.96,87.68,2171.26
PRECTOTCORR_SUM,2002,216.37,252.11,416.93,288.74,118.37,204.07,98.18,63.22,59.32,150.12,132.59,200.82,2200.84
PRECTOTCORR_SUM,2003,370.81,357.05,230.32,262.76,258.96,34.35,136.18,62.66,220.67,148.05,158.39,191.12,2431.32
PRECTOTCORR_SUM,2004,261.58,291.16,370.41,230.39,311.85,85.56,55.73,77.1,102.86,34.19,172.72,210.38,2203.93
PRECTOTCORR_SUM,2005,410.62,292.64,389.57,359.05,148.95,97.6,162.71,78.69,145.72,142.64,330.95,320.49,2879.63
PRECTOTCORR_SUM,2006,218.6,240.93,309.56,313.86,103.1,153.25,96.43,89.46,126.11,76.13,136.46,200.38,2064.27
PRECTOTCORR_SUM,2007,210.42,182.21,212.09,369.93,134.62,133.35,63.04,76.64,199.27,82.58,114.11,207.45,1985.71
PRECTOTCORR_SUM,2008,203.2,223.85,255.29,109.09,130.92,118.55,103.44,118.27,117.44,172.02,275.5,305.74,2133.31
PRECTOTCORR_SUM,2009,118.06,205.05,295.05,248.1,175.07,157.73,92.69,149.8,100.27,164.97,87.38,167.04,1961.21
PRECTOTCORR_SUM,2010,263.64,193.28,242.51,238.1,183.14,91.2,81.09,174.87,159.24,171.65,138.04,153.26,2090.02
PRECTOTCORR_SUM,2011,189.53,248.62,198.94,164.58,286.62,160.93,132.16,60.03,192.24,149.06,127.81,316.12,2226.64
PRECTOTCORR_SUM,2012,234.03,176.6,210.8,117.48,210.36,146.53,89.75,130.82,148.31,118.59,204.94,174.77,1962.98
PRECTOTCORR_SUM,2013,169.41,125.52,249.3,303.32,279.31,130.39,171.19,127.87,98.4,113.31,135.11,216.65,2119.78
PRECTOTCORR_SUM,2014,181.61,215.59,204.4,227.37,174.87,142.44,136.83,102.16,117.64,92.56,230.93,201.41,2027.81
PRECTOTCORR_SUM,2015,165.5,213.37,214.31,135.96,112.52,129.18,116.33,88.19,22.3,85.84,119.19,83.85,1486.54
PRECTOTCORR_SUM,2016,107.12,206.94,264.21,311.65,176.24,95.77,68.87,96.54,144.61,244.74,155.49,176.22,2048.4
PRECTOTCORR_SUM,2017,256.36,130.34,206.43,187.17,139.75,75.37,142.5,45.16,102.62,128.51,154.45,243.37,1812.03
PRECTOTCORR_SUM,2018,172.81,230.78,166.99,240.39,121.91,84.1,86.26,121.19,125.98,106.35,251.7,205.97,1914.43
