# Area: Serbia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  44.02   Longitude 21.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,52.21,22.05,92.55,62.23,70.56,88.39,34.75,55.79,76.75,66.16,60.83,67.47,749.74
PRECTOTCORR_SUM,1982,61.27,34.44,92.63,55.22,19.24,71.06,76.82,72.92,26.66,78.2,31.1,76.73,696.29
PRECTOTCORR_SUM,1983,48.23,37.73,27.8,41.66,65.75,131.91,108.24,41.82,78.68,26.36,44.98,61.76,714.92
PRECTOTCORR_SUM,1984,86.37,91.59,63.41,66.87,67.98,60.74,49.41,46.49,43.59,24.45,40.61,21.17,662.68
PRECTOTCORR_SUM,1985,55.03,65.54,27.77,77.56,65.86,82.13,27.44,128.98,7.18,22.9,128.52,30.05,718.96
PRECTOTCORR_SUM,1986,67.7,65.14,41.31,46.51,58.78,88.05,104.39,44.45,3.82,28.74,7.07,27.06,583.02
PRECTOTCORR_SUM,1987,91.67,11.76,68.19,51.86,154.92,66.18,22.6,45.99,10.57,33.97,83.02,70.59,711.32
PRECTOTCORR_SUM,1988,35.47,33.79,97.36,51.45,37.47,102.04,6.99,22.02,52.29,35.54,50.24,41.35,566.01
PRECTOTCORR_SUM,1989,11.2,21.65,41.36,74.47,120.82,154.68,54.12,68.04,64.69,43.12,64.99,26.5,745.64
PRECTOTCORR_SUM,1990,16.48,42.16,21.63,57.6,24.46,46.16,21.87,24.78,34.29,40.14,25.46,85.91,440.94
PRECTOTCORR_SUM,1991,15.6,30.72,52.0,56.21,74.27,46.05,85.46,74.79,11.9,75.26,41.88,42.39,606.53
PRECTOTCORR_SUM,1992,11.21,35.71,25.55,77.75,50.34,139.6,37.79,11.73,35.57,84.82,66.71,30.85,607.63
PRECTOTCORR_SUM,1993,22.26,14.93,62.04,35.51,29.33,52.93,22.64,35.17,61.39,18.49,54.26,66.92,475.87
PRECTOTCORR_SUM,1994,38.98,14.95,27.28,54.05,49.62,79.35,59.85,44.82,31.87,56.6,20.4,44.19,521.96
PRECTOTCORR_SUM,1995,82.22,22.83,51.16,70.15,60.17,80.75,52.15,70.63,70.11,2.26,56.19,67.02,685.64
PRECTOTCORR_SUM,1996,27.27,62.82,57.82,41.99,110.12,26.95,22.53,35.51,111.42,29.06,59.25,88.44,673.18
PRECTOTCORR_SUM,1997,18.68,26.05,36.12,63.58,58.07,62.46,96.02,105.45,17.04,101.42,21.43,64.0,670.32
PRECTOTCORR_SUM,1998,54.52,19.04,23.48,54.86,69.29,51.8,42.96,57.53,100.67,89.98,67.41,35.45,666.99
PRECTOTCORR_SUM,1999,35.1,56.83,18.33,77.34,52.06,96.42,135.82,39.29,30.09,49.16,50.48,94.77,735.69
PRECTOTCORR_SUM,2000,43.84,36.95,28.61,44.09,63.41,14.97,40.61,15.5,84.28,12.47,24.43,29.38,438.54
PRECTOTCORR_SUM,2001,28.83,31.9,55.47,121.34,55.64,130.92,47.88,49.19,137.82,10.54,68.15,37.9,775.58
PRECTOTCORR_SUM,2002,12.69,14.58,28.97,72.92,59.17,80.22,110.58,82.5,90.15,39.95,50.34,59.0,701.07
PRECTOTCORR_SUM,2003,60.57,26.49,9.83,45.91,46.99,38.75,68.65,11.27,70.65,113.81,33.41,37.53,563.86
PRECTOTCORR_SUM,2004,88.21,64.92,34.95,50.41,62.8,90.81,76.6,61.83,36.1,51.63,119.42,41.69,779.37
PRECTOTCORR_SUM,2005,43.51,74.17,44.66,80.93,86.73,56.11,85.75,144.62,85.85,33.87,61.6,67.12,864.92
PRECTOTCORR_SUM,2006,37.21,53.36,102.73,79.71,36.45,103.09,32.47,112.63,27.59,31.22,32.58,58.74,707.78
PRECTOTCORR_SUM,2007,55.23,53.92,59.53,8.89,118.09,54.92,16.04,46.63,65.59,120.19,109.33,36.77,745.13
PRECTOTCORR_SUM,2008,43.85,19.19,75.43,63.94,34.54,52.84,82.14,34.4,73.68,40.65,40.46,90.74,651.86
PRECTOTCORR_SUM,2009,59.81,62.99,67.61,24.52,39.69,150.32,54.61,44.65,22.0,115.21,84.77,110.81,836.99
PRECTOTCORR_SUM,2010,55.08,89.32,46.11,84.13,104.66,122.45,56.35,35.09,38.34,87.72,47.35,64.63,831.23
PRECTOTCORR_SUM,2011,35.6,52.57,39.35,26.74,62.68,54.41,92.0,10.36,30.99,35.15,3.55,48.22,491.62
PRECTOTCORR_SUM,2012,96.98,70.65,14.31,86.74,136.75,23.38,55.46,3.28,20.12,62.11,24.26,89.88,683.92
PRECTOTCORR_SUM,2013,67.57,79.21,96.19,43.48,96.0,64.9,17.71,24.39,55.98,29.24,48.68,10.54,633.89
PRECTOTCORR_SUM,2014,34.67,33.91,49.08,130.7,182.12,107.64,144.72,57.42,120.8,65.31,36.3,90.31,1052.98
PRECTOTCORR_SUM,2015,57.57,53.47,101.05,51.02,79.2,75.95,10.89,42.61,85.01,77.38,59.07,6.55,699.77
PRECTOTCORR_SUM,2016,83.18,49.06,105.82,54.65,121.93,82.89,75.53,70.68,45.94,88.73,89.53,14.41,882.35
PRECTOTCORR_SUM,2017,28.16,30.58,40.56,65.98,96.03,40.41,29.91,52.22,49.2,93.0,47.56,68.4,642.01
PRECTOTCORR_SUM,2018,51.19,70.93,112.35,43.62,73.38,133.24,122.09,58.85,27.93,12.53,55.75,66.28,828.14
PRECTOTCORR_SUM,2019,93.04,37.86,16.81,72.77,119.19,95.76,61.03,36.01,17.8,18.14,64.44,57.2,690.05
