# Area: Solomon Islands
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.43   Longitude 159.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 259.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,251.41,115.1,35.8,84.03,10.81,9.64,53.17,20.71,23.43,4.07,10.56,29.09,647.82
PRECTOTCORR_SUM,1982,56.65,154.34,68.05,49.01,31.91,18.23,3.3,3.46,3.23,2.84,0.65,1.5,393.17
PRECTOTCORR_SUM,1983,2.93,10.14,4.62,26.2,3.58,3.63,43.92,9.31,10.87,4.98,116.85,151.85,388.88
PRECTOTCORR_SUM,1984,97.74,63.64,89.49,263.08,261.17,202.37,14.87,145.53,4.61,370.75,248.93,164.16,1926.34
PRECTOTCORR_SUM,1985,296.41,397.7,346.27,119.73,228.49,195.53,239.59,233.32,182.69,278.41,249.56,345.97,3113.67
PRECTOTCORR_SUM,1986,392.63,225.0,268.14,290.82,118.91,126.95,120.43,165.47,49.37,139.05,205.64,454.55,2556.96
PRECTOTCORR_SUM,1987,120.76,198.32,196.24,73.76,124.85,11.32,107.22,7.95,90.56,53.73,93.62,317.52,1395.85
PRECTOTCORR_SUM,1988,402.91,318.82,168.3,260.15,132.2,87.4,131.46,151.48,143.22,221.33,371.02,603.55,2991.84
PRECTOTCORR_SUM,1989,192.5,344.79,165.73,306.75,183.83,105.88,36.48,52.63,180.31,61.07,70.44,160.46,1860.87
PRECTOTCORR_SUM,1990,304.42,67.08,207.48,149.35,206.12,90.86,140.04,63.38,142.01,76.61,103.58,275.22,1826.15
PRECTOTCORR_SUM,1991,240.71,242.28,250.87,113.84,185.58,129.89,131.17,152.7,179.81,114.65,63.43,23.33,1828.26
PRECTOTCORR_SUM,1992,80.63,407.8,106.16,76.29,69.08,43.06,109.84,78.6,42.32,69.5,75.83,111.45,1270.56
PRECTOTCORR_SUM,1993,66.64,216.36,119.53,163.02,84.29,117.89,105.64,64.37,46.82,45.5,63.25,180.51,1273.82
PRECTOTCORR_SUM,1994,246.31,356.41,300.19,185.04,158.83,192.38,71.48,85.2,25.14,48.63,16.2,62.29,1748.1
PRECTOTCORR_SUM,1995,98.43,135.0,309.66,165.79,140.5,55.29,65.57,101.19,94.75,209.63,27.91,121.98,1525.7
PRECTOTCORR_SUM,1996,163.37,184.33,362.44,182.38,117.34,105.97,83.28,109.46,88.24,181.89,150.67,494.03,2223.4
PRECTOTCORR_SUM,1997,232.44,273.27,403.21,104.75,31.23,48.98,16.56,77.77,138.26,62.27,47.38,48.54,1484.66
PRECTOTCORR_SUM,1998,252.6,232.19,320.36,91.86,150.4,53.01,28.52,122.21,152.31,47.22,206.8,375.18,2032.66
PRECTOTCORR_SUM,1999,316.76,511.05,159.53,89.73,204.18,69.32,67.22,126.71,93.8,117.52,209.69,159.13,2124.64
PRECTOTCORR_SUM,2000,156.97,184.04,346.4,286.25,310.29,121.41,59.33,66.33,75.04,100.2,280.88,313.17,2300.31
PRECTOTCORR_SUM,2001,81.5,377.57,174.26,111.44,136.96,193.59,50.12,35.81,96.5,172.99,86.72,254.07,1771.53
PRECTOTCORR_SUM,2002,149.62,536.81,226.16,66.36,53.75,109.11,179.09,186.22,132.68,289.73,203.81,60.01,2193.35
PRECTOTCORR_SUM,2003,178.49,60.74,218.1,126.9,70.31,203.64,148.15,82.1,56.73,66.61,168.88,101.13,1481.78
PRECTOTCORR_SUM,2004,110.07,237.63,216.21,216.47,71.54,123.06,85.38,40.6,42.93,232.93,170.22,144.59,1691.63
PRECTOTCORR_SUM,2005,258.58,141.78,80.88,134.05,103.72,47.34,72.59,79.59,82.37,123.64,133.04,102.28,1359.86
PRECTOTCORR_SUM,2006,219.49,305.61,208.25,90.18,85.7,86.12,104.25,90.49,45.73,254.09,96.61,117.57,1704.09
PRECTOTCORR_SUM,2007,76.96,174.93,209.15,36.71,57.69,178.52,90.19,114.13,68.6,48.66,200.13,176.99,1432.66
PRECTOTCORR_SUM,2008,458.11,289.52,199.9,359.29,163.17,56.98,80.07,37.95,59.34,140.45,111.24,109.51,2065.53
PRECTOTCORR_SUM,2009,284.24,479.95,483.36,182.86,146.62,42.8,143.82,79.11,161.34,187.6,58.53,119.95,2370.18
PRECTOTCORR_SUM,2010,223.38,213.89,400.56,120.51,125.88,81.46,105.05,107.0,122.87,89.25,350.79,298.22,2238.86
PRECTOTCORR_SUM,2011,324.24,259.73,158.51,182.57,122.12,97.04,79.5,181.74,51.9,240.77,153.23,331.44,2182.79
PRECTOTCORR_SUM,2012,414.58,408.68,317.7,189.18,125.19,153.33,192.15,113.37,92.83,131.78,67.92,435.86,2642.57
PRECTOTCORR_SUM,2013,183.12,322.99,591.51,208.42,90.46,104.77,138.43,96.43,81.02,227.52,46.68,114.52,2205.87
PRECTOTCORR_SUM,2014,613.29,267.69,281.61,866.68,131.87,54.58,59.78,107.31,44.85,122.49,49.13,175.68,2774.96
PRECTOTCORR_SUM,2015,362.43,221.01,296.55,198.9,379.07,195.06,240.47,70.41,89.83,71.85,136.41,300.55,2562.54
PRECTOTCORR_SUM,2016,69.6,459.05,387.09,236.6,152.03,60.97,144.99,126.16,122.1,86.88,317.22,245.67,2408.36
PRECTOTCORR_SUM,2017,266.78,408.2,210.51,304.7,113.53,330.74,152.39,107.29,151.42,150.23,178.21,310.01,2684.01
PRECTOTCORR_SUM,2018,459.8,196.03,428.55,210.75,165.53,146.75,188.39,203.71,190.73,103.63,127.78,439.72,2861.37
PRECTOTCORR_SUM,2019,285.96,319.35,124.17,220.41,145.9,112.02,186.89,256.71,192.9,174.78,164.46,149.31,2332.86
PRECTOTCORR_SUM,2020,239.04,429.91,330.45,329.88,1836.26,492.52,258.62,158.63,263.22,285.3,508.01,437.58,5569.42
PRECTOTCORR_SUM,2021,280.48,503.06,281.71,237.88,113.12,145.5,257.25,155.15,107.03,101.3,118.68,381.52,2682.68
PRECTOTCORR_SUM,2022,387.1,404.79,231.62,287.97,103.6,148.62,42.36,172.13,123.94,106.7,306.64,260.65,2576.12
