# Area: Somalia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  2.04   Longitude 45.34 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,1.07,42.18,286.4,15.31,0.47,0.0,0.7,37.69,1.46,16.25,8.86,410.39
PRECTOTCORR_SUM,1982,59.69,4.21,0.04,14.07,1.54,3.27,4.59,0.28,0.15,3.75,47.89,0.53,140.01
PRECTOTCORR_SUM,1983,1.0,0.68,0.0,77.01,29.49,0.0,3.48,0.0,0.33,0.0,0.17,0.0,112.16
PRECTOTCORR_SUM,1984,0.0,0.0,0.0,26.64,0.25,1.22,0.0,51.16,0.1,11.89,7.37,0.89,99.52
PRECTOTCORR_SUM,1985,0.11,0.0,2.17,0.43,1.52,7.62,0.0,0.07,0.11,3.81,0.5,2.4,18.74
PRECTOTCORR_SUM,1986,0.18,0.0,0.0,1.02,0.76,0.25,0.03,0.24,0.64,35.32,6.8,17.96,63.2
PRECTOTCORR_SUM,1987,0.0,0.0,5.16,16.57,79.31,0.01,49.65,7.74,0.0,7.68,18.85,0.22,185.19
PRECTOTCORR_SUM,1988,0.0,1.49,8.59,16.09,30.08,8.27,1.87,0.56,3.5,7.9,3.59,14.49,96.43
PRECTOTCORR_SUM,1989,0.0,0.04,5.14,63.31,6.53,0.0,0.02,1.42,3.31,15.26,2.19,0.58,97.8
PRECTOTCORR_SUM,1990,0.12,0.03,4.52,154.84,15.38,0.53,0.01,0.13,0.17,58.93,65.12,66.16,365.94
PRECTOTCORR_SUM,1991,1.55,0.15,12.24,131.1,22.05,1.93,69.86,0.21,1.06,25.87,9.59,29.99,305.6
PRECTOTCORR_SUM,1992,0.37,0.03,0.41,139.2,17.07,0.29,0.34,0.85,2.16,12.72,102.99,114.13,390.56
PRECTOTCORR_SUM,1993,32.89,8.41,0.36,122.6,328.68,1.96,0.0,0.78,0.1,51.69,29.93,0.94,578.34
PRECTOTCORR_SUM,1994,0.0,0.0,0.04,68.05,70.18,0.07,7.31,12.55,3.89,45.05,81.72,3.98,292.84
PRECTOTCORR_SUM,1995,0.0,1.53,18.55,120.18,18.16,0.0,0.0,13.7,0.27,29.73,49.29,8.51,259.92
PRECTOTCORR_SUM,1996,0.95,0.0,32.73,38.37,71.24,0.22,0.0,0.0,0.0,1.35,14.54,6.89,166.29
PRECTOTCORR_SUM,1997,0.0,0.0,18.68,146.02,30.44,3.8,0.71,0.0,4.69,161.11,42.28,30.75,438.48
PRECTOTCORR_SUM,1998,12.08,20.08,0.2,48.93,20.79,0.0,11.25,4.32,0.08,9.28,9.3,0.07,136.38
PRECTOTCORR_SUM,1999,0.0,0.0,37.17,55.41,66.9,0.58,1.59,0.18,0.65,32.38,33.29,1.73,229.88
PRECTOTCORR_SUM,2000,0.09,0.0,0.0,11.47,73.72,0.75,0.0,0.61,1.51,154.67,24.64,0.23,267.69
PRECTOTCORR_SUM,2001,0.0,1.01,0.27,9.23,2.72,0.08,1.71,13.16,19.29,31.54,3.71,3.05,85.77
PRECTOTCORR_SUM,2002,0.0,0.0,0.77,22.93,11.06,0.0,0.0,0.14,0.33,54.52,92.03,6.1,187.88
PRECTOTCORR_SUM,2003,2.33,0.9,0.63,98.02,30.43,0.0,0.35,1.79,4.11,1.63,43.81,118.75,302.75
PRECTOTCORR_SUM,2004,0.35,0.0,0.04,13.16,1.14,57.35,1.19,0.13,1.86,59.31,42.77,7.81,185.11
PRECTOTCORR_SUM,2005,0.06,0.84,25.3,16.19,67.08,24.55,55.68,5.64,1.6,0.14,39.98,0.0,237.06
PRECTOTCORR_SUM,2006,32.24,4.05,0.91,90.06,39.63,4.54,16.65,21.19,17.02,194.8,90.92,42.94,554.95
PRECTOTCORR_SUM,2007,0.83,0.05,1.97,38.12,8.1,58.84,5.33,31.71,3.1,38.03,49.11,0.24,235.43
PRECTOTCORR_SUM,2008,11.87,0.02,2.38,161.04,43.59,66.5,29.19,0.83,0.13,58.07,109.82,0.0,483.44
