# Area: Sudan (former)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.6   Longitude 32.53 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 407.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,0.14,0.8,3.04,4.44,3.83,42.58,48.55,76.98,13.12,2.08,0.0,195.56
PRECTOTCORR_SUM,1982,0.0,0.07,0.27,8.98,18.58,19.3,11.11,63.87,29.33,47.31,0.44,0.06,199.32
PRECTOTCORR_SUM,1983,0.0,0.0,0.29,0.02,9.41,8.21,24.85,27.89,3.67,12.22,0.21,0.0,86.77
PRECTOTCORR_SUM,1984,0.0,0.0,0.02,6.4,4.04,9.22,28.03,75.7,6.6,5.36,0.06,0.02,135.45
PRECTOTCORR_SUM,1985,0.0,0.0,1.88,2.82,13.05,25.61,73.01,97.77,39.75,33.06,2.62,2.69,292.26
PRECTOTCORR_SUM,1986,0.0,0.0,0.0,4.1,0.49,35.09,99.55,182.52,65.89,12.94,1.46,0.0,402.04
PRECTOTCORR_SUM,1987,0.0,0.11,3.91,5.2,34.71,46.04,99.91,66.52,8.6,2.82,3.25,0.0,271.07
PRECTOTCORR_SUM,1988,0.01,0.0,0.0,0.02,0.77,1.32,56.28,140.56,32.02,1.94,0.0,0.0,232.92
PRECTOTCORR_SUM,1989,0.0,0.0,0.01,0.1,3.58,3.79,11.6,38.25,21.39,2.34,0.02,0.0,81.08
PRECTOTCORR_SUM,1990,0.0,0.01,0.01,0.01,0.04,0.57,24.0,3.06,10.57,4.33,0.0,0.0,42.6
PRECTOTCORR_SUM,1991,0.0,0.0,0.0,1.38,1.13,0.02,23.47,20.23,4.85,2.29,0.1,0.0,53.47
PRECTOTCORR_SUM,1992,0.0,0.0,0.01,0.1,2.87,1.8,23.22,46.1,6.0,2.51,0.6,0.0,83.21
PRECTOTCORR_SUM,1993,0.0,0.0,0.01,1.88,12.01,2.51,68.58,73.42,25.71,3.58,0.07,0.0,187.77
PRECTOTCORR_SUM,1994,0.0,0.0,0.0,0.0,10.67,2.91,53.31,31.52,55.99,31.8,0.0,0.0,186.2
PRECTOTCORR_SUM,1995,0.0,0.0,0.0,0.11,1.58,4.39,85.81,58.31,47.76,3.05,0.06,0.0,201.07
PRECTOTCORR_SUM,1996,0.02,0.0,0.01,1.92,5.72,7.05,40.71,101.78,18.65,9.23,0.27,0.0,185.36
PRECTOTCORR_SUM,1997,0.0,0.0,0.35,0.05,6.79,4.97,38.97,73.2,2.94,7.01,1.27,0.0,135.55
PRECTOTCORR_SUM,1998,0.0,0.0,0.01,0.37,0.3,0.03,31.64,70.84,41.68,5.21,0.0,0.0,150.08
PRECTOTCORR_SUM,1999,0.0,0.0,0.0,0.01,2.77,2.02,66.34,84.17,23.69,11.24,0.0,0.0,190.24
PRECTOTCORR_SUM,2000,0.0,0.0,0.0,0.48,1.43,2.33,16.88,14.84,12.43,8.45,0.0,0.0,56.84
PRECTOTCORR_SUM,2001,0.0,0.0,0.0,0.03,6.63,0.19,31.92,66.84,16.6,19.12,0.1,0.0,141.43
PRECTOTCORR_SUM,2002,0.0,0.0,0.0,0.0,2.21,0.64,7.01,24.66,22.22,6.68,0.0,0.0,63.42
PRECTOTCORR_SUM,2003,0.0,0.0,0.0,0.06,0.57,3.75,43.0,47.66,5.45,0.71,0.0,0.0,101.2
PRECTOTCORR_SUM,2004,0.0,0.0,0.0,0.25,1.49,5.36,2.47,32.56,18.12,3.23,0.0,0.0,63.48
PRECTOTCORR_SUM,2005,0.0,0.0,0.0,0.03,3.45,3.0,50.71,62.41,18.05,1.82,0.0,0.0,139.47
PRECTOTCORR_SUM,2006,0.0,0.0,0.0,4.05,17.59,16.04,14.12,32.24,20.15,5.06,0.0,0.0,109.25
PRECTOTCORR_SUM,2007,0.0,0.0,0.0,0.88,0.45,10.99,92.8,76.85,19.59,3.59,0.24,0.0,205.39
PRECTOTCORR_SUM,2008,0.0,0.0,0.0,2.57,1.38,3.65,13.43,27.16,29.54,3.39,0.0,0.0,81.12
PRECTOTCORR_SUM,2009,0.0,0.0,0.0,0.05,0.7,1.78,58.3,45.89,12.89,5.57,0.0,0.0,125.18
PRECTOTCORR_SUM,2010,0.0,0.0,0.0,0.4,0.86,1.57,29.67,36.11,25.61,2.23,0.04,0.0,96.49
PRECTOTCORR_SUM,2011,0.0,0.0,0.0,0.0,3.8,0.82,57.35,30.93,10.57,6.04,0.0,0.0,109.51
PRECTOTCORR_SUM,2012,0.0,0.0,0.0,0.0,1.92,4.16,66.55,38.58,3.39,40.23,0.54,0.0,155.37
PRECTOTCORR_SUM,2013,0.0,0.0,0.09,0.0,0.27,4.81,4.78,58.84,28.78,0.53,0.03,0.0,98.13
PRECTOTCORR_SUM,2014,0.0,0.0,0.22,0.35,1.47,3.64,90.93,60.46,18.63,8.67,0.0,0.0,184.37
PRECTOTCORR_SUM,2015,0.0,0.0,0.0,0.0,0.16,9.09,5.23,41.72,3.13,0.94,0.0,4.07,64.34
PRECTOTCORR_SUM,2016,0.0,0.0,0.0,0.0,4.44,13.92,134.31,107.17,17.81,5.22,0.0,0.0,282.87
PRECTOTCORR_SUM,2017,0.0,0.0,0.0,3.48,3.86,1.2,17.69,76.36,9.4,0.19,0.0,0.0,112.18
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.0,9.63,7.88,72.01,36.98,17.51,9.1,0.0,0.0,153.11
PRECTOTCORR_SUM,2019,0.0,0.03,0.0,0.0,0.33,6.46,7.4,75.43,37.49,48.21,0.18,0.0,175.53
PRECTOTCORR_SUM,2020,0.0,0.1,0.0,0.0,2.33,1.8,82.63,176.73,56.63,3.08,0.0,0.0,323.3
PRECTOTCORR_SUM,2021,0.0,0.0,0.0,0.05,38.63,1.3,205.97,159.06,80.34,4.56,0.67,2.34,492.92
PRECTOTCORR_SUM,2022,0.32,0.0,0.0,0.0,0.28,22.58,96.86,108.22,68.53,11.38,0.0,0.0,308.17
PRECTOTCORR_SUM,2023,0.0,0.0,0.0,0.04,0.28,23.54,8.04,131.06,20.54,12.34,0.78,0.0,196.62
