# Area: Turkmenistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.97   Longitude 59.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,13.07,17.47,73.4,35.7,37.69,10.99,20.64,13.48,20.36,6.74,16.95,9.47,275.96
PRECTOTCORR_SUM,1982,35.46,16.46,11.0,0.4,8.49,1.4,0.54,0.37,0.05,4.41,8.41,1.91,88.9
PRECTOTCORR_SUM,1983,7.0,1.18,9.63,7.1,2.03,0.35,0.0,0.71,0.16,0.34,7.3,15.65,51.45
PRECTOTCORR_SUM,1984,2.75,5.99,32.83,8.1,13.36,0.0,0.0,0.08,0.02,11.92,12.33,3.54,90.92
PRECTOTCORR_SUM,1985,14.02,30.63,8.78,8.0,9.62,0.16,0.0,0.61,0.01,2.24,0.07,13.53,87.67
PRECTOTCORR_SUM,1986,10.79,6.32,4.64,15.74,3.13,0.28,5.15,0.43,3.09,0.43,2.12,25.96,78.08
PRECTOTCORR_SUM,1987,3.05,2.92,36.17,7.31,1.16,0.95,1.51,0.0,0.03,13.48,9.74,11.2,87.52
PRECTOTCORR_SUM,1988,21.81,7.54,13.79,18.97,12.99,1.85,5.87,1.13,0.11,0.68,1.98,4.89,91.61
PRECTOTCORR_SUM,1989,9.85,7.47,26.29,0.24,0.87,0.01,0.05,0.0,0.22,1.12,0.21,29.13,75.46
PRECTOTCORR_SUM,1990,5.73,14.66,7.56,48.16,1.39,0.03,1.99,0.01,0.0,6.41,9.04,6.9,101.88
PRECTOTCORR_SUM,1991,2.41,6.79,41.87,4.59,40.15,4.55,1.08,0.0,0.06,0.16,2.86,10.81,115.33
PRECTOTCORR_SUM,1992,12.12,11.77,5.38,13.77,28.74,8.05,0.0,0.37,0.01,2.42,0.55,15.74,98.92
PRECTOTCORR_SUM,1993,8.21,23.57,13.17,18.76,4.37,3.42,1.84,1.97,0.29,0.29,23.62,3.58,103.09
PRECTOTCORR_SUM,1994,11.23,8.39,13.64,2.72,4.0,0.16,0.87,0.0,0.0,10.83,13.6,1.83,67.27
PRECTOTCORR_SUM,1995,10.09,7.37,14.2,2.94,1.55,1.93,1.53,0.0,7.0,1.64,6.85,1.11,56.21
PRECTOTCORR_SUM,1996,2.47,13.05,21.61,13.18,1.41,0.25,0.3,0.0,0.04,3.94,1.4,0.35,58.0
PRECTOTCORR_SUM,1997,7.21,1.57,41.0,28.11,18.15,9.7,0.0,0.0,0.0,3.9,4.33,11.9,125.87
PRECTOTCORR_SUM,1998,27.45,15.38,15.39,13.07,7.07,0.13,2.61,0.73,0.3,1.11,8.71,0.63,92.58
PRECTOTCORR_SUM,1999,3.67,1.86,3.16,21.2,1.35,0.05,1.4,0.1,3.87,4.26,9.18,0.88,50.98
PRECTOTCORR_SUM,2000,2.81,4.71,6.32,0.4,0.0,0.06,0.14,0.01,5.99,6.48,16.19,9.65,52.76
PRECTOTCORR_SUM,2001,2.15,1.01,25.87,7.9,3.27,0.0,0.05,0.49,0.0,10.94,10.74,19.33,81.75
PRECTOTCORR_SUM,2002,13.36,13.57,8.05,13.88,3.09,0.05,0.03,0.11,0.0,0.77,19.01,23.69,95.61
PRECTOTCORR_SUM,2003,14.03,24.87,46.32,51.02,13.25,9.38,0.0,0.09,0.0,0.45,9.76,14.29,183.46
PRECTOTCORR_SUM,2004,23.35,5.11,19.65,36.77,9.82,0.72,1.36,0.0,0.01,6.08,19.57,10.57,133.01
PRECTOTCORR_SUM,2005,17.59,10.08,33.41,9.13,15.05,0.9,0.04,1.95,0.0,11.1,5.37,9.25,113.87
PRECTOTCORR_SUM,2006,8.69,6.61,20.37,7.82,0.86,1.2,0.15,0.0,12.52,2.08,13.03,5.91,79.24
PRECTOTCORR_SUM,2007,0.89,6.92,51.99,24.24,0.82,1.31,0.01,0.0,0.01,0.28,16.79,12.87,116.13
PRECTOTCORR_SUM,2008,6.68,9.45,2.37,17.47,15.58,2.63,0.21,0.02,0.11,0.91,2.37,0.88,58.68
PRECTOTCORR_SUM,2009,3.14,47.81,23.22,64.44,7.76,0.38,2.28,10.24,14.23,0.0,11.14,9.44,194.08
PRECTOTCORR_SUM,2010,4.66,33.51,37.29,14.6,12.3,2.65,0.72,0.0,2.32,2.02,9.23,0.82,120.12
PRECTOTCORR_SUM,2011,2.76,45.5,27.67,12.16,23.63,3.28,0.0,1.7,0.33,14.71,19.61,3.6,154.95
PRECTOTCORR_SUM,2012,13.09,32.78,30.95,5.01,2.64,0.38,6.97,0.02,0.0,8.13,6.8,11.9,118.67
PRECTOTCORR_SUM,2013,6.99,13.73,45.8,9.96,7.97,0.69,0.99,0.65,7.07,9.22,3.45,12.31,118.83
PRECTOTCORR_SUM,2014,6.43,0.08,0.77,0.19,3.14,0.02,0.01,0.0,2.5,7.65,27.86,5.04,53.69
PRECTOTCORR_SUM,2015,16.94,50.14,21.3,4.64,4.39,0.0,4.57,0.82,0.03,21.06,20.67,7.73,152.29
PRECTOTCORR_SUM,2016,22.5,15.66,18.81,16.99,18.06,13.81,3.92,0.04,0.43,5.33,7.92,11.67,135.14
PRECTOTCORR_SUM,2017,10.82,39.24,22.0,23.6,2.81,0.09,0.01,0.01,5.76,8.61,8.16,9.22,130.33
PRECTOTCORR_SUM,2018,4.17,35.73,11.32,8.54,11.57,3.57,0.0,0.05,0.02,9.28,18.58,19.68,122.51
PRECTOTCORR_SUM,2019,22.18,44.24,49.09,72.24,21.73,4.29,0.7,0.01,0.49,0.63,3.41,4.11,223.12
PRECTOTCORR_SUM,2020,13.77,52.71,39.06,49.41,27.1,9.63,16.02,1.87,0.15,1.66,17.35,20.42,249.15
PRECTOTCORR_SUM,2021,2.41,4.86,32.37,2.57,2.87,0.0,1.91,0.0,0.02,8.07,1.83,6.85,63.76
PRECTOTCORR_SUM,2022,12.18,9.24,68.32,34.77,177.6,0.32,27.18,69.97,0.05,20.81,6.93,2.33,429.7
PRECTOTCORR_SUM,2023,5.11,59.09,10.75,4.28,31.46,3.22,1.73,3.1,0.0,11.13,3.62,1.23,134.72
