# Area: Türkiye
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.96   Longitude 35.24 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1165.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,40.58,40.29,47.48,23.6,76.19,28.56,10.5,2.44,8.81,26.12,30.63,84.7,419.9
PRECTOTCORR_SUM,1982,60.06,23.52,30.66,37.78,37.21,13.55,8.66,11.85,5.36,33.85,18.73,34.53,315.76
PRECTOTCORR_SUM,1983,21.02,33.51,25.43,40.3,50.33,27.11,7.4,1.84,5.02,48.28,73.81,14.86,348.91
PRECTOTCORR_SUM,1984,22.26,25.87,30.33,105.75,22.78,8.57,4.34,3.57,0.28,1.86,23.05,19.42,268.08
PRECTOTCORR_SUM,1985,36.35,29.25,27.25,43.45,39.82,22.06,4.52,2.05,0.7,58.1,35.37,23.54,322.46
PRECTOTCORR_SUM,1986,34.29,38.64,11.17,35.77,72.51,66.1,0.01,0.1,22.62,10.06,41.49,24.9,357.66
PRECTOTCORR_SUM,1987,51.4,20.66,42.38,33.16,24.08,20.44,22.02,2.2,0.04,35.3,44.24,65.59,361.51
PRECTOTCORR_SUM,1988,17.11,32.88,71.32,41.58,44.88,92.64,32.21,0.06,2.69,55.22,52.89,22.37,465.85
PRECTOTCORR_SUM,1989,7.85,8.72,20.35,16.69,41.02,11.71,2.56,1.65,3.83,41.86,81.05,43.32,280.61
PRECTOTCORR_SUM,1990,20.84,20.79,13.67,62.22,72.94,46.1,11.59,1.27,17.67,13.08,20.34,42.58,343.09
PRECTOTCORR_SUM,1991,33.1,30.96,34.56,71.38,71.5,32.05,2.01,1.56,4.26,44.9,40.25,62.38,428.91
PRECTOTCORR_SUM,1992,26.88,43.73,20.7,23.96,47.9,77.44,30.01,2.72,8.3,19.88,58.1,59.33,418.95
PRECTOTCORR_SUM,1993,28.2,20.64,36.76,67.18,72.32,31.47,2.76,6.1,0.99,6.5,47.4,24.64,344.96
PRECTOTCORR_SUM,1994,46.28,32.37,21.01,23.37,35.0,6.03,2.25,2.26,5.1,28.38,53.45,63.71,319.21
PRECTOTCORR_SUM,1995,26.91,5.06,43.58,83.52,43.11,40.32,24.68,16.93,6.35,22.07,67.29,12.3,392.12
PRECTOTCORR_SUM,1996,15.14,26.41,71.65,43.69,47.72,14.07,1.0,10.6,35.66,80.33,1.11,69.18,416.56
PRECTOTCORR_SUM,1997,20.33,28.44,26.4,46.79,33.91,49.41,2.39,14.93,27.36,64.01,10.03,77.19,401.19
PRECTOTCORR_SUM,1998,23.03,43.55,40.7,50.59,103.56,31.4,2.28,0.09,14.55,32.62,34.58,92.78,469.73
PRECTOTCORR_SUM,1999,11.59,49.77,80.08,50.25,35.53,84.73,19.89,23.52,5.22,26.56,16.67,19.39,423.2
PRECTOTCORR_SUM,2000,77.79,46.97,34.69,61.65,70.97,33.23,0.0,15.85,4.42,27.21,5.98,31.01,409.77
PRECTOTCORR_SUM,2001,1.94,39.51,25.37,38.06,86.64,8.38,1.82,9.33,14.41,6.15,50.61,66.02,348.24
PRECTOTCORR_SUM,2002,62.71,17.7,29.81,92.49,31.28,18.4,86.86,14.04,36.45,18.61,29.32,38.61,476.28
PRECTOTCORR_SUM,2003,37.1,51.27,23.11,62.85,28.76,6.23,0.16,0.22,36.13,42.34,26.07,43.14,357.38
PRECTOTCORR_SUM,2004,45.24,23.83,24.17,48.02,55.0,24.37,7.48,8.95,0.26,9.68,79.16,21.93,348.09
PRECTOTCORR_SUM,2005,35.16,42.51,66.45,49.98,39.21,20.13,6.11,7.27,18.2,32.24,44.76,21.97,383.99
