# Area: United States of America
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  39.83   Longitude -98.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 582.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,5.28,1.98,58.36,59.43,185.86,54.86,137.02,103.99,51.02,24.83,80.05,6.35,769.03
PRECTOTCORR_SUM,1982,13.14,15.43,50.96,65.74,178.91,114.08,80.33,80.36,55.12,40.25,18.6,42.59,755.51
PRECTOTCORR_SUM,1983,15.27,22.79,74.65,30.78,118.91,100.44,9.73,48.33,124.03,44.3,69.87,16.08,675.18
PRECTOTCORR_SUM,1984,5.74,20.81,71.71,150.71,90.96,86.08,27.68,23.91,20.32,87.48,3.84,48.49,637.73
PRECTOTCORR_SUM,1985,22.73,7.24,27.02,89.18,124.1,62.03,97.77,86.0,111.55,55.31,11.95,6.22,701.1
PRECTOTCORR_SUM,1986,0.01,11.75,35.46,75.1,81.4,91.2,77.53,78.6,107.94,98.62,15.62,22.1,695.33
PRECTOTCORR_SUM,1987,2.56,23.75,201.47,59.21,125.11,117.51,77.19,95.29,28.02,28.37,44.74,13.36,816.58
PRECTOTCORR_SUM,1988,21.15,9.92,11.2,36.41,66.44,48.59,88.34,69.17,66.16,2.11,23.57,6.11,449.17
PRECTOTCORR_SUM,1989,13.52,11.56,8.69,3.48,72.97,170.53,105.73,87.48,66.48,17.98,0.06,7.97,566.45
PRECTOTCORR_SUM,1990,14.34,3.53,100.68,30.75,141.06,89.56,81.79,128.42,22.39,19.05,16.79,14.99,663.35
PRECTOTCORR_SUM,1991,8.91,1.43,46.64,56.97,136.34,56.16,35.57,77.81,26.33,36.29,39.77,51.85,574.07
PRECTOTCORR_SUM,1992,25.81,22.86,71.02,20.95,64.7,117.24,199.66,79.21,46.67,87.45,31.54,26.87,793.98
PRECTOTCORR_SUM,1993,36.77,46.16,53.43,62.84,94.6,142.08,348.41,147.96,76.55,36.67,20.02,19.5,1084.99
PRECTOTCORR_SUM,1994,21.04,23.37,1.07,87.37,37.26,103.37,142.44,37.84,26.74,35.43,56.0,29.97,601.9
PRECTOTCORR_SUM,1995,22.24,3.41,43.95,76.66,236.1,48.46,66.82,74.43,59.64,21.77,7.69,7.17,668.34
PRECTOTCORR_SUM,1996,13.75,0.08,15.97,50.51,161.29,84.43,139.65,109.97,88.72,13.13,107.89,1.69,787.08
PRECTOTCORR_SUM,1997,1.46,29.61,6.72,57.97,61.27,99.3,46.3,91.72,72.65,102.74,43.08,30.14,642.96
PRECTOTCORR_SUM,1998,13.97,19.73,68.6,85.61,52.44,66.72,168.64,54.16,34.66,49.64,66.84,2.6,683.61
PRECTOTCORR_SUM,1999,19.35,5.12,20.77,99.47,144.57,117.72,51.09,98.84,28.67,1.64,11.19,9.91,608.34
PRECTOTCORR_SUM,2000,7.08,45.91,81.48,39.21,45.49,90.64,108.01,26.44,29.09,63.68,39.41,11.08,587.52
PRECTOTCORR_SUM,2001,27.31,51.54,26.8,60.83,188.34,65.39,111.42,60.22,82.3,43.27,29.16,3.9,750.48
PRECTOTCORR_SUM,2002,19.71,6.75,15.71,38.96,109.48,47.1,26.85,75.61,42.67,111.58,6.86,1.72,503.0
PRECTOTCORR_SUM,2003,7.58,21.15,29.96,92.23,90.18,110.21,16.89,65.94,91.9,13.92,22.02,6.33,568.31
PRECTOTCORR_SUM,2004,24.99,44.53,51.6,45.84,71.94,111.9,137.91,38.49,89.95,38.48,42.63,2.06,700.32
PRECTOTCORR_SUM,2005,22.64,33.12,58.08,65.86,76.91,133.65,110.36,124.71,37.61,50.17,31.14,10.45,754.7
PRECTOTCORR_SUM,2006,3.98,0.63,61.89,54.24,76.73,98.4,60.6,142.01,85.93,45.98,8.98,72.06,711.43
PRECTOTCORR_SUM,2007,20.29,20.51,72.58,67.82,167.02,110.82,128.53,103.96,64.89,99.0,2.63,48.91,906.96
PRECTOTCORR_SUM,2008,7.86,11.83,26.72,84.56,164.7,116.91,119.65,117.65,61.64,193.78,23.97,13.5,942.77
PRECTOTCORR_SUM,2009,3.56,12.06,2.82,62.41,50.48,108.11,118.62,79.08,37.97,87.0,14.67,33.99,610.77
PRECTOTCORR_SUM,2010,3.46,16.12,71.44,88.51,110.71,195.51,106.09,93.63,67.17,7.85,26.39,4.78,791.66
PRECTOTCORR_SUM,2011,21.2,16.74,15.47,69.25,183.76,101.52,131.59,141.63,15.49,54.12,18.54,26.29,795.6
PRECTOTCORR_SUM,2012,3.22,36.67,33.07,85.11,39.88,65.25,38.89,60.8,24.0,38.99,5.85,32.98,464.71
PRECTOTCORR_SUM,2013,8.18,22.74,33.22,59.95,101.45,54.89,82.29,88.82,64.45,45.33,30.67,3.73,595.72
PRECTOTCORR_SUM,2014,7.29,14.89,5.08,65.7,45.39,194.53,46.48,162.21,51.29,31.07,2.53,13.47,639.93
PRECTOTCORR_SUM,2015,19.59,4.28,6.55,59.16,148.5,131.63,107.85,90.87,33.74,30.78,49.86,53.78,736.59
PRECTOTCORR_SUM,2016,15.69,24.92,11.35,144.83,119.55,35.69,101.46,129.24,81.5,12.54,26.77,16.63,720.17
PRECTOTCORR_SUM,2017,33.71,4.94,38.75,97.52,154.56,51.82,83.01,70.53,62.94,58.98,3.01,4.74,664.51
PRECTOTCORR_SUM,2018,8.31,12.05,27.34,29.67,88.79,155.6,107.13,98.36,121.89,111.49,35.33,69.3,865.26
PRECTOTCORR_SUM,2019,11.53,24.95,61.45,21.75,200.19,147.09,124.79,164.28,39.09,49.61,22.8,47.26,914.79
PRECTOTCORR_SUM,2020,24.7,5.18,32.74,14.0,110.17,75.26,191.68,22.5,29.4,5.61,30.97,9.82,552.03
PRECTOTCORR_SUM,2021,21.23,11.11,149.85,39.57,144.72,40.65,74.93,93.3,55.16,56.17,4.31,2.85,693.85
PRECTOTCORR_SUM,2022,8.22,0.11,36.04,24.7,115.85,68.65,110.58,15.8,60.25,16.83,5.84,14.85,477.72
PRECTOTCORR_SUM,2023,28.97,19.79,11.37,13.42,69.09,114.46,74.29,110.37,57.34,26.7,19.36,37.17,582.33
