# Area: Venezuela (Bolivarian Republic of)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  6.42   Longitude -66.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,2.43,78.39,49.46,312.04,467.49,490.09,440.71,388.48,295.74,194.76,63.71,45.65,2828.95
PRECTOTCORR_SUM,1982,5.36,8.02,28.81,246.89,201.32,389.02,446.42,284.21,197.08,166.97,63.85,48.67,2086.62
PRECTOTCORR_SUM,1983,9.5,54.58,36.49,195.33,439.88,475.42,507.7,392.93,252.6,264.91,104.52,80.29,2814.15
PRECTOTCORR_SUM,1984,49.92,17.66,5.34,83.06,171.63,404.05,558.43,338.33,292.14,163.35,186.22,33.61,2303.74
PRECTOTCORR_SUM,1985,1.22,5.36,15.25,122.75,272.99,424.72,384.21,768.7,200.41,176.61,138.07,53.08,2563.37
PRECTOTCORR_SUM,1986,24.0,16.26,13.74,70.71,294.28,593.64,437.68,256.93,317.61,232.4,195.83,32.99,2486.07
PRECTOTCORR_SUM,1987,16.52,33.84,47.23,173.59,278.03,334.47,324.08,519.17,262.99,272.21,104.16,39.45,2405.74
PRECTOTCORR_SUM,1988,0.56,14.49,5.88,78.4,194.23,483.84,637.43,482.69,288.51,187.13,185.5,30.15,2588.81
PRECTOTCORR_SUM,1989,13.53,11.88,24.45,48.9,245.14,273.78,580.55,236.13,185.28,259.93,154.84,100.28,2134.69
PRECTOTCORR_SUM,1990,24.08,22.38,41.28,194.19,319.94,485.3,419.86,353.26,256.83,245.7,104.26,48.34,2515.42
PRECTOTCORR_SUM,1991,0.72,6.42,45.86,202.11,165.03,264.93,449.66,454.57,250.72,171.8,69.06,31.5,2112.38
PRECTOTCORR_SUM,1992,2.1,3.25,22.53,144.84,233.64,428.12,516.75,398.81,233.97,182.39,166.39,83.36,2416.15
PRECTOTCORR_SUM,1993,42.41,10.75,34.9,158.22,357.73,540.48,560.92,505.96,222.6,195.58,194.85,27.54,2851.94
PRECTOTCORR_SUM,1994,21.19,41.54,91.32,167.76,324.46,363.63,313.21,420.31,226.02,224.2,126.07,72.08,2391.79
PRECTOTCORR_SUM,1995,23.39,0.73,59.08,111.57,245.94,369.81,422.44,297.55,207.76,166.01,119.13,66.22,2089.63
PRECTOTCORR_SUM,1996,5.98,23.77,27.02,110.21,278.18,461.26,558.66,304.36,363.0,187.28,113.55,66.4,2499.67
PRECTOTCORR_SUM,1997,2.24,15.27,5.1,58.05,216.11,127.83,446.76,272.39,237.89,201.86,59.15,24.04,1666.69
PRECTOTCORR_SUM,1998,5.45,80.48,72.94,240.33,396.25,695.64,405.3,345.44,233.29,188.06,83.82,40.48,2787.48
PRECTOTCORR_SUM,1999,115.12,89.3,36.66,623.53,145.35,253.49,351.71,269.04,258.29,266.92,79.32,31.02,2519.75
PRECTOTCORR_SUM,2000,7.44,33.86,58.04,242.95,361.05,302.7,403.39,276.63,252.05,101.76,46.03,64.34,2150.24
PRECTOTCORR_SUM,2001,64.05,0.14,60.14,21.46,187.71,170.77,247.27,212.06,223.24,63.6,52.81,101.16,1404.41
PRECTOTCORR_SUM,2002,2.11,6.09,101.6,64.74,320.04,496.32,147.18,259.48,214.73,118.26,141.05,44.54,1916.14
PRECTOTCORR_SUM,2003,0.32,1.87,30.18,197.23,140.82,314.56,454.01,203.26,274.55,142.97,54.34,16.92,1831.03
PRECTOTCORR_SUM,2004,0.54,4.6,6.34,119.69,337.7,224.28,292.62,235.79,160.31,64.31,69.79,27.56,1543.53
