# Area: Yemen
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.55   Longitude 48.52 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1015.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.09,0.05,5.61,3.7,21.17,0.0,1.9,10.08,0.02,0.36,0.0,3.94,46.92
PRECTOTCORR_SUM,1982,40.97,21.61,7.38,8.33,0.0,0.02,2.13,10.57,1.88,7.89,20.4,0.76,121.94
PRECTOTCORR_SUM,1983,3.88,25.08,0.56,6.91,0.63,9.36,3.52,3.68,0.57,0.09,0.0,0.05,54.33
PRECTOTCORR_SUM,1984,0.0,0.0,2.36,0.0,0.08,0.57,0.92,8.49,0.14,0.0,12.24,2.11,26.91
PRECTOTCORR_SUM,1985,1.47,0.0,0.0,0.01,0.02,0.05,6.96,5.86,0.0,0.0,3.81,0.05,18.23
PRECTOTCORR_SUM,1986,0.0,3.06,0.09,2.22,0.0,1.41,3.18,9.42,9.96,0.27,0.78,5.63,36.02
PRECTOTCORR_SUM,1987,8.71,0.0,6.33,2.4,0.21,2.13,0.07,6.92,0.0,0.04,0.0,0.0,26.81
PRECTOTCORR_SUM,1988,1.17,0.02,0.0,0.04,0.32,0.0,0.47,0.1,0.31,0.0,0.0,0.0,2.43
PRECTOTCORR_SUM,1989,0.0,0.1,16.56,8.88,0.0,1.87,0.16,0.02,0.0,0.82,0.0,0.24,28.65
PRECTOTCORR_SUM,1990,1.63,37.83,0.05,7.67,0.0,0.0,0.45,0.05,0.0,0.0,0.0,0.0,47.68
PRECTOTCORR_SUM,1991,0.03,3.77,4.39,0.0,0.0,0.01,0.0,0.2,0.0,0.03,0.29,0.0,8.72
PRECTOTCORR_SUM,1992,0.02,0.0,0.0,12.13,0.0,0.0,1.24,1.75,0.01,4.62,0.06,0.61,20.44
PRECTOTCORR_SUM,1993,0.01,4.92,0.0,6.21,12.05,0.0,0.0,0.1,0.0,0.0,0.02,0.0,23.31
