# Area: China, mainland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.0   Longitude 103.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3162.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,9.31,12.39,16.42,19.37,22.43,20.64,14.58,21.42,16.9,12.19,12.03,9.04,15.56
ALLSKY_SFC_SW_DWN,1985,11.24,14.94,14.96,22.88,21.97,21.08,23.19,18.86,15.76,14.52,12.93,10.86,16.93
ALLSKY_SFC_SW_DWN,1986,11.24,15.27,17.47,19.68,21.95,19.79,22.84,21.62,18.35,15.6,11.11,10.08,17.1
ALLSKY_SFC_SW_DWN,1987,12.18,13.77,17.19,19.86,19.79,18.66,21.87,21.94,17.23,13.96,12.39,10.45,16.63
ALLSKY_SFC_SW_DWN,1988,11.17,12.32,12.32,18.75,18.97,21.83,21.02,19.49,14.22,9.9,12.11,10.62,15.23
ALLSKY_SFC_SW_DWN,1989,11.1,12.91,14.75,19.16,21.87,20.97,19.94,18.28,15.69,13.04,10.74,9.82,15.7
ALLSKY_SFC_SW_DWN,1990,11.22,12.41,15.46,18.89,22.68,24.26,22.41,21.75,17.77,13.94,12.49,10.97,17.04
ALLSKY_SFC_SW_DWN,1991,10.79,12.15,14.63,18.98,23.01,22.88,22.11,20.31,16.88,13.21,12.4,10.24,16.49
ALLSKY_SFC_SW_DWN,1992,11.23,14.38,13.18,21.84,19.74,20.14,21.18,18.67,13.0,12.2,11.62,10.69,15.65
ALLSKY_SFC_SW_DWN,1993,10.79,12.91,15.75,20.06,19.01,21.24,19.33,17.26,17.34,13.56,11.82,10.1,15.77
ALLSKY_SFC_SW_DWN,1994,9.48,13.37,17.33,19.25,22.88,18.93,22.83,21.33,14.19,13.66,12.82,9.71,16.34
ALLSKY_SFC_SW_DWN,1995,9.75,13.14,17.36,21.43,23.25,22.64,19.81,19.71,14.96,12.76,11.48,9.3,16.31
ALLSKY_SFC_SW_DWN,1996,9.83,12.84,14.56,16.85,21.15,22.02,21.03,20.73,18.15,13.48,10.33,10.32,15.95
ALLSKY_SFC_SW_DWN,1997,11.61,14.07,15.85,19.55,21.39,23.67,22.97,19.83,17.84,15.57,11.93,10.61,17.09
ALLSKY_SFC_SW_DWN,1998,11.59,12.76,16.66,22.76,20.13,24.7,19.81,19.14,17.77,13.43,13.11,10.74,16.89
ALLSKY_SFC_SW_DWN,1999,10.85,14.03,17.71,20.69,20.7,19.91,19.64,19.82,17.33,11.48,11.61,11.34,16.26
ALLSKY_SFC_SW_DWN,2000,10.86,13.17,17.67,22.78,23.6,21.09,25.99,20.09,13.35,13.05,10.81,10.69,16.95
ALLSKY_SFC_SW_DWN,2001,10.68,13.13,19.12,17.28,21.68,22.26,21.84,19.86,13.15,13.63,11.65,9.68,16.19
ALLSKY_SFC_SW_DWN,2002,10.31,14.23,17.81,20.56,19.65,22.06,20.99,20.92,14.69,15.45,12.27,10.4,16.62
ALLSKY_SFC_SW_DWN,2003,11.65,14.08,15.82,19.42,21.08,21.99,19.81,16.43,15.8,12.16,10.58,10.53,15.78
ALLSKY_SFC_SW_DWN,2004,11.79,14.91,16.3,21.64,21.36,20.87,22.04,18.39,13.82,13.53,12.26,9.76,16.39
ALLSKY_SFC_SW_DWN,2005,10.51,13.11,15.75,20.1,20.63,21.11,17.72,16.93,13.73,11.19,10.75,10.79,15.2
ALLSKY_SFC_SW_DWN,2006,10.43,11.37,17.08,19.61,22.13,20.89,19.28,18.74,13.17,15.0,12.38,10.13,15.88
ALLSKY_SFC_SW_DWN,2007,10.09,15.26,14.9,19.06,22.01,19.43,19.47,17.61,14.9,10.02,13.06,10.38,15.51
ALLSKY_SFC_SW_DWN,2008,7.88,13.32,17.77,20.11,23.0,22.01,21.97,18.45,14.03,13.58,10.16,11.3,16.14
ALLSKY_SFC_SW_DWN,2009,11.88,13.23,15.36,19.4,19.65,20.74,18.09,17.25,12.68,13.12,10.92,11.1,15.3
ALLSKY_SFC_SW_DWN,2010,12.25,13.5,16.28,20.08,19.53,19.31,19.7,19.07,14.67,13.32,13.19,11.02,16.01
ALLSKY_SFC_SW_DWN,2011,10.38,13.44,16.66,20.85,19.58,20.6,20.29,20.49,11.82,12.85,10.39,9.5,15.58
ALLSKY_SFC_SW_DWN,2012,9.46,12.59,15.88,20.83,18.66,20.88,17.39,18.11,15.25,13.19,11.98,10.39,15.38
ALLSKY_SFC_SW_DWN,2013,11.05,13.73,19.5,21.18,19.95,21.38,16.23,20.93,14.5,14.13,10.91,10.25,16.16
ALLSKY_SFC_SW_DWN,2014,12.06,11.97,17.69,18.44,20.56,18.33,21.51,17.4,14.41,13.11,10.27,10.6,15.56
ALLSKY_SFC_SW_DWN,2015,10.85,13.51,16.73,19.12,20.31,18.11,22.45,20.36,13.0,14.45,10.99,9.68,15.82
ALLSKY_SFC_SW_DWN,2016,11.4,14.67,17.67,19.61,21.26,21.71,21.95,18.01,16.14,11.94,11.94,10.3,16.38
ALLSKY_SFC_SW_DWN,2017,10.99,13.19,14.78,18.09,21.36,20.27,23.15,15.51,14.49,10.9,11.74,10.88,15.46
ALLSKY_SFC_SW_DWN,2018,9.81,13.87,17.49,19.83,21.74,19.81,18.11,16.95,12.81,13.88,10.76,9.59,15.4
ALLSKY_SFC_SW_DWN,2019,11.05,12.21,16.8,21.03,20.3,17.51,20.56,18.0,15.63,11.46,10.92,9.94,15.47
ALLSKY_SFC_SW_DWN,2020,9.47,14.77,16.24,19.46,21.61,20.41,19.69,17.54,13.61,10.98,10.11,8.67,15.21
ALLSKY_SFC_SW_DWN,2021,11.0,14.82,17.45,16.32,21.61,19.39,23.79,18.82,16.64,10.92,12.04,10.02,16.08
ALLSKY_SFC_SW_DWN,2022,11.14,12.93,17.78,20.52,21.47,22.62,21.87,15.69,16.65,12.16,11.56,10.91,16.29
ALLSKY_SFC_SW_DWN,2023,11.01,12.31,17.9,19.34,19.72,21.33,22.22,20.07,15.16,13.01,12.8,10.8,16.33
