# Area: Colombia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.57   Longitude -74.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1790.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.24,16.61,16.29,16.72,16.56,14.95,14.24,16.15,15.76,14.89,14.35,16.1,15.82
ALLSKY_SFC_SW_DWN,1985,19.09,19.01,17.89,16.27,16.87,16.24,16.44,16.48,17.31,15.95,15.36,18.36,17.1
ALLSKY_SFC_SW_DWN,1986,15.66,17.09,16.24,16.4,15.99,15.94,16.39,16.13,16.26,14.97,16.58,17.26,16.23
ALLSKY_SFC_SW_DWN,1987,18.14,18.1,18.54,17.09,17.38,16.12,15.6,15.59,16.75,15.88,16.63,17.49,16.94
ALLSKY_SFC_SW_DWN,1988,17.59,17.06,19.05,14.79,15.82,15.35,15.88,15.9,16.76,15.98,15.96,16.0,16.35
ALLSKY_SFC_SW_DWN,1989,16.74,16.01,16.06,16.31,16.43,15.85,16.73,16.28,17.8,17.42,16.66,17.79,16.68
ALLSKY_SFC_SW_DWN,1990,16.73,16.44,16.2,15.53,16.16,16.38,16.67,16.76,17.97,16.66,16.79,16.2,16.54
ALLSKY_SFC_SW_DWN,1991,18.67,17.51,16.22,18.05,15.99,15.95,16.99,16.92,17.46,18.14,16.69,16.77,17.11
ALLSKY_SFC_SW_DWN,1992,17.82,17.77,18.37,17.05,15.88,17.14,15.92,16.89,16.45,16.0,14.91,16.46,16.72
ALLSKY_SFC_SW_DWN,1993,16.29,18.7,15.76,15.83,16.04,17.11,17.5,17.63,16.24,16.28,15.95,17.2,16.7
ALLSKY_SFC_SW_DWN,1994,17.53,16.76,16.51,16.21,16.13,16.79,16.7,16.79,17.06,16.06,15.89,16.04,16.54
ALLSKY_SFC_SW_DWN,1995,19.2,18.45,16.72,16.07,16.77,15.76,15.92,16.68,18.06,16.32,17.39,16.47,16.97
ALLSKY_SFC_SW_DWN,1996,17.09,16.42,16.44,17.48,16.04,15.77,16.69,17.26,17.52,16.92,17.24,16.74,16.8
ALLSKY_SFC_SW_DWN,1997,17.65,18.32,17.58,15.94,17.29,16.03,16.9,17.52,17.32,17.85,16.71,18.58,17.31
ALLSKY_SFC_SW_DWN,1998,18.53,17.49,16.93,15.75,15.73,16.79,16.04,16.61,17.54,17.57,16.76,16.38,16.84
ALLSKY_SFC_SW_DWN,1999,15.89,15.03,17.62,16.15,17.13,15.55,17.31,17.17,15.19,16.33,16.4,16.85,16.4
ALLSKY_SFC_SW_DWN,2000,17.27,16.98,16.83,15.31,15.32,15.94,16.44,16.92,16.14,16.73,16.45,15.09,16.29
ALLSKY_SFC_SW_DWN,2001,19.34,16.6,15.22,16.45,16.1,16.12,16.42,16.11,16.89,17.04,15.74,15.04,16.42
ALLSKY_SFC_SW_DWN,2002,18.55,18.69,17.16,15.63,15.85,16.13,16.57,16.51,17.39,18.21,16.14,16.77,16.96
ALLSKY_SFC_SW_DWN,2003,19.46,16.3,15.86,15.52,16.28,15.83,16.04,16.84,16.71,16.13,16.41,16.48,16.49
ALLSKY_SFC_SW_DWN,2004,18.06,19.08,17.34,15.38,15.76,17.13,16.55,16.92,17.28,17.01,16.68,16.08,16.93
ALLSKY_SFC_SW_DWN,2005,17.38,16.66,17.89,15.58,17.15,15.65,17.4,15.62,16.47,16.68,16.69,16.9,16.68
ALLSKY_SFC_SW_DWN,2006,16.79,17.95,14.67,15.28,16.66,16.23,16.43,17.24,17.67,16.1,16.35,15.83,16.42
ALLSKY_SFC_SW_DWN,2007,17.1,21.45,15.3,16.74,15.77,15.73,17.11,15.2,17.1,17.12,17.12,16.08,16.78
ALLSKY_SFC_SW_DWN,2008,16.87,17.49,17.19,16.04,15.75,15.76,16.03,16.31,17.07,16.8,15.74,17.5,16.54
ALLSKY_SFC_SW_DWN,2009,14.81,16.82,14.82,16.06,16.7,16.47,16.28,16.72,18.96,17.72,16.59,18.32,16.68
ALLSKY_SFC_SW_DWN,2010,19.58,17.89,16.57,16.18,16.52,15.83,15.77,15.73,16.3,16.48,15.41,15.62,16.49
ALLSKY_SFC_SW_DWN,2011,18.76,15.76,16.92,16.11,15.13,16.29,16.15,17.71,17.45,15.97,16.1,16.16,16.55
ALLSKY_SFC_SW_DWN,2012,16.56,18.16,16.13,15.12,16.46,16.95,15.9,16.36,16.99,17.3,16.92,17.33,16.68
ALLSKY_SFC_SW_DWN,2013,18.05,14.97,16.04,16.88,15.29,17.69,17.26,16.37,17.84,17.49,16.03,15.62,16.64
ALLSKY_SFC_SW_DWN,2014,16.85,16.5,16.47,16.51,16.5,15.82,16.97,16.33,18.22,16.39,16.16,17.2,16.66
ALLSKY_SFC_SW_DWN,2015,17.78,17.16,16.63,16.56,16.0,15.32,16.57,16.15,18.51,17.33,15.75,17.84,16.8
ALLSKY_SFC_SW_DWN,2016,19.48,16.71,16.87,15.51,16.17,16.46,15.98,17.1,17.44,17.27,15.56,16.01,16.72
ALLSKY_SFC_SW_DWN,2017,15.76,19.23,15.18,16.86,16.74,15.83,16.67,17.71,17.88,16.15,16.49,16.9,16.76
ALLSKY_SFC_SW_DWN,2018,17.15,16.61,17.19,15.46,15.78,16.29,16.33,18.23,18.1,17.59,16.25,18.79,16.99
ALLSKY_SFC_SW_DWN,2019,17.22,16.8,14.55,16.21,16.0,16.34,17.5,17.75,17.52,16.91,16.2,16.55,16.63
ALLSKY_SFC_SW_DWN,2020,18.92,19.35,16.7,16.62,15.69,16.38,16.31,16.61,18.56,17.48,16.16,17.48,17.18
ALLSKY_SFC_SW_DWN,2021,18.36,16.48,14.88,16.59,17.28,16.74,16.75,16.76,17.97,17.65,17.76,16.65,16.99
ALLSKY_SFC_SW_DWN,2022,17.56,15.44,16.11,15.56,16.06,14.98,15.89,17.43,17.06,17.23,15.83,17.96,16.44
ALLSKY_SFC_SW_DWN,2023,16.91,18.54,14.8,15.3,17.05,17.28,16.65,18.1,18.28,17.62,16.36,16.01,16.9
