# Area: Comoros
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -11.65   Longitude 43.33 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,19.47,21.3,20.02,19.97,19.0,16.7,16.96,19.74,22.37,23.22,24.82,21.78,20.44
ALLSKY_SFC_SW_DWN,1985,23.4,16.21,21.58,21.0,18.72,17.35,17.32,20.32,21.79,24.62,24.26,23.2,20.85
ALLSKY_SFC_SW_DWN,1986,20.6,22.61,21.49,19.83,17.62,16.46,16.87,20.06,22.46,24.62,24.21,21.42,20.67
ALLSKY_SFC_SW_DWN,1987,18.99,22.88,21.69,21.07,18.38,16.98,17.29,19.55,21.95,22.67,23.08,26.17,20.88
ALLSKY_SFC_SW_DWN,1988,21.11,22.72,22.63,20.86,18.96,16.6,17.03,18.14,21.82,24.07,24.01,22.77,20.88
ALLSKY_SFC_SW_DWN,1989,16.75,21.78,18.81,18.97,17.27,16.42,17.21,18.96,22.89,23.85,25.08,20.09,19.81
ALLSKY_SFC_SW_DWN,1990,22.14,19.14,21.83,18.13,17.98,17.56,17.39,20.05,21.76,24.63,24.31,23.84,20.75
ALLSKY_SFC_SW_DWN,1991,20.24,20.68,20.47,15.3,16.44,17.55,16.83,18.69,21.94,23.75,23.99,17.58,19.44
ALLSKY_SFC_SW_DWN,1992,23.87,17.45,20.97,19.58,17.98,16.74,17.16,19.34,21.96,24.36,25.37,24.75,20.81
ALLSKY_SFC_SW_DWN,1993,19.05,21.14,18.96,20.3,16.69,16.55,17.35,19.4,22.12,24.48,23.94,26.15,20.5
ALLSKY_SFC_SW_DWN,1994,21.14,17.64,20.97,20.59,17.87,16.93,17.65,19.91,22.22,22.66,24.5,21.28,20.3
ALLSKY_SFC_SW_DWN,1995,21.69,19.63,20.14,19.18,18.26,17.68,17.27,19.24,22.43,24.72,25.18,24.77,20.86
ALLSKY_SFC_SW_DWN,1996,19.82,17.62,20.47,18.99,18.47,16.75,16.8,19.81,22.25,23.87,25.8,24.69,20.46
ALLSKY_SFC_SW_DWN,1997,20.67,20.49,21.13,20.61,18.94,15.77,17.43,20.42,21.86,23.72,24.74,20.46,20.52
ALLSKY_SFC_SW_DWN,1998,19.15,20.13,22.12,18.85,19.39,17.21,17.42,21.39,22.21,23.41,25.09,26.09,21.05
ALLSKY_SFC_SW_DWN,1999,22.69,22.51,18.1,20.39,18.86,17.32,18.07,19.54,21.76,24.29,25.26,24.31,21.08
ALLSKY_SFC_SW_DWN,2000,23.47,22.77,18.56,20.71,19.19,17.24,17.29,20.14,21.82,24.46,24.24,22.44,21.02
ALLSKY_SFC_SW_DWN,2001,19.81,21.85,19.49,21.1,18.92,16.62,17.52,19.53,22.68,24.72,25.99,24.62,21.06
ALLSKY_SFC_SW_DWN,2002,18.18,21.32,21.48,20.9,18.84,17.57,18.96,19.36,21.59,23.82,24.67,22.11,20.72
ALLSKY_SFC_SW_DWN,2003,22.71,19.97,21.22,20.4,18.03,18.04,18.31,20.46,22.64,24.85,25.44,24.59,21.4
ALLSKY_SFC_SW_DWN,2004,20.18,22.0,20.35,20.81,19.05,17.31,18.27,20.68,22.43,23.02,24.34,22.61,20.91
ALLSKY_SFC_SW_DWN,2005,22.46,22.0,20.87,19.57,16.94,18.21,17.81,20.14,22.49,23.83,26.04,24.04,21.19
ALLSKY_SFC_SW_DWN,2006,22.95,22.42,19.82,19.44,17.31,16.65,17.71,19.86,21.9,24.22,21.81,20.61,20.38
ALLSKY_SFC_SW_DWN,2007,22.58,18.67,21.76,21.24,19.35,17.65,18.14,20.1,22.15,23.84,25.62,24.11,21.28
ALLSKY_SFC_SW_DWN,2008,19.41,18.42,22.74,19.76,19.41,18.23,18.2,20.32,22.47,23.62,24.02,22.3,20.75
ALLSKY_SFC_SW_DWN,2009,23.21,21.93,21.6,18.12,19.73,18.52,17.61,20.27,22.47,24.67,24.53,24.3,21.41
ALLSKY_SFC_SW_DWN,2010,20.43,21.9,22.64,20.22,18.71,16.94,18.01,19.51,22.54,24.75,25.33,24.66,21.3
ALLSKY_SFC_SW_DWN,2011,21.74,19.52,21.38,20.58,18.45,16.5,18.34,20.51,20.17,23.63,24.4,22.65,20.67
ALLSKY_SFC_SW_DWN,2012,18.81,22.2,19.94,17.25,17.5,17.87,17.57,20.83,21.78,23.57,24.91,24.33,20.54
ALLSKY_SFC_SW_DWN,2013,21.98,20.82,22.56,20.03,18.87,17.76,17.99,20.44,22.86,23.37,24.28,21.18,21.01
ALLSKY_SFC_SW_DWN,2014,20.62,16.7,19.35,21.73,19.28,18.08,18.24,20.69,22.68,24.43,24.95,24.15,20.93
ALLSKY_SFC_SW_DWN,2015,17.26,22.15,20.17,21.64,17.13,17.71,18.4,20.54,22.87,24.31,24.43,23.03,20.78
ALLSKY_SFC_SW_DWN,2016,17.68,19.98,21.67,19.2,19.04,16.58,17.92,21.05,22.79,24.64,24.79,25.14,20.88
ALLSKY_SFC_SW_DWN,2017,23.51,19.81,21.15,19.08,17.69,17.06,18.98,20.62,23.51,24.15,24.66,21.45,20.98
ALLSKY_SFC_SW_DWN,2018,18.89,22.26,19.45,19.47,18.6,17.57,16.82,21.25,22.63,24.69,25.72,24.45,20.97
ALLSKY_SFC_SW_DWN,2019,21.19,21.58,22.55,18.79,17.31,16.77,18.15,19.8,22.46,24.4,24.1,21.26,20.69
ALLSKY_SFC_SW_DWN,2020,19.24,21.78,21.29,20.59,18.23,16.76,16.18,20.72,21.8,22.97,25.1,24.12,20.72
ALLSKY_SFC_SW_DWN,2021,21.76,18.44,21.92,17.94,19.03,17.98,18.17,20.32,22.64,24.43,25.17,25.71,21.15
ALLSKY_SFC_SW_DWN,2022,20.44,18.31,20.59,19.14,19.12,18.31,18.49,19.86,21.16,23.9,26.02,25.03,20.88
ALLSKY_SFC_SW_DWN,2023,21.87,21.22,22.78,19.64,19.66,18.44,17.74,20.02,21.95,24.27,24.56,22.92,21.26
