# Area: Costa Rica
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.75   Longitude -83.75 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1064.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.08,16.78,20.06,20.26,15.6,14.82,15.32,14.1,15.39,13.25,12.8,14.51,15.74
ALLSKY_SFC_SW_DWN,1985,18.11,17.48,19.84,18.51,16.18,14.93,15.14,15.08,15.86,14.34,13.19,14.64,16.1
ALLSKY_SFC_SW_DWN,1986,15.8,17.93,17.65,16.28,16.05,14.75,14.69,14.28,14.97,13.32,14.72,15.63,15.49
ALLSKY_SFC_SW_DWN,1987,16.78,17.95,19.27,17.4,16.51,16.15,14.73,14.9,15.45,14.61,14.78,14.27,16.05
ALLSKY_SFC_SW_DWN,1988,15.88,18.28,19.24,17.23,15.46,15.73,15.22,14.95,14.3,12.75,13.37,13.78,15.5
ALLSKY_SFC_SW_DWN,1989,16.87,18.6,18.32,18.34,16.71,15.81,15.77,16.54,16.89,16.08,13.8,15.47,16.59
ALLSKY_SFC_SW_DWN,1990,15.69,17.64,17.78,18.28,15.92,15.12,15.72,16.05,17.09,16.0,14.97,14.43,16.21
ALLSKY_SFC_SW_DWN,1991,15.91,18.47,20.06,18.31,14.51,15.43,16.15,15.31,16.14,16.27,15.06,16.13,16.47
ALLSKY_SFC_SW_DWN,1992,17.12,19.37,19.39,17.6,16.03,16.3,15.59,14.8,15.52,12.88,14.31,13.84,16.05
ALLSKY_SFC_SW_DWN,1993,14.1,20.12,17.99,18.52,16.35,15.42,16.21,15.07,13.95,14.72,14.15,14.64,15.91
ALLSKY_SFC_SW_DWN,1994,17.04,17.97,19.86,17.18,15.87,15.37,14.61,15.4,15.44,15.2,13.0,13.97,15.9
ALLSKY_SFC_SW_DWN,1995,16.65,18.79,18.33,17.86,16.85,16.12,15.41,16.76,15.84,14.55,13.15,15.5,16.3
ALLSKY_SFC_SW_DWN,1996,15.83,17.98,18.81,17.93,15.63,14.93,15.87,16.0,16.22,14.89,13.15,14.49,15.97
ALLSKY_SFC_SW_DWN,1997,17.61,16.71,19.93,19.46,16.01,16.26,15.91,16.62,16.56,15.08,13.95,16.5,16.72
ALLSKY_SFC_SW_DWN,1998,18.71,18.26,19.57,18.06,16.48,15.09,16.06,15.86,16.5,14.42,14.21,12.52,16.3
ALLSKY_SFC_SW_DWN,1999,16.77,17.54,19.23,18.14,16.77,15.56,15.51,15.79,15.27,14.11,12.89,12.05,15.79
ALLSKY_SFC_SW_DWN,2000,15.52,17.1,18.52,17.14,15.96,15.1,15.79,15.47,15.8,14.73,14.85,15.24,15.93
ALLSKY_SFC_SW_DWN,2001,16.4,18.13,19.48,18.0,15.76,15.29,15.35,14.75,15.44,14.7,11.75,13.5,15.7
ALLSKY_SFC_SW_DWN,2002,15.54,18.96,20.47,18.39,14.64,15.52,14.31,14.76,16.56,14.42,14.15,15.28,16.06
ALLSKY_SFC_SW_DWN,2003,16.91,17.69,18.04,17.91,15.07,15.49,15.16,15.19,16.27,14.35,13.3,12.6,15.65
ALLSKY_SFC_SW_DWN,2004,16.28,17.31,18.66,16.98,13.65,15.12,15.31,14.74,16.56,15.59,12.8,15.22,15.68
ALLSKY_SFC_SW_DWN,2005,13.86,17.88,17.3,16.58,16.1,15.58,16.5,15.2,14.77,13.68,13.03,16.24,15.55
ALLSKY_SFC_SW_DWN,2006,16.08,18.8,18.05,16.9,15.85,15.15,15.43,15.4,16.54,15.09,13.37,14.61,15.92
ALLSKY_SFC_SW_DWN,2007,15.82,19.88,19.83,17.8,15.14,15.55,15.28,16.22,16.59,13.58,12.99,13.65,16.0
ALLSKY_SFC_SW_DWN,2008,17.64,17.1,18.57,17.06,16.08,15.44,14.66,15.78,15.79,13.85,12.13,14.94,15.75
ALLSKY_SFC_SW_DWN,2009,15.37,17.63,18.56,18.04,15.23,16.01,15.24,14.75,17.59,13.86,12.91,14.44,15.78
ALLSKY_SFC_SW_DWN,2010,17.06,15.83,17.38,16.45,15.62,15.17,14.73,15.06,14.54,14.06,11.38,12.48,14.98
ALLSKY_SFC_SW_DWN,2011,15.17,18.16,19.43,16.87,16.13,15.52,14.93,16.52,15.93,12.53,13.08,12.89,15.58
ALLSKY_SFC_SW_DWN,2012,17.21,19.37,18.95,16.37,16.89,16.11,14.35,16.57,16.01,13.93,12.2,14.53,16.03
ALLSKY_SFC_SW_DWN,2013,17.01,18.16,17.22,16.97,15.91,15.31,14.72,15.09,15.61,14.96,14.42,16.77,16.0
ALLSKY_SFC_SW_DWN,2014,16.68,19.05,19.73,16.52,16.18,15.58,14.55,15.47,16.22,14.5,14.06,13.34,15.97
ALLSKY_SFC_SW_DWN,2015,16.45,17.32,19.15,18.01,15.06,14.88,14.27,15.82,15.65,15.79,14.58,15.69,16.05
ALLSKY_SFC_SW_DWN,2016,17.86,18.56,18.38,18.2,16.4,15.7,14.47,15.64,16.22,14.71,11.98,14.46,16.04
ALLSKY_SFC_SW_DWN,2017,18.57,19.08,20.39,18.35,15.92,15.48,14.56,16.27,16.23,14.7,13.32,15.32,16.5
ALLSKY_SFC_SW_DWN,2018,14.0,19.04,20.42,16.35,16.51,15.18,14.43,15.32,16.91,15.01,14.61,17.81,16.28
ALLSKY_SFC_SW_DWN,2019,18.42,19.23,19.46,17.41,15.13,16.38,16.34,15.01,15.45,15.4,15.06,14.36,16.45
ALLSKY_SFC_SW_DWN,2020,15.95,19.76,22.22,17.83,15.58,15.27,15.97,15.82,16.92,15.11,13.64,15.25,16.6
ALLSKY_SFC_SW_DWN,2021,16.64,17.81,19.22,16.09,15.41,16.51,14.79,15.51,16.11,15.69,14.43,15.52,16.14
ALLSKY_SFC_SW_DWN,2022,18.93,19.48,20.52,16.19,15.32,14.87,14.79,15.89,15.73,14.53,12.72,15.11,16.16
ALLSKY_SFC_SW_DWN,2023,16.67,18.49,17.7,18.51,17.89,16.5,15.3,15.38,16.52,14.83,13.44,15.33,16.37
