# Area: Djibouti
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  11.83   Longitude 42.59 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 605.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,19.71,22.36,25.56,24.63,21.96,24.04,22.71,22.86,22.02,23.3,21.09,18.7,22.41
ALLSKY_SFC_SW_DWN,1985,20.56,22.38,25.2,23.53,23.78,25.04,22.46,22.41,22.15,23.45,22.28,20.13,22.78
ALLSKY_SFC_SW_DWN,1986,21.3,20.15,24.16,21.87,23.25,22.97,23.01,21.93,22.19,23.24,21.88,18.91,22.09
ALLSKY_SFC_SW_DWN,1987,20.84,21.48,22.41,21.41,20.43,23.96,22.1,22.98,23.02,22.08,21.88,20.39,21.91
ALLSKY_SFC_SW_DWN,1988,18.4,20.87,25.48,23.23,23.6,23.92,21.23,21.57,21.69,22.27,22.28,20.21,22.06
ALLSKY_SFC_SW_DWN,1989,19.2,20.55,21.67,21.04,23.07,23.53,21.41,22.66,21.4,22.65,21.53,17.83,21.38
ALLSKY_SFC_SW_DWN,1990,18.9,17.78,23.48,21.86,24.58,24.35,22.67,22.98,21.84,22.92,21.51,20.57,21.98
ALLSKY_SFC_SW_DWN,1991,18.7,19.4,21.81,23.96,23.1,23.19,22.26,22.6,22.87,23.28,21.75,19.72,21.9
ALLSKY_SFC_SW_DWN,1992,17.09,17.05,22.39,23.63,23.76,23.46,22.19,21.88,21.47,21.62,21.22,18.39,21.19
ALLSKY_SFC_SW_DWN,1993,16.7,18.6,25.25,22.68,22.32,23.93,22.51,22.71,22.41,21.65,21.92,20.63,21.79
ALLSKY_SFC_SW_DWN,1994,21.39,21.85,23.75,23.75,23.94,23.33,21.93,22.57,22.79,23.65,20.34,19.29,22.38
ALLSKY_SFC_SW_DWN,1995,20.67,20.47,20.4,23.82,22.9,23.59,21.75,23.02,23.09,22.73,22.07,18.49,21.92
ALLSKY_SFC_SW_DWN,1996,18.69,22.45,22.2,23.01,21.98,22.14,21.63,21.88,21.92,23.21,20.63,20.42,21.67
ALLSKY_SFC_SW_DWN,1997,17.72,22.92,21.64,23.83,23.45,22.48,22.42,23.26,23.0,20.68,19.53,19.56,21.69
ALLSKY_SFC_SW_DWN,1998,16.54,19.41,21.99,24.57,24.7,23.33,22.4,20.98,22.21,21.45,21.95,20.64,21.68
ALLSKY_SFC_SW_DWN,1999,20.38,23.72,22.67,25.77,25.57,24.28,21.72,23.46,22.27,20.6,21.23,20.18,22.64
ALLSKY_SFC_SW_DWN,2000,21.4,24.17,25.63,24.94,24.32,24.12,22.61,23.21,21.43,22.34,21.08,19.79,22.91
ALLSKY_SFC_SW_DWN,2001,19.9,22.81,21.43,25.81,24.67,24.26,23.04,22.59,23.11,23.03,22.16,20.36,22.75
ALLSKY_SFC_SW_DWN,2002,18.53,22.46,23.32,24.74,25.96,24.18,23.62,22.98,22.45,24.12,21.88,16.78,22.58
ALLSKY_SFC_SW_DWN,2003,18.98,22.14,24.33,24.3,25.3,23.67,22.15,22.09,22.36,24.03,21.74,19.43,22.54
ALLSKY_SFC_SW_DWN,2004,17.62,22.18,24.31,22.77,25.53,24.29,23.12,23.77,22.17,23.19,21.42,18.44,22.4
ALLSKY_SFC_SW_DWN,2005,18.49,22.95,22.38,24.1,24.47,23.78,22.25,22.93,21.9,23.69,22.13,20.94,22.49
ALLSKY_SFC_SW_DWN,2006,19.52,20.79,23.7,24.44,25.28,23.26,22.13,22.69,22.28,22.54,21.57,17.22,22.12
ALLSKY_SFC_SW_DWN,2007,18.37,22.02,24.09,25.07,23.99,22.29,22.49,22.9,22.37,23.99,21.57,20.48,22.47
ALLSKY_SFC_SW_DWN,2008,20.0,22.66,26.72,25.99,24.18,23.19,21.69,22.88,22.39,22.8,20.79,20.49,22.81
ALLSKY_SFC_SW_DWN,2009,18.29,22.61,24.32,24.69,25.32,24.72,20.93,22.82,23.7,22.1,21.88,18.76,22.5
ALLSKY_SFC_SW_DWN,2010,20.71,18.93,23.56,24.8,24.16,23.15,21.72,20.97,22.22,23.3,21.81,19.58,22.09
ALLSKY_SFC_SW_DWN,2011,19.8,21.73,23.7,26.12,23.69,22.36,21.11,21.64,22.45,23.71,20.06,20.1,22.2
ALLSKY_SFC_SW_DWN,2012,20.08,22.83,24.23,24.37,25.39,21.72,21.81,22.54,22.54,23.85,21.99,19.88,22.6
ALLSKY_SFC_SW_DWN,2013,19.76,23.48,22.96,25.07,24.44,22.18,20.7,22.38,22.44,21.88,20.57,20.26,22.16
ALLSKY_SFC_SW_DWN,2014,20.07,19.8,23.5,25.73,24.18,24.23,22.17,22.48,21.97,22.49,21.05,20.51,22.36
ALLSKY_SFC_SW_DWN,2015,19.44,23.01,24.59,25.67,24.37,22.86,23.29,23.37,21.94,23.51,20.77,18.58,22.61
ALLSKY_SFC_SW_DWN,2016,18.12,22.97,24.54,22.51,23.3,23.01,21.98,22.83,22.07,24.0,20.85,19.92,22.17
ALLSKY_SFC_SW_DWN,2017,21.8,19.08,23.36,25.9,22.45,23.34,21.54,21.93,21.61,22.41,21.53,20.87,22.17
ALLSKY_SFC_SW_DWN,2018,20.31,22.08,24.43,23.28,23.73,21.18,20.67,22.41,23.12,22.83,20.97,19.59,22.05
ALLSKY_SFC_SW_DWN,2019,20.76,20.59,23.44,23.88,24.8,22.9,20.62,21.53,20.76,22.06,19.08,19.07,21.63
ALLSKY_SFC_SW_DWN,2020,17.04,20.59,22.26,23.33,24.49,22.52,20.18,21.37,21.46,23.51,21.14,19.53,21.45
ALLSKY_SFC_SW_DWN,2021,21.15,21.67,26.44,24.92,24.19,23.58,19.42,21.79,21.82,21.59,21.61,20.2,22.37
ALLSKY_SFC_SW_DWN,2022,18.95,22.42,24.0,25.53,24.18,22.35,19.46,20.9,20.63,22.08,21.53,18.76,21.72
ALLSKY_SFC_SW_DWN,2023,19.9,23.16,19.22,21.61,22.16,22.56,22.67,22.77,20.76,21.87,19.61,19.8,21.33
