# Area: Dominica
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.3   Longitude -61.39 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 57.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.61,18.16,20.91,21.95,21.45,20.11,17.8,19.62,18.04,16.22,12.56,15.24,18.22
ALLSKY_SFC_SW_DWN,1985,15.88,16.87,19.54,20.83,19.0,17.29,18.83,19.98,18.5,16.91,14.99,14.88,17.8
ALLSKY_SFC_SW_DWN,1986,15.64,17.93,19.62,19.52,18.11,18.96,18.77,19.75,18.89,18.2,15.99,15.71,18.09
ALLSKY_SFC_SW_DWN,1987,16.01,18.8,19.99,21.81,19.15,17.93,18.68,20.83,20.29,18.87,15.41,16.31,18.67
ALLSKY_SFC_SW_DWN,1988,16.53,17.63,19.99,21.63,22.39,20.94,19.84,19.38,19.52,16.77,16.17,15.36,18.85
ALLSKY_SFC_SW_DWN,1989,16.57,18.92,19.71,20.65,21.63,18.51,20.56,20.32,17.3,18.67,16.14,15.46,18.71
ALLSKY_SFC_SW_DWN,1990,15.97,19.24,20.58,20.53,20.17,19.15,20.39,20.64,20.42,15.37,16.41,16.61,18.78
ALLSKY_SFC_SW_DWN,1991,15.19,18.91,20.24,20.99,20.06,18.86,19.19,20.64,19.08,18.88,15.25,14.41,18.47
ALLSKY_SFC_SW_DWN,1992,15.26,17.62,20.71,20.84,17.37,16.18,17.51,18.89,19.49,20.21,14.13,15.56,17.82
ALLSKY_SFC_SW_DWN,1993,16.84,19.62,22.28,22.88,20.44,20.43,21.15,21.51,19.95,19.26,17.88,16.82,19.92
ALLSKY_SFC_SW_DWN,1994,17.75,19.26,22.07,23.34,22.28,22.15,22.95,21.88,19.24,19.47,16.09,16.24,20.23
ALLSKY_SFC_SW_DWN,1995,15.67,15.54,17.87,19.24,23.99,21.51,21.9,20.64,19.6,20.35,17.81,16.6,19.25
ALLSKY_SFC_SW_DWN,1996,17.15,19.64,20.84,21.96,23.08,20.41,19.58,22.42,19.97,18.18,16.48,14.9,19.55
ALLSKY_SFC_SW_DWN,1997,17.55,18.91,22.57,24.47,23.74,21.86,21.72,22.38,21.06,18.58,18.56,16.23,20.64
ALLSKY_SFC_SW_DWN,1998,18.26,20.37,21.45,22.43,21.5,19.9,21.98,22.25,21.48,18.01,17.37,15.36,20.02
ALLSKY_SFC_SW_DWN,1999,17.73,20.2,22.46,22.63,24.3,21.57,22.81,23.54,21.59,19.07,15.09,16.09,20.6
ALLSKY_SFC_SW_DWN,2000,17.43,19.97,21.21,22.26,22.19,20.79,23.3,23.39,21.51,20.48,16.26,16.9,20.48
ALLSKY_SFC_SW_DWN,2001,17.93,19.76,23.36,23.57,23.61,23.0,22.27,22.55,22.87,17.15,18.96,15.02,20.83
ALLSKY_SFC_SW_DWN,2002,17.89,19.43,23.18,22.93,22.31,22.05,21.89,23.47,21.29,19.42,18.4,17.3,20.8
ALLSKY_SFC_SW_DWN,2003,18.16,20.67,23.64,23.47,22.58,19.91,21.28,22.5,21.46,19.29,15.63,16.28,20.41
ALLSKY_SFC_SW_DWN,2004,17.88,20.27,21.83,23.69,19.6,21.01,21.1,23.42,21.04,19.6,15.63,17.19,20.19
ALLSKY_SFC_SW_DWN,2005,16.95,18.41,23.54,23.12,22.55,19.64,20.63,22.97,21.52,17.76,17.0,17.24,20.12
ALLSKY_SFC_SW_DWN,2006,17.31,20.53,22.09,23.95,23.44,21.15,21.68,22.43,21.73,18.78,19.0,16.07,20.67
ALLSKY_SFC_SW_DWN,2007,17.97,20.01,20.53,23.64,23.98,23.26,22.25,21.28,21.47,17.85,18.82,17.12,20.68
ALLSKY_SFC_SW_DWN,2008,17.86,19.99,21.53,22.5,24.09,21.43,22.75,22.31,19.54,18.37,17.62,17.16,20.43
ALLSKY_SFC_SW_DWN,2009,17.64,19.92,22.21,22.7,21.6,22.01,21.31,23.51,20.98,20.56,18.4,17.47,20.7
ALLSKY_SFC_SW_DWN,2010,18.45,21.1,22.62,21.68,21.93,21.96,20.85,22.35,20.34,17.7,16.39,16.12,20.12
ALLSKY_SFC_SW_DWN,2011,17.25,20.7,22.18,20.85,19.51,21.62,20.16,19.91,20.86,20.37,17.48,15.42,19.68
ALLSKY_SFC_SW_DWN,2012,19.08,20.68,20.47,22.98,20.02,23.1,21.92,19.99,22.41,18.68,18.62,16.44,20.35
ALLSKY_SFC_SW_DWN,2013,17.85,21.18,23.4,21.96,22.09,20.01,22.66,21.93,21.08,18.47,18.67,15.83,20.42
ALLSKY_SFC_SW_DWN,2014,18.63,20.49,23.74,23.93,22.7,21.57,22.35,21.68,20.77,19.83,17.08,17.05,20.82
ALLSKY_SFC_SW_DWN,2015,18.81,20.72,22.93,22.51,23.11,21.27,22.12,22.6,22.4,19.73,16.48,16.92,20.8
ALLSKY_SFC_SW_DWN,2016,17.29,20.5,21.86,22.01,21.04,21.5,22.31,22.92,20.81,19.49,14.89,16.68,20.11
ALLSKY_SFC_SW_DWN,2017,18.44,20.24,21.89,21.45,21.83,19.6,22.99,22.17,18.65,18.95,18.65,16.77,20.14
ALLSKY_SFC_SW_DWN,2018,17.4,20.62,23.25,21.75,23.72,21.77,22.05,22.67,21.7,20.52,16.65,17.54,20.81
ALLSKY_SFC_SW_DWN,2019,17.83,20.98,23.25,23.15,21.37,20.57,22.43,22.42,21.8,19.88,18.18,17.15,20.75
ALLSKY_SFC_SW_DWN,2020,18.15,19.48,23.02,24.64,23.79,22.43,22.78,22.69,21.57,17.61,16.63,18.09,20.91
ALLSKY_SFC_SW_DWN,2021,18.07,20.07,22.68,22.27,23.73,20.03,21.88,22.13,23.11,19.17,18.65,17.31,20.76
ALLSKY_SFC_SW_DWN,2022,19.2,21.21,22.88,23.04,22.11,21.92,21.91,22.87,20.65,19.24,17.25,18.2,20.87
ALLSKY_SFC_SW_DWN,2023,18.16,21.22,23.82,23.57,23.86,22.68,20.8,22.88,22.76,18.67,18.88,17.26,21.21
